Galaksi,Tip_T,Tip_ad,Sinif,N_nokta,Q,Inc_deg,D_Mpc,Vflat_kms
NGC7814,2,Sab,01_erken_spiral,18,1,90.0,14.40,218.9
UGC02916,2,Sab,01_erken_spiral,43,2,50.0,65.40,182.7
UGC02953,2,Sab,01_erken_spiral,115,2,50.0,16.50,264.9
UGC03205,2,Sab,01_erken_spiral,48,1,67.0,50.00,219.6
UGC03546,1,Sa,01_erken_spiral,30,1,55.0,28.70,196.9
UGC03580,1,Sa,01_erken_spiral,47,2,63.0,20.70,126.2
UGC05253,2,Sab,01_erken_spiral,73,2,37.0,22.90,213.7
UGC06614,1,Sa,01_erken_spiral,13,1,36.0,88.70,199.8
UGC06787,2,Sab,01_erken_spiral,71,2,66.0,21.30,248.1
UGC08699,2,Sab,01_erken_spiral,41,2,73.0,39.30,182.4
UGC09133,2,Sab,01_erken_spiral,68,1,53.0,57.10,226.8
UGC11914,2,Sab,01_erken_spiral,65,1,31.0,16.90,288.1
ESO079-G014,4,Sbc,02_orta_spiral,15,1,79.0,28.70,175.0
ESO563-G021,4,Sbc,02_orta_spiral,30,1,83.0,60.80,314.6
IC4202,4,Sbc,02_orta_spiral,32,1,90.0,100.40,242.6
NGC0289,4,Sbc,02_orta_spiral,28,2,46.0,20.80,163.0
NGC0891,3,Sb,02_orta_spiral,18,1,90.0,9.91,216.1
NGC1090,4,Sbc,02_orta_spiral,24,1,64.0,37.00,164.4
NGC2683,3,Sb,02_orta_spiral,11,2,80.0,9.81,154.0
NGC2841,3,Sb,02_orta_spiral,50,1,76.0,14.10,284.8
NGC2903,4,Sbc,02_orta_spiral,34,1,66.0,6.60,184.6
NGC2955,3,Sb,02_orta_spiral,24,1,56.0,97.90,0.0
NGC3521,4,Sbc,02_orta_spiral,41,1,75.0,7.70,213.7
NGC3769,3,Sb,02_orta_spiral,12,2,70.0,18.00,118.6
NGC3949,4,Sbc,02_orta_spiral,7,2,55.0,18.00,163.0
NGC3953,4,Sbc,02_orta_spiral,8,1,62.0,18.00,220.8
NGC3972,4,Sbc,02_orta_spiral,10,1,77.0,18.00,132.7
NGC3992,4,Sbc,02_orta_spiral,9,1,56.0,23.70,241.0
NGC4013,3,Sb,02_orta_spiral,36,2,89.0,18.00,172.9
NGC4051,4,Sbc,02_orta_spiral,7,2,49.0,18.00,157.0
NGC4088,4,Sbc,02_orta_spiral,12,1,69.0,18.00,171.7
NGC4100,4,Sbc,02_orta_spiral,24,1,73.0,18.00,158.2
NGC4157,3,Sb,02_orta_spiral,17,1,82.0,18.00,184.7
NGC4217,3,Sb,02_orta_spiral,19,1,86.0,18.00,181.3
NGC5005,4,Sbc,02_orta_spiral,18,1,68.0,16.90,262.2
NGC5055,4,Sbc,02_orta_spiral,28,1,55.0,9.90,179.0
NGC5371,4,Sbc,02_orta_spiral,19,1,53.0,39.70,209.5
NGC5985,3,Sb,02_orta_spiral,33,1,60.0,39.70,293.6
NGC6195,3,Sb,02_orta_spiral,23,1,62.0,127.80,251.7
NGC6674,3,Sb,02_orta_spiral,15,1,54.0,51.20,241.3
NGC7331,3,Sb,02_orta_spiral,36,1,75.0,14.70,239.0
F571-8,5,Sc,03_gec_spiral,13,1,85.0,53.30,139.7
F583-4,5,Sc,03_gec_spiral,12,1,55.0,53.30,0.0
NGC0024,5,Sc,03_gec_spiral,29,1,64.0,7.30,106.3
NGC0100,6,Scd,03_gec_spiral,21,1,89.0,13.50,88.1
NGC0801,5,Sc,03_gec_spiral,13,1,80.0,80.70,220.1
NGC1003,6,Scd,03_gec_spiral,36,1,67.0,11.40,109.8
NGC2403,6,Scd,03_gec_spiral,73,1,63.0,3.16,131.2
NGC2976,5,Sc,03_gec_spiral,27,2,61.0,3.58,85.4
NGC2998,5,Sc,03_gec_spiral,13,1,58.0,68.10,209.9
NGC3198,5,Sc,03_gec_spiral,43,1,73.0,13.80,150.1
NGC3726,5,Sc,03_gec_spiral,12,2,53.0,18.00,168.0
NGC3877,5,Sc,03_gec_spiral,13,2,76.0,18.00,168.4
NGC3893,5,Sc,03_gec_spiral,10,1,49.0,18.00,174.0
NGC3917,6,Scd,03_gec_spiral,17,1,79.0,18.00,135.9
