Galaksi,N,Q,Inc_deg,Vmax_kms,ONG_evr_rms,ONG_evr_chi2ind,ONG_evr_hataici,ONG_lcdm_rms,ONG_lcdm_chi2ind,ONG_lcdm_hataici,FIT_evr_rms,FIT_evr_chi2ind,FIT_evr_hataici,FIT_evr_Ystar,FIT_lcdm_rms,FIT_lcdm_chi2ind,FIT_lcdm_hataici,FIT_lcdm_Ystar,BAR_rms,ONG_evr_lomega_kpc,ONG_lcdm_M200_Msun,ONG_lcdm_c200,DIS_evr_sapma_yuzde,DIS_lcdm_sapma_yuzde
UGC02953,115,2,50.0,319.0,36.64,195.595,0.19,56.43,443.958,0.18,24.76,6.395,0.27,0.431,26.68,10.407,0.20,0.644,86.41,16.47,2.075e+13,6.13,-12.4,+19.9
UGC11914,65,1,31.0,305.0,42.61,108.789,0.06,28.34,43.176,0.06,8.11,3.562,0.68,0.511,9.19,2.580,0.66,0.634,53.53,11.36,5.198e+12,7.05,-15.2,-8.5
UGC09133,68,1,53.0,289.0,19.64,18.995,0.32,117.69,3877.892,0.01,20.14,13.926,0.25,0.413,17.93,8.942,0.28,0.500,81.51,20.02,2.585e+13,6.00,+2.4,+64.2
UGC06787,71,2,66.0,276.0,32.74,180.581,0.20,24.05,110.969,0.18,15.42,18.773,0.30,0.221,22.40,31.505,0.28,0.576,80.45,11.07,1.931e+12,7.79,-16.0,-11.0
NGC7814,18,1,90.0,265.0,21.99,28.530,0.11,21.50,31.501,0.17,10.99,1.103,0.72,0.292,12.71,2.406,0.50,0.537,73.63,8.97,1.142e+12,8.22,-11.7,-10.9
UGC03546,30,1,55.0,262.0,28.73,3.816,0.23,33.77,39.981,0.10,11.17,1.609,0.63,0.345,23.39,2.979,0.40,0.458,51.95,8.90,2.063e+12,7.74,+0.1,+9.6
UGC05253,73,2,37.0,248.0,16.28,7.771,0.27,33.03,62.904,0.07,19.87,6.041,0.37,0.317,16.46,6.350,0.63,0.489,51.90,15.16,7.269e+12,6.82,-3.5,+13.6
UGC03205,48,1,67.0,237.0,27.18,19.585,0.27,19.88,24.728,0.31,12.56,3.142,0.50,0.541,12.79,3.566,0.50,0.697,71.96,12.02,2.665e+12,7.54,-3.5,+3.9
UGC02916,43,2,50.0,218.0,24.00,36.509,0.16,36.17,106.511,0.09,29.25,12.808,0.16,0.211,25.60,12.641,0.21,0.361,40.95,14.68,3.279e+12,7.39,+7.9,+14.6
UGC06614,13,1,36.0,205.0,25.79,8.319,0.54,50.31,22.548,0.00,16.20,1.659,0.85,0.252,9.09,0.470,0.92,0.224,65.55,14.58,3.291e+12,7.39,-0.1,+24.3
UGC08699,41,2,73.0,202.0,14.88,9.818,0.20,17.21,12.026,0.10,11.27,0.786,0.78,0.383,14.48,1.504,0.66,0.568,57.26,7.92,6.680e+11,8.68,-6.1,-8.9
UGC03580,47,2,63.0,131.0,23.57,72.320,0.11,22.64,57.800,0.13,9.05,6.886,0.36,0.129,7.57,3.442,0.40,0.170,36.01,5.22,2.477e+11,9.59,+10.6,+6.4
