Galaksi,T,D_Mpc,eD_Mpc,fD,Inc_deg,eInc_deg,L36_1e9Lsun,eL36_1e9Lsun,Reff_kpc,SBeff,Rdisk_kpc,SBdisk,MHI_1e9Msun,RHI_kpc,Vflat_kms,eVflat_kms,Q,Kaynak,N_nokta
NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,18
UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",43
UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",115
UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",48
UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",30
UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",47
UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",73
UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",13
UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",71
UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",41
UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",68
UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",65
