Galaksi,N,Q,Inc_deg,Vmax_kms,ONG_evr_rms,ONG_evr_chi2ind,ONG_evr_hataici,ONG_lcdm_rms,ONG_lcdm_chi2ind,ONG_lcdm_hataici,FIT_evr_rms,FIT_evr_chi2ind,FIT_evr_hataici,FIT_evr_Ystar,FIT_lcdm_rms,FIT_lcdm_chi2ind,FIT_lcdm_hataici,FIT_lcdm_Ystar,BAR_rms,ONG_evr_lomega_kpc,ONG_lcdm_M200_Msun,ONG_lcdm_c200,DIS_evr_sapma_yuzde,DIS_lcdm_sapma_yuzde
UGC02885,19,1,64.0,305.0,21.41,4.585,0.37,157.49,248.019,0.05,16.29,2.966,0.79,0.582,12.93,1.868,0.63,0.591,114.83,24.59,6.392e+13,5.47,-5.1,+67.8
UGC11455,36,1,90.0,291.0,13.18,4.146,0.44,90.99,190.348,0.00,14.03,5.436,0.36,0.286,13.44,5.760,0.36,0.403,60.05,19.54,5.277e+13,5.58,+2.9,+40.8
UGC12506,31,2,86.0,255.0,40.38,8.694,0.10,30.81,4.649,0.29,16.65,0.841,0.84,1.328,14.24,0.689,0.84,1.308,116.02,16.37,4.350e+12,7.18,-9.4,+13.0
NGC0801,13,1,80.0,238.0,35.93,86.453,0.00,131.84,1305.492,0.08,12.06,5.658,0.31,0.519,14.08,7.581,0.31,0.520,53.96,21.24,3.332e+13,5.85,+20.5,+84.8
NGC5907,19,1,88.0,235.0,23.43,22.773,0.37,67.33,715.106,0.05,16.01,11.413,0.16,0.716,10.43,6.043,0.21,0.663,86.48,14.37,7.685e+12,6.78,+0.9,+40.8
NGC5033,22,1,66.0,225.0,12.60,10.518,0.32,24.85,45.541,0.23,16.59,8.704,0.23,0.450,23.67,11.642,0.18,0.634,81.80,12.18,2.500e+12,7.59,-1.9,+13.7
NGC2998,13,1,58.0,214.0,32.53,13.763,0.08,46.04,270.294,0.00,21.93,2.527,0.38,0.547,21.50,2.493,0.38,0.604,71.79,15.30,5.274e+12,7.04,+5.7,+27.6
NGC3893,10,1,49.0,194.0,7.80,0.889,0.70,9.51,1.971,0.40,4.27,0.317,0.90,0.451,8.85,1.296,0.60,0.507,58.42,7.65,8.009e+11,8.52,-5.1,-3.0
NGC6946,58,1,38.0,181.0,14.71,27.850,0.19,15.42,15.100,0.02,4.95,1.669,0.64,0.315,7.51,1.980,0.59,0.442,42.15,8.35,9.486e+11,8.37,+8.6,+9.9
NGC3877,13,2,76.0,171.0,20.90,12.322,0.15,21.41,10.542,0.15,11.95,3.971,0.31,0.207,16.87,6.095,0.31,0.420,33.84,7.98,1.093e+12,8.26,+14.3,+12.2
