Galaksi,N,Q,Inc_deg,Vmax_kms,ONG_evr_rms,ONG_evr_chi2ind,ONG_evr_hataici,ONG_lcdm_rms,ONG_lcdm_chi2ind,ONG_lcdm_hataici,FIT_evr_rms,FIT_evr_chi2ind,FIT_evr_hataici,FIT_evr_Ystar,FIT_lcdm_rms,FIT_lcdm_chi2ind,FIT_lcdm_hataici,FIT_lcdm_Ystar,BAR_rms,ONG_evr_lomega_kpc,ONG_lcdm_M200_Msun,ONG_lcdm_c200,DIS_evr_sapma_yuzde,DIS_lcdm_sapma_yuzde
NGC4010,12,2,89.0,129.0,12.59,4.417,0.42,11.25,3.642,0.33,10.36,3.521,0.42,0.163,7.38,2.265,0.50,0.050,36.86,4.34,2.875e+11,9.45,-0.7,-1.7
F568-3,18,1,40.0,120.0,9.04,3.770,0.61,12.60,12.051,0.67,10.65,3.966,0.61,0.274,15.88,8.903,0.28,0.050,44.56,4.30,1.939e+11,9.83,-6.8,+1.3
F568-V1,15,1,40.0,118.0,29.74,11.471,0.13,20.96,5.433,0.33,6.72,0.207,1.00,2.000,7.07,0.183,1.00,2.000,65.52,3.64,1.332e+11,10.21,-25.0,-18.9
NGC7793,46,1,47.0,116.0,6.16,1.102,0.61,6.95,0.936,0.72,6.18,0.805,0.74,0.387,6.61,0.879,0.74,0.581,26.41,3.09,1.782e+11,9.92,+1.7,-3.6
ESO116-G012,15,1,74.0,112.0,12.46,23.273,0.07,11.48,19.730,0.13,6.08,4.527,0.40,0.280,4.50,2.316,0.47,0.323,46.79,2.96,1.405e+11,10.16,-14.5,-13.6
UGC06930,10,1,32.0,109.0,9.26,1.679,0.60,5.08,0.515,0.90,2.37,0.155,1.00,1.168,3.74,0.287,0.90,0.571,46.00,4.28,2.007e+11,9.80,+5.0,+4.5
NGC0247,26,2,74.0,108.0,4.71,13.637,0.73,7.09,17.439,0.38,7.14,2.502,0.46,2.000,5.38,4.091,0.62,0.050,44.34,3.52,1.817e+11,9.90,-0.9,+3.2
F574-1,14,1,65.0,99.7,11.38,6.106,0.21,5.68,1.629,0.79,5.14,1.513,0.79,1.198,5.58,1.781,0.79,0.165,48.53,3.16,1.717e+11,9.95,-9.6,+0.8
NGC0300,25,2,42.0,97.0,11.09,9.256,0.24,4.70,2.046,0.68,4.47,1.086,0.76,0.497,3.97,0.694,0.84,0.115,46.48,2.18,1.178e+11,10.34,-11.5,-3.4
UGC04278,25,1,90.0,92.8,10.41,5.605,0.60,9.33,4.054,0.32,8.13,4.008,0.32,0.503,8.50,3.427,0.24,0.050,36.13,2.32,8.240e+10,10.72,-17.3,-5.7
NGC5585,24,1,51.0,92.3,9.45,36.485,0.29,8.31,26.723,0.38,5.84,9.168,0.17,0.167,3.91,5.600,0.29,0.050,31.68,2.75,1.182e+11,10.34,-2.2,+1.0
UGC06446,17,1,51.0,84.9,12.72,9.191,0.29,6.30,2.218,0.41,2.08,0.202,1.00,1.895,2.45,0.200,0.94,1.357,43.36,2.36,7.296e+10,10.85,-5.0,-4.7
F571-V1,7,2,30.0,84.3,2.43,0.117,1.00,9.99,1.185,0.71,1.41,0.037,1.00,0.855,7.42,0.801,0.86,0.050,39.79,2.50,9.598e+10,10.55,+0.0,+3.5
UGC05721,23,1,61.0,82.6,18.22,14.661,0.13,17.08,12.497,0.04,6.47,1.933,0.35,0.678,7.05,2.276,0.35,1.455,43.42,1.49,5.584e+10,11.15,-23.9,-18.4
UGC07603,12,1,78.0,64.0,9.43,10.652,0.25,4.64,2.578,0.08,1.80,0.464,0.83,0.273,3.20,1.472,0.67,0.365,31.45,0.91,4.818e+10,11.32,-18.6,-6.4
UGC08550,11,1,90.0,57.8,6.65,9.627,0.18,3.09,2.210,0.36,2.38,1.618,0.36,1.116,1.55,0.622,0.91,0.778,29.60,1.16,4.307e+10,11.44,-8.2,+6.2
