Galaksi,N,Q,Inc_deg,Vmax_kms,ONG_evr_rms,ONG_evr_chi2ind,ONG_evr_hataici,ONG_lcdm_rms,ONG_lcdm_chi2ind,ONG_lcdm_hataici,FIT_evr_rms,FIT_evr_chi2ind,FIT_evr_hataici,FIT_evr_Ystar,FIT_lcdm_rms,FIT_lcdm_chi2ind,FIT_lcdm_hataici,FIT_lcdm_Ystar,BAR_rms,ONG_evr_lomega_kpc,ONG_lcdm_M200_Msun,ONG_lcdm_c200,DIS_evr_sapma_yuzde,DIS_lcdm_sapma_yuzde
UGC00128,22,1,57.0,134.0,11.80,99.837,0.32,12.11,62.407,0.09,4.02,3.416,0.32,1.686,4.57,2.418,0.59,0.268,74.49,6.20,2.346e+11,9.64,+0.9,-10.8
UGC05986,15,2,90.0,116.0,19.14,46.837,0.07,16.96,38.257,0.07,5.64,3.467,0.33,0.403,7.51,5.785,0.27,0.567,54.04,2.67,1.466e+11,10.11,-19.8,-16.3
UGC06917,11,1,56.0,111.0,12.47,10.417,0.00,4.72,1.400,0.55,2.13,0.344,0.91,1.043,2.99,0.707,0.73,0.299,46.44,3.30,1.755e+11,9.93,-8.4,-3.6
UGC07399,10,1,55.0,106.0,31.38,99.306,0.00,25.73,66.636,0.00,3.37,1.253,0.80,1.598,3.57,1.968,0.70,1.614,58.89,1.61,7.811e+10,10.78,-33.8,-27.8
UGC12732,16,1,39.0,98.0,9.13,6.478,0.12,2.94,0.742,0.81,2.61,0.562,0.88,1.604,1.87,0.362,0.88,0.050,44.73,3.70,9.168e+10,10.60,-0.1,-1.3
UGC04325,8,1,41.0,92.7,19.97,42.756,0.00,15.32,25.155,0.00,6.11,5.327,0.38,2.000,4.28,2.618,0.75,2.000,46.16,1.93,9.995e+10,10.51,-15.6,-13.3
UGC02259,8,2,41.0,90.0,19.99,91.941,0.00,10.44,28.258,0.00,7.25,6.920,0.25,2.000,3.00,1.753,0.38,1.858,48.10,1.91,9.308e+10,10.59,-15.5,-8.1
UGC06399,9,1,75.0,87.6,8.21,3.335,0.22,5.81,0.942,0.78,2.28,0.223,1.00,0.692,5.32,0.994,0.78,0.050,38.71,2.04,1.057e+11,10.45,-10.6,-2.6
NGC0055,21,2,77.0,87.4,12.68,28.325,0.00,16.54,53.268,0.00,2.00,0.699,0.90,0.050,7.96,10.472,0.19,0.050,30.10,3.18,1.456e+11,10.12,+14.3,+15.5
F583-1,25,1,63.0,86.9,12.56,5.765,0.36,9.97,3.687,0.60,8.75,2.549,0.56,1.721,9.42,3.295,0.48,0.050,37.88,3.41,7.289e+10,10.85,-15.4,-2.1
UGC11557,12,2,30.0,85.0,33.25,18.652,0.00,32.71,18.042,0.00,8.20,1.210,0.67,0.175,10.71,2.043,0.67,0.050,11.06,4.02,2.355e+11,9.64,+40.7,+39.6
UGC11820,10,1,45.0,84.5,8.26,40.520,0.20,5.88,18.057,0.30,4.61,1.714,0.50,0.724,4.63,8.944,0.40,0.050,30.78,3.19,7.238e+10,10.86,+12.4,+6.9
UGC00191,9,1,45.0,83.8,8.71,17.818,0.11,5.03,7.075,0.22,4.26,3.928,0.22,1.255,5.02,3.498,0.33,0.486,31.92,2.61,9.946e+10,10.52,-4.2,-0.4
UGC07524,31,1,46.0,83.8,4.52,1.909,0.61,9.97,9.653,0.00,3.30,0.984,0.68,1.127,4.51,2.106,0.68,0.050,34.29,2.74,1.085e+11,10.42,+3.5,+11.0
UGC08490,30,1,50.0,80.1,12.48,11.438,0.00,8.35,5.120,0.27,2.87,0.646,0.90,0.970,2.13,0.357,0.93,1.358,44.87,1.74,7.388e+10,10.84,-13.7,-4.4
UGC07089,12,2,80.0,79.1,10.41,5.317,0.25,18.36,16.141,0.00,2.24,0.287,1.00,0.137,6.82,2.367,0.50,0.050,25.46,2.38,1.293e+11,10.24,+12.3,+21.7
UGC05750,11,1,64.0,78.9,12.37,2.087,0.36,23.86,13.388,0.00,6.22,0.587,0.91,1.200,11.45,2.328,0.45,2.000,27.51,4.04,1.251e+11,10.28,+12.6,+24.6
UGC07261,7,2,30.0,76.1,9.66,2.912,0.57,3.55,0.394,1.00,6.48,1.834,0.86,1.179,1.97,0.170,1.00,0.703,33.05,1.95,9.374e+10,10.58,-2.5,+5.3
UGC05716,12,2,54.0,74.7,7.97,31.490,0.08,2.06,3.796,0.42,3.35,4.381,0.25,1.560,1.21,1.090,0.58,0.060,38.60,2.12,5.833e+10,11.10,+1.1,+1.2
UGC06818,8,2,75.0,74.4,10.21,4.762,0.50,17.02,13.014,0.25,4.59,1.111,0.50,0.050,10.30,5.587,0.12,0.050,27.07,1.60,8.975e+10,10.63,-4.5,+9.6
UGC04499,9,1,50.0,74.3,4.27,2.302,0.44,9.43,9.462,0.00,1.30,0.277,1.00,0.777,3.25,0.896,0.89,0.050,28.74,2.19,8.885e+10,10.64,+6.9,+11.3
UGC10310,7,1,34.0,73.2,8.03,2.519,0.29,7.67,2.295,0.43,1.70,0.159,1.00,2.000,3.01,0.496,0.86,0.893,31.26,2.13,9.346e+10,10.58,+8.9,+13.5
UGC12632,15,1,46.0,73.2,6.95,4.195,0.13,8.47,6.562,0.00,2.18,0.299,0.93,2.000,2.96,0.420,0.87,0.050,34.55,2.36,8.224e+10,10.72,+5.4,+12.4
IC2574,34,2,75.0,67.5,8.83,30.615,0.09,23.08,232.453,0.00,2.35,1.914,0.79,0.177,10.36,25.965,0.24,2.000,23.78,2.02,7.385e+10,10.84,+15.2,+32.7
NGC3109,25,1,70.0,67.3,7.76,9.276,0.24,8.41,31.193,0.32,2.76,2.373,0.56,0.050,9.11,29.123,0.16,0.050,32.08,1.09,3.637e+10,11.64,-16.8,-4.1
UGC07125,13,1,90.0,65.6,24.58,89.334,0.00,27.40,125.136,0.00,2.89,1.475,0.31,0.902,4.12,2.228,0.62,0.050,21.21,3.41,1.139e+11,10.37,+49.2,+44.1
UGCA442,8,1,64.0,57.8,3.70,6.394,0.38,5.93,10.592,0.38,3.27,5.282,0.38,0.050,5.03,9.857,0.38,0.050,27.60,0.94,3.167e+10,11.81,-6.6,+1.7
UGC01281,25,1,90.0,56.9,4.05,0.890,0.72,10.93,5.985,0.12,2.66,0.422,0.84,0.131,7.57,3.370,0.28,0.115,22.14,1.08,4.690e+10,11.35,-5.2,+12.2
