Galaksi,N,Q,Inc_deg,Vmax_kms,ONG_evr_rms,ONG_evr_chi2ind,ONG_evr_hataici,ONG_lcdm_rms,ONG_lcdm_chi2ind,ONG_lcdm_hataici,FIT_evr_rms,FIT_evr_chi2ind,FIT_evr_hataici,FIT_evr_Ystar,FIT_lcdm_rms,FIT_lcdm_chi2ind,FIT_lcdm_hataici,FIT_lcdm_Ystar,BAR_rms,ONG_evr_lomega_kpc,ONG_lcdm_M200_Msun,ONG_lcdm_c200,DIS_evr_sapma_yuzde,DIS_lcdm_sapma_yuzde
UGC05005,11,1,41.0,100.0,10.14,0.993,0.64,17.99,3.487,0.45,4.00,0.109,1.00,0.310,13.21,2.176,0.36,0.050,39.72,4.76,1.376e+11,10.18,+8.8,+4.3
F565-V2,7,2,60.0,83.1,10.47,2.738,0.29,10.08,1.549,0.43,3.01,0.165,1.00,0.802,9.89,1.534,0.71,0.050,41.09,1.79,5.708e+10,11.12,-15.3,-9.2
UGC06923,6,2,65.0,81.1,4.68,0.646,0.83,7.75,1.538,0.67,3.66,0.685,0.83,0.354,3.36,0.645,1.00,0.050,25.93,2.02,1.172e+11,10.34,+1.7,+4.2
UGC00731,12,1,57.0,74.0,12.74,22.702,0.08,1.92,0.603,0.83,8.74,12.724,0.08,2.000,1.58,0.485,0.92,0.050,38.17,2.48,4.516e+10,11.39,+5.8,-2.2
UGC05829,11,2,34.0,68.6,6.84,1.827,0.55,12.12,5.742,0.00,1.90,0.173,0.91,1.747,5.44,1.414,0.55,0.080,24.75,1.99,5.730e+10,11.12,+13.5,+16.1
DDO161,31,1,70.0,67.5,14.66,79.760,0.00,15.93,65.279,0.00,2.57,1.496,0.52,0.050,8.95,13.219,0.10,0.050,23.32,2.20,5.660e+10,11.13,+22.3,+16.7
ESO444-G084,7,2,32.0,63.1,12.64,40.074,0.00,8.87,22.076,0.29,2.40,1.943,0.57,0.050,2.20,0.649,0.86,0.050,33.35,0.68,2.377e+10,12.15,-27.0,-19.1
DDO170,8,2,66.0,62.2,9.18,64.976,0.12,14.72,130.442,0.00,1.56,2.446,0.50,1.429,5.41,9.838,0.38,0.050,27.33,1.90,5.637e+10,11.14,+20.1,+21.9
UGC05414,6,1,55.0,61.4,5.61,5.230,0.00,11.58,22.281,0.00,2.93,2.146,0.50,0.688,4.37,4.731,0.50,0.050,19.48,1.31,7.713e+10,10.79,+8.6,+17.9
UGC07690,7,2,41.0,60.7,5.85,1.841,0.43,7.03,2.660,0.43,0.84,0.053,1.00,0.982,2.26,0.385,0.86,0.891,22.75,1.22,6.864e+10,10.92,+8.3,+16.8
D631-7,16,1,59.0,58.5,9.20,20.610,0.12,11.88,39.168,0.25,8.04,11.696,0.06,0.050,9.19,18.492,0.06,0.050,26.33,0.99,3.652e+10,11.64,-5.2,+7.6
UGC05764,10,2,60.0,55.8,10.23,84.408,0.20,5.40,27.320,0.40,5.26,10.010,0.20,2.000,4.39,6.156,0.10,2.000,29.63,0.81,2.565e+10,12.06,-11.0,-5.2
DDO168,10,2,63.0,55.0,6.75,23.673,0.30,8.43,34.004,0.20,5.70,17.653,0.20,0.050,6.50,21.484,0.20,0.050,21.02,1.03,3.613e+10,11.65,+0.2,+5.3
NGC3741,21,1,70.0,51.6,4.64,3.841,0.33,5.32,5.648,0.24,1.22,0.333,0.90,0.135,4.53,4.161,0.19,0.050,25.90,0.74,1.605e+10,12.64,-13.5,+0.2
