galaksi,sinif,k,v_dis_kms,sigma_est_kms,v_sigma,birincil
NGC7814,01_erken_spiral,2.313,214.0,37.29,5.74,1
UGC02916,01_erken_spiral,0.525,215.0,60.32,3.56,1
UGC02953,01_erken_spiral,1.948,283.0,16.94,16.70,1
UGC03205,01_erken_spiral,1.282,221.0,5.43,40.68,1
UGC05253,01_erken_spiral,0.608,246.0,33.73,7.29,1
UGC11914,01_erken_spiral,1.600,286.0,59.83,4.78,1
ESO079-G014,02_orta_spiral,1.794,170.0,15.73,10.81,1
NGC0289,02_orta_spiral,0.713,176.0,15.73,11.19,1
NGC1090,02_orta_spiral,0.594,165.0,10.86,15.19,1
NGC2841,02_orta_spiral,4.492,288.0,8.35,34.49,1
NGC2903,02_orta_spiral,1.190,187.0,11.51,16.24,1
NGC2955,02_orta_spiral,0.483,262.0,63.56,4.12,1
NGC3521,02_orta_spiral,0.539,214.0,10.46,20.46,1
NGC3769,02_orta_spiral,0.895,118.0,20.76,5.69,1
NGC3949,02_orta_spiral,1.046,165.0,20.76,7.95,1
NGC3953,02_orta_spiral,0.885,223.5,8.27,27.03,1
NGC3992,02_orta_spiral,2.145,241.5,5.92,40.80,1
NGC4013,02_orta_spiral,2.729,173.0,8.11,21.34,1
NGC4051,02_orta_spiral,0.140,154.0,22.54,6.83,1
NGC4088,02_orta_spiral,0.132,171.0,29.51,5.79,1
NGC4100,02_orta_spiral,1.471,175.0,13.62,12.85,1
NGC4157,02_orta_spiral,0.757,184.5,21.32,8.65,1
NGC4217,02_orta_spiral,0.325,183.0,21.08,8.68,1
NGC5055,02_orta_spiral,0.526,180.5,9.89,18.25,1
NGC5371,02_orta_spiral,0.162,213.0,13.22,16.12,1
NGC6195,02_orta_spiral,0.150,250.0,44.10,5.67,1
NGC6674,02_orta_spiral,1.617,242.0,7.05,34.31,1
NGC7331,02_orta_spiral,0.953,238.0,11.76,20.25,1
F583-4,03_gec_spiral,1.032,63.5,7.86,8.07,1
NGC0024,03_gec_spiral,5.066,105.0,6.32,16.60,1
NGC0100,03_gec_spiral,1.752,85.3,11.35,7.52,1
NGC0801,03_gec_spiral,0.285,217.5,14.03,15.51,1
NGC1003,03_gec_spiral,1.421,109.5,18.57,5.90,1
NGC2998,03_gec_spiral,0.778,213.0,10.95,19.46,1
NGC3198,03_gec_spiral,1.025,150.0,10.62,14.12,1
NGC3726,03_gec_spiral,0.814,162.5,19.30,8.42,1
NGC3893,03_gec_spiral,1.515,179.0,23.59,7.59,1
NGC3917,03_gec_spiral,1.345,137.0,7.86,17.42,1
NGC4085,03_gec_spiral,0.348,133.0,17.19,7.74,1
NGC4183,03_gec_spiral,0.757,110.0,13.94,7.89,1
NGC4559,03_gec_spiral,0.593,122.0,12.32,9.90,1
NGC5907,03_gec_spiral,1.031,215.0,7.30,29.47,1
NGC6015,03_gec_spiral,1.398,158.0,5.59,28.24,1
NGC6503,03_gec_spiral,1.363,115.0,73.37,1.57,1
UGC06667,03_gec_spiral,3.207,84.5,11.76,7.19,1
UGC06983,03_gec_spiral,1.263,109.0,16.05,6.79,1
UGC07151,03_gec_spiral,0.805,72.5,9.73,7.45,1
UGC08286,03_gec_spiral,2.485,83.1,4.86,17.07,1
UGC09037,03_gec_spiral,0.400,155.0,17.03,9.10,1
UGC11455,03_gec_spiral,0.721,273.0,8.11,33.67,1
UGC12506,03_gec_spiral,1.981,238.0,10.54,22.58,1
ESO116-G012,04_cok_gec_spiral,2.412,109.0,11.76,9.27,1
F568-3,04_cok_gec_spiral,1.340,97.5,7.62,12.79,1
F568-V1,04_cok_gec_spiral,4.348,113.0,29.02,3.89,1
F574-1,04_cok_gec_spiral,1.791,97.8,15.16,6.45,1
NGC0300,04_cok_gec_spiral,2.018,92.7,13.38,6.93,1
NGC4010,04_cok_gec_spiral,1.006,125.5,15.00,8.37,1
NGC5585,04_cok_gec_spiral,1.145,89.5,12.57,7.12,1
NGC7793,04_cok_gec_spiral,0.889,101.0,18.89,5.35,1
UGC04278,04_cok_gec_spiral,2.809,81.4,17.03,4.78,1
UGC05721,04_cok_gec_spiral,3.819,78.6,15.73,5.00,1
UGC06446,04_cok_gec_spiral,1.275,82.4,21.89,3.77,1
UGC07603,04_cok_gec_spiral,2.827,61.5,29.02,2.12,1
UGC08550,04_cok_gec_spiral,1.752,57.3,17.84,3.21,1
F583-1,05_macellan,3.095,72.9,5.43,13.42,1
NGC0055,05_macellan,0.497,85.8,18.24,4.70,1
NGC3109,05_macellan,2.511,62.0,10.38,5.97,1
UGC00128,05_macellan,1.013,131.0,17.43,7.52,1
UGC00191,05_macellan,0.996,78.8,14.84,5.31,1
UGC01281,05_macellan,1.417,51.1,10.54,4.85,1
UGC02259,05_macellan,2.392,87.2,13.54,6.44,1
UGC04325,05_macellan,2.631,91.5,16.05,5.70,1
UGC04499,05_macellan,0.735,73.0,19.05,3.83,1
UGC05716,05_macellan,0.928,73.1,11.51,6.35,1
UGC05986,05_macellan,3.460,114.0,8.11,14.06,1
UGC06818,05_macellan,1.336,69.7,19.30,3.61,1
UGC06917,05_macellan,1.730,105.0,10.78,9.74,1
UGC07089,05_macellan,0.552,73.2,8.27,8.86,1
UGC07125,05_macellan,0.099,65.2,23.51,2.78,1
UGC07399,05_macellan,7.607,100.0,38.59,2.59,1
UGC07524,05_macellan,0.794,77.1,15.81,4.88,1
UGC08490,05_macellan,2.111,79.5,6.32,12.57,1
UGC10310,05_macellan,0.586,72.4,29.02,2.49,1
UGC11557,05_macellan,0.039,79.8,35.67,2.24,1
UGC11820,05_macellan,0.568,77.0,27.48,2.80,1
UGC12632,05_macellan,0.714,71.4,21.40,3.34,1
UGC12732,05_macellan,0.984,86.8,16.70,5.19,1
UGCA442,05_macellan,1.468,56.5,10.86,5.20,1
DDO064,06_duzensiz,1.006,46.3,26.27,1.76,1
DDO154,06_duzensiz,1.067,46.8,13.94,3.36,1
DDO161,06_duzensiz,0.344,65.6,11.19,5.86,1
F565-V2,06_duzensiz,2.213,78.5,5.68,13.83,1
NGC3741,06_duzensiz,1.966,47.6,14.59,3.26,1
NGC4068,06_duzensiz,0.223,36.0,18.65,1.93,1
UGC05414,06_duzensiz,0.655,56.8,13.86,4.10,1
UGC05764,06_duzensiz,1.934,54.0,15.89,3.40,1
UGC05829,06_duzensiz,0.512,60.7,21.73,2.79,1
UGC06923,06_duzensiz,0.900,79.3,20.59,3.85,1
UGC07577,06_duzensiz,0.012,15.0,12.73,1.18,1
NGC4138,S0,1.632,147.0,16.30,9.02,0
UGC06786,S0,3.028,222.0,9.00,24.67,0
