grup,g,k,durum,u,rms_taban,rms_k,rms_u,logSBeff,logSBdisk,logSigEff,gazkesri,logVflat,logRHI_Rd,logMbar,diklik,calkanti,bicim
01_erken_spiral,NGC7814,2.313,ok,1.306,23.59,20.51,33.84,3.433,3.421,3.212,0.05258,2.34,0.6797,10.65,0.03226,0.003774,1.065
01_erken_spiral,UGC02916,0.525,ok,0.8652,39.8,30.45,27.63,3.385,2.717,3.382,0.3716,2.262,0.7457,11.07,0.009737,0.004587,1.204
01_erken_spiral,UGC02953,1.948,ok,1.244,30.51,28.67,39.05,3.189,3.625,2.973,0.09048,2.423,0.83,11.17,0.04408,0.003135,1.096
01_erken_spiral,UGC03205,1.282,ok,1.081,15.58,12.67,12.58,2.769,3.593,2.645,0.2141,2.342,0.9526,10.9,0.07592,0.008439,1.005
01_erken_spiral,UGC03546,1.116,ok,1.03,35.85,36.38,38.73,3.381,2.965,3.018,0.1083,2.294,0.6855,10.64,0.02155,0.007634,0.9845
01_erken_spiral,UGC03580,0.6684,ok,0.879,31.9,28.71,26.48,2.789,2.481,2.848,0.511,2.101,0.9148,10.18,0.2783,0.0126,0.7806
01_erken_spiral,UGC05253,0.6076,ok,0.9093,26.03,22.98,20.42,3.173,2.277,3.041,0.2239,2.33,0.6571,11.1,0.002439,0,1.128
01_erken_spiral,UGC06614,1.023,ok,1.009,25.2,25.55,25.83,3.165,2.733,3.138,0.4821,2.301,1.075,11.07,0.05001,0.007317,0.8529
01_erken_spiral,UGC06787,2.867,ok,1.341,35.41,36.01,50.91,3.277,2.633,3.112,0.1405,2.395,0.6923,10.83,0.009411,0.007246,0.9961
01_erken_spiral,UGC08699,1.511,ok,1.116,17.71,17.67,21.04,3.341,3.137,3.178,0.2008,2.261,0.7899,10.54,0.01673,0.009901,0.9617
01_erken_spiral,UGC09133,0.8895,ok,0.9599,24.22,22.89,21.7,3.109,2.937,3.001,0.3013,2.356,0.9374,11.34,0.002954,0.00346,1.144
01_erken_spiral,UGC11914,1.6,ok,1.08,15.68,8.973,8.858,3.385,3.501,3.065,0.02761,2.46,0.5792,10.85,0.08545,0.003279,0.9508
02_orta_spiral,ESO079-G014,1.794,ok,1.207,14.95,14.03,13.75,2.197,3.361,1.947,0.2184,2.243,0.5414,10.46,0.5003,0.06376,0.573
02_orta_spiral,ESO563-G021,2.803,ok,1.38,46.06,25.55,26.89,2.633,3.817,2.441,0.1962,2.498,1.01,11.29,0.1787,0.01246,0.9327
02_orta_spiral,IC4202,1.123,ok,1.03,27.68,28.01,28.41,2.593,3.949,2.389,0.1937,2.385,0.8275,11.05,0.1826,0.028,0.8907
02_orta_spiral,NGC0289,0.7133,ok,0.8771,14.97,11.47,12.95,3.201,1.845,3.218,0.6237,2.212,0.866,10.88,0.02109,0.02062,1.042
02_orta_spiral,NGC0891,0.5619,ok,0.8864,39.94,33.3,29.29,3.209,3.705,2.926,0.1125,2.335,0.8526,10.86,0.05377,0.008547,1.072
02_orta_spiral,NGC1090,0.5939,ok,0.8491,15.44,9.279,9.136,2.453,3.313,2.35,0.3393,2.216,0.9364,10.76,0.1692,0.01136,1.031
02_orta_spiral,NGC2683,1.059,ok,1.022,11.33,11.04,10.53,3.057,4.009,2.65,0.0632,2.188,0.8011,10.5,0.08348,0.06604,1.364
02_orta_spiral,NGC2841,4.492,ok,1.71,67.3,26.66,9.123,2.993,3.677,2.825,0.5478,2.455,1.093,11.11,0.05405,0.006192,1.048
02_orta_spiral,NGC2903,1.19,ok,1.063,28.99,29.84,32.14,2.801,3.077,2.536,0.1243,2.266,0.7713,10.65,0.07692,0.009259,1.139
02_orta_spiral,NGC2955,0.4833,ok,0.8451,34.17,21.03,17.29,2.989,1.705,2.807,0.2375,2.441,0.3325,11.32,0.06492,0.02899,1.176
02_orta_spiral,NGC3521,0.5391,ok,0.9053,12.82,11.18,9.409,3.349,3.325,3.087,0.1596,2.33,0.8951,10.66,0.04848,0.01364,1.068
02_orta_spiral,NGC3769,0.8952,ok,0.9589,7.429,6.785,6.3,2.797,2.205,2.714,0.5567,2.074,0.8246,10.19,0.09419,0.03968,1.115
02_orta_spiral,NGC3949,1.046,ok,1.01,10.28,10.6,10.68,3.025,2.269,2.617,0.2397,2.212,0.5823,10.17,0.3692,0.02663,0.7278
02_orta_spiral,NGC3953,0.8846,ok,0.9748,15.83,16.33,17.05,2.769,3.301,2.356,0.09452,2.344,0.5507,10.73,0.2232,0.03125,0.8419
02_orta_spiral,NGC3972,1.689,ok,1.173,9.039,3.226,3.15,2.217,3.201,1.97,0.2247,2.123,0.6637,9.912,0.5011,0.05224,0.6672
02_orta_spiral,NGC3992,2.145,ok,1.305,45.37,33.88,24.97,2.557,3.513,2.146,0.2458,2.382,0.8197,10.94,0.1997,0.02022,1.114
02_orta_spiral,NGC4013,2.729,ok,1.4,21.27,13.47,19.68,2.873,4.009,2.225,0.2776,2.238,0.9485,10.25,0.177,0.0101,1.147
02_orta_spiral,NGC4051,0.1397,ok,0.6852,21.81,7.994,12.88,2.505,3.121,2.063,0.1243,2.196,0.5124,10.54,0.4299,0.03727,0.7582
02_orta_spiral,NGC4088,0.1317,ok,0.641,41.13,15.53,7.167,2.661,3.601,2.424,0.2028,2.235,0.9357,10.79,0.2439,0.01648,0.931
02_orta_spiral,NGC4100,1.471,ok,1.131,15.56,10.72,9.033,2.589,3.953,2.278,0.1946,2.199,0.9243,10.46,0.192,0.01538,1.195
02_orta_spiral,NGC4157,0.7568,ok,0.915,20.87,16.21,13.73,2.929,4.377,2.687,0.2112,2.266,1.016,10.78,0.177,0.00995,1.086
02_orta_spiral,NGC4217,0.3254,ok,0.7726,63.73,50.94,42.07,2.685,3.641,2.504,0.07754,2.258,0.7544,10.75,0.2093,0.01309,0.9775
02_orta_spiral,NGC5005,0.5221,ok,0.9002,27.35,20.21,16.52,3.253,1.985,2.957,0.07993,2.419,0.04202,10.95,0.08544,0.003774,0.9208
02_orta_spiral,NGC5055,0.526,ok,0.8129,30.38,19.23,11.06,3.141,3.525,2.935,0.2338,2.253,1.04,10.98,0.03957,0.009709,1.198
02_orta_spiral,NGC5371,0.1623,ok,0.6811,40.54,18.93,27.19,2.749,3.145,2.471,0.101,2.321,0.606,11.25,0.03136,0.0124,1.094
02_orta_spiral,NGC5985,4.448,ok,1.601,78.27,40.08,31.71,2.461,3.165,2.176,0.1689,2.468,0.7509,11.03,0.1431,0.01311,1.014
02_orta_spiral,NGC6195,0.1496,ok,0.7126,42.78,14.39,9.246,2.837,2.241,2.588,0.1668,2.401,0.4674,11.34,0.06423,0.01938,1.008
02_orta_spiral,NGC6674,1.617,ok,1.208,31.07,20.35,14.94,2.749,3.137,2.57,0.2408,2.383,0.9181,11.15,0.1034,0.0189,1.132
02_orta_spiral,NGC7331,0.9534,ok,0.987,26.94,26.41,25.7,3.393,3.257,3.012,0.1889,2.378,0.7308,11.01,0.07353,0.007782,1.071
03_gec_spiral,F571-8,3.676,ok,1.679,32,38.22,44.44,2.917,1.941,2.691,0.0761,2.145,0.8386,9.781,0.3929,0.06597,0.6049
03_gec_spiral,F583-4,1.032,ok,1.012,3.017,3.142,3.142,1.397,1.921,1.277,0.3057,1.844,0.6065,9.115,0.5967,0.03863,0.6109
03_gec_spiral,NGC0024,5.066,ok,1.711,20.51,7.34,4.816,2.181,3.073,2.174,0.2912,2.027,0.7356,9.578,0.1313,0.025,0.9727
03_gec_spiral,NGC0100,1.752,ok,1.25,8.17,8.841,9.306,1.813,3.077,1.721,0.4011,1.945,0.9937,9.416,0.4033,0.02577,0.6086
03_gec_spiral,NGC0801,0.285,ok,0.6958,33.61,12.66,21.75,2.913,3.193,2.817,0.2505,2.343,0.7126,11.4,0.03276,0.02101,1.042
03_gec_spiral,NGC1003,1.421,ok,1.16,7.347,7.256,7.963,2.149,3.129,2.426,0.7729,2.041,1.316,10.11,0.2057,0.01739,0.8957
03_gec_spiral,NGC2403,1.742,ok,1.226,9.616,7.357,9.329,2.533,3.149,2.637,0.6071,2.118,1.036,10.1,0.172,0.007353,0.903
03_gec_spiral,NGC2976,0.5423,ok,0.8656,8.428,5.257,5.812,2.489,3.177,2.191,0.2808,1.931,0.4786,9.224,0.6256,0.03551,0.3716
03_gec_spiral,NGC2998,0.7781,ok,0.9199,23.04,22.96,23.86,2.681,2.889,2.614,0.3167,2.322,0.8469,11.11,0.06244,0.03037,1.054
03_gec_spiral,NGC3198,1.025,ok,1.009,9.702,9.863,9.914,2.253,3.205,2.297,0.5528,2.176,1.055,10.63,0.1093,0.01274,1.04
03_gec_spiral,NGC3726,0.8142,ok,0.9402,17.12,14.74,14.04,2.297,3.253,2.036,0.2984,2.225,0.8149,10.59,0.2146,0.05917,0.982
03_gec_spiral,NGC3877,0.2519,ok,0.7659,20.59,16.8,15.14,2.777,3.533,2.462,0.06895,2.226,0.6564,10.55,0.3084,0.02047,0.716
03_gec_spiral,NGC3893,1.515,ok,1.136,8.477,5.588,8.445,3.197,3.313,2.939,0.2723,2.241,0.9423,10.51,0.1837,0.02062,1.162
03_gec_spiral,NGC3917,1.345,ok,1.105,7.32,4.402,4.319,2.053,3.089,1.861,0.2476,2.133,0.7286,10.15,0.3526,0.02174,0.7372
03_gec_spiral,NGC4085,0.348,ok,0.8134,20.83,14.59,12.17,2.933,3.701,2.621,0.08577,2.119,0.7894,10.02,0.4371,0.06618,0.5875
03_gec_spiral,NGC4183,0.7571,ok,0.9071,6.804,7.653,7.93,1.937,3.041,1.957,0.5373,2.044,0.7604,10.06,0.2079,0.01739,0.8788
03_gec_spiral,NGC4559,0.5935,ok,0.841,14.1,5.872,5.104,2.325,3.205,2.389,0.5833,2.084,1.003,10.35,0.1874,0.008065,0.8908
03_gec_spiral,NGC5033,1.166,ok,1.063,19.13,19.4,21.71,3.309,2.789,3.177,0.2329,2.288,0.7576,10.91,0.01704,0.008889,1.122
03_gec_spiral,NGC5907,1.031,ok,1.011,23.64,23.47,23.21,2.653,3.937,2.464,0.3999,2.332,nan,11.06,0.09994,0.01064,1.098
03_gec_spiral,NGC6015,1.398,ok,1.134,10.87,6.861,6.772,2.521,3.285,2.431,0.3823,2.188,0.9693,10.42,0.1013,0.01807,0.9803
03_gec_spiral,NGC6503,1.363,ok,1.135,8.569,6.953,7.804,2.889,2.601,2.756,0.377,2.066,0.8132,9.973,0.06468,0.008264,1.009
03_gec_spiral,NGC6946,0.5843,ok,0.8659,18.63,11.35,8.305,2.757,3.349,2.539,0.1417,2.201,0.94,10.58,0.009314,0.01105,1.143
03_gec_spiral,UGC02885,1.413,ok,1.134,21.28,17.96,16.67,2.625,2.673,2.552,0.3848,2.462,0.8137,11.52,0.02295,0.006557,0.9463
03_gec_spiral,UGC06667,3.207,ok,1.642,20.49,10.09,9.964,1.257,2.789,1.298,0.7151,1.923,0.2222,9.184,0.4459,0.06651,0.5274
03_gec_spiral,UGC06983,1.263,ok,1.093,16.17,13.68,13.25,1.729,2.085,1.902,0.7493,2.037,0.6995,9.893,0.2232,0.0177,0.845
03_gec_spiral,UGC07151,0.805,ok,0.9289,3.814,4.167,4.337,1.885,2.985,1.839,0.5019,1.866,0.7086,9.31,0.3636,0.02822,0.7795
03_gec_spiral,UGC08286,2.485,ok,1.43,15.22,6.425,5.925,1.597,3.173,1.776,0.6806,1.916,0.8857,9.279,0.2363,0.0172,0.8256
03_gec_spiral,UGC09037,0.4001,ok,0.7551,29.33,15.35,11.09,2.525,2.925,2.427,0.53,2.183,0.9676,10.74,0.3044,0.025,0.8158
03_gec_spiral,UGC11455,0.7214,ok,0.929,22.61,18.19,17.39,2.757,3.981,2.519,0.1118,2.43,0.8648,11.32,0.2056,0.02405,0.9662
03_gec_spiral,UGC12506,1.981,ok,1.287,41.3,27.11,24.85,2.161,3.749,2.186,0.5377,2.369,0.9029,11.17,0.1476,0.01569,1.062
04_cok_gec_spiral,ESO116-G012,2.412,ok,1.386,12.89,7.649,7.958,1.957,3.121,2.007,0.5407,2.038,0.8024,9.684,0.3732,0.0317,0.7161
04_cok_gec_spiral,F568-3,1.34,ok,1.123,9.296,8.099,8.047,1.377,2.121,1.464,0.6235,2.079,0.5098,10.01,0.5656,0.04667,0.6858
04_cok_gec_spiral,F568-V1,4.348,ok,1.839,30.21,12.73,12.18,1.497,1.957,1.778,0.7297,2.05,0.7029,9.863,0.2439,0.03814,0.8475
04_cok_gec_spiral,F571-V1,1.017,ok,1.007,2.738,2.587,2.572,1.185,1.809,1.455,0.7626,1.922,0.6116,9.536,0.429,0.0688,0.6865
04_cok_gec_spiral,F574-1,1.791,ok,1.262,11.81,6.639,6.565,1.477,2.109,1.404,0.4814,1.99,0.5599,9.739,0.3349,0.02608,0.7513
04_cok_gec_spiral,NGC0247,1.088,ok,1.032,4.969,4.469,4.447,1.529,2.705,1.497,0.5294,2.021,0.534,9.833,0.5179,0.02222,0.6523
04_cok_gec_spiral,NGC0300,2.018,ok,1.333,11.55,4.436,4.201,2.169,2.641,2.122,0.4976,1.97,0.7207,9.416,0.3076,0.0201,0.7572
04_cok_gec_spiral,NGC4010,1.006,ok,1.002,12.35,12.39,12.39,1.169,3.417,1.575,0.2669,2.1,0.7966,10.02,0.5005,0.08062,0.5369
04_cok_gec_spiral,NGC5585,1.145,ok,1.052,9.412,9.981,10.11,1.957,2.473,2.111,0.6438,1.956,0.8535,9.621,0.375,0.02275,0.7192
04_cok_gec_spiral,NGC7793,0.8894,ok,0.9704,6.602,6.361,6.345,2.369,3.029,2.24,0.335,2.064,0.7835,9.719,0.3113,0.02414,0.9075
04_cok_gec_spiral,UGC04278,2.809,ok,1.531,10.66,9.956,10.22,1.533,2.577,1.893,0.7821,1.961,0.605,9.473,0.725,0.03448,0.4364
04_cok_gec_spiral,UGC05721,3.819,ok,1.753,18.54,6.814,6.447,2.369,2.961,2.733,0.7744,1.901,1.249,9.088,0.1736,0.00908,1.034
