galaksi,sinif,k,V_dis_kms,sigma_I12esd,kaynak,v_sigma,temiz
NGC2403,03_gec_spiral,1.742,131.0,6.6,I12,19.85,1
NGC2841,02_orta_spiral,4.492,288.0,10.4,I12,27.69,1
NGC2903,02_orta_spiral,1.190,187.0,8.8,I12,21.25,1
NGC2976,03_gec_spiral,0.542,74.1,8.4,I12,8.82,1
NGC3198,03_gec_spiral,1.025,150.0,8.8,I12,17.05,1
NGC3521,02_orta_spiral,0.539,214.0,12.4,I12,17.26,1
NGC5055,02_orta_spiral,0.526,180.5,8.3,I12,21.75,1
NGC6946,03_gec_spiral,0.584,163.0,6.1,I12,26.72,1
NGC7331,02_orta_spiral,0.953,238.0,11.5,I12,20.70,1
NGC7793,04_cok_gec_spiral,0.889,101.0,6.6,I12,15.30,1
IC2574,05_macellan,0.531,57.3,5.9,I12,9.71,1
DDO154,06_duzensiz,1.067,46.8,6.0,I12,7.81,1
NGC4214,99_KARMASIK,4.269,80.4,4.5,I12,17.87,0
NGC2366,99_KARMASIK,0.435,50.7,7.9,I12,6.42,0
NGC1705,99_KARMASIK,4.450,71.5,6.0,S13u,11.93,0
UGC04483,06_duzensiz,0.366,23.5,6.8,S13u,3.46,1
DDO168,06_duzensiz,1.078,52.9,5.9,Io17u,8.97,1
UGC07559,06_duzensiz,0.274,31.1,6.1,Io17u,5.10,1
