Galaksi,Sinif,B_rms,D_rms,M_rms,B_sap,D_sap,M_sap
NGC7814,Sa-Sab,23.59,22.90,20.32,-12.20,-10.07,-10.88
UGC02916,Sa-Sab,39.80,39.30,28.13,10.06,11.04,7.85
UGC02953,Sa-Sab,30.51,28.66,30.74,-9.38,-8.35,-10.15
UGC03205,Sa-Sab,15.58,14.95,21.72,-3.45,-2.02,-3.40
UGC03546,Sa-Sab,35.85,45.29,29.63,0.08,6.43,4.31
UGC03580,Sa-Sab,31.90,31.55,26.03,10.02,11.17,12.44
UGC05253,Sa-Sab,26.03,24.27,15.26,3.30,3.96,-0.25
UGC06614,Sa-Sab,25.20,35.25,29.66,-0.80,3.50,7.06
UGC06787,Sa-Sab,35.41,34.02,29.82,-14.22,-13.31,-14.91
UGC08699,Sa-Sab,17.71,16.67,13.60,-6.55,-4.62,-5.79
UGC09133,Sa-Sab,24.22,23.61,21.18,2.08,3.28,5.88
UGC11914,Sa-Sab,15.68,14.68,34.98,-4.69,-3.38,-11.29
ESO079-G014,Sb-Sbc,14.95,12.04,11.59,-9.86,-7.56,-7.28
ESO563-G021,Sb-Sbc,46.06,41.34,45.77,-15.46,-13.08,-13.92
IC4202,Sb-Sbc,27.68,29.22,25.62,-1.16,1.74,-0.70
NGC0289,Sb-Sbc,14.97,17.68,23.45,7.31,9.67,16.15
NGC0891,Sb-Sbc,39.94,45.32,29.29,6.36,9.43,5.29
NGC1090,Sb-Sbc,15.44,17.40,18.29,8.92,10.59,13.11
NGC2683,Sb-Sbc,11.33,11.28,14.21,0.49,7.21,11.52
NGC2841,Sb-Sbc,67.30,47.30,55.51,-23.53,-17.81,-16.37
NGC2903,Sb-Sbc,28.99,31.38,23.58,-3.10,-1.74,-1.47
NGC2955,Sb-Sbc,34.17,35.31,20.77,9.84,11.36,6.84
NGC3521,Sb-Sbc,12.82,16.61,7.26,2.97,5.60,-0.99
NGC3769,Sb-Sbc,7.43,15.17,15.47,2.03,6.30,12.51
NGC3949,Sb-Sbc,10.28,19.39,9.52,-0.11,5.87,1.03
NGC3953,Sb-Sbc,15.83,14.06,10.50,1.31,8.65,4.31
NGC3972,Sb-Sbc,9.04,7.09,7.00,-7.46,-3.15,-3.30
NGC3992,Sb-Sbc,45.37,15.58,19.66,-11.71,-3.38,-1.02
NGC4013,Sb-Sbc,21.27,17.00,13.49,-15.21,0.51,3.60
NGC4051,Sb-Sbc,21.81,30.40,24.14,19.97,25.48,21.73
NGC4088,Sb-Sbc,41.13,49.00,40.44,22.70,26.13,24.17
NGC4100,Sb-Sbc,15.56,7.27,10.54,-5.22,-0.40,1.20
NGC4157,Sb-Sbc,20.87,28.61,22.00,5.10,7.60,9.04
NGC4217,Sb-Sbc,63.73,66.37,52.35,13.96,15.69,12.60
NGC5005,Sb-Sbc,27.35,28.88,10.87,5.46,7.04,-0.78
NGC5055,Sb-Sbc,30.38,34.46,27.64,11.18,12.60,15.93
NGC5371,Sb-Sbc,40.54,46.64,44.11,22.12,25.93,25.75
NGC5985,Sb-Sbc,78.27,64.66,70.77,-21.07,-16.47,-17.38
NGC6195,Sb-Sbc,42.78,48.84,33.31,17.43,20.39,15.84
NGC6674,Sb-Sbc,31.07,24.30,26.56,-8.34,-6.95,-2.43
NGC7331,Sb-Sbc,26.94,41.53,25.91,0.91,7.59,6.76
F571-8,Sc-Scd,32.00,31.88,27.94,-21.09,-21.49,-19.03
F583-4,Sc-Scd,3.02,2.59,5.33,-0.05,3.30,9.26
NGC0024,Sc-Scd,20.51,20.68,20.93,-22.41,-21.89,-21.49
NGC0100,Sc-Scd,8.17,6.91,6.00,-9.47,-6.99,-2.20
NGC0801,Sc-Scd,33.61,33.90,35.00,19.76,19.39,21.10
NGC1003,Sc-Scd,7.35,8.15,8.10,-7.22,-5.70,1.58
NGC2403,Sc-Scd,9.62,9.12,6.41,-9.72,-8.68,-6.10
NGC2976,Sc-Scd,8.43,6.70,5.42,8.00,8.65,4.81
NGC2998,Sc-Scd,23.04,23.21,27.71,5.03,4.85,6.22
NGC3198,Sc-Scd,9.70,9.99,10.91,0.19,1.86,5.66
NGC3726,Sc-Scd,17.12,28.17,25.49,6.40,12.01,14.40
NGC3877,Sc-Scd,20.59,28.20,23.02,13.81,18.74,13.99
NGC3893,Sc-Scd,8.48,10.71,6.69,-5.62,-1.56,-1.37
NGC3917,Sc-Scd,7.32,6.48,6.69,-4.70,-0.50,1.20
NGC4085,Sc-Scd,20.83,28.43,22.09,9.94,15.01,10.45
NGC4183,Sc-Scd,6.80,6.93,10.27,4.73,6.81,12.03
NGC4559,Sc-Scd,14.10,16.98,18.62,10.67,12.42,16.19
NGC5033,Sc-Scd,19.13,20.97,14.09,-2.60,-2.33,0.77
NGC5907,Sc-Scd,23.64,13.94,18.86,0.23,4.71,7.79
NGC6015,Sc-Scd,10.87,10.76,11.30,-6.13,-5.15,-1.74
NGC6503,Sc-Scd,8.57,7.08,3.99,-6.15,-4.64,1.21
NGC6946,Sc-Scd,18.63,22.19,16.45,7.98,10.43,10.35
UGC02885,Sc-Scd,21.28,13.63,16.84,-5.70,-3.71,-1.33
UGC06667,Sc-Scd,20.49,19.92,16.74,-22.18,-21.82,-16.90
UGC06983,Sc-Scd,16.17,10.77,9.23,-6.56,-3.39,1.32
UGC07151,Sc-Scd,3.81,4.34,5.53,3.28,6.17,9.08
UGC08286,Sc-Scd,15.22,13.64,11.21,-15.73,-14.12,-9.51
UGC09037,Sc-Scd,29.33,38.72,37.53,15.62,19.78,21.92
UGC11455,Sc-Scd,22.61,24.68,15.23,3.66,6.42,3.21
UGC12506,Sc-Scd,41.30,38.36,38.68,-10.01,-7.95,-5.12
ESO116-G012,Sd,12.89,11.23,9.24,-15.10,-13.58,-10.73
F568-3,Sd,9.30,8.81,7.99,-7.47,-6.06,-1.45
F568-V1,Sd,30.21,29.04,25.83,-25.54,-23.70,-19.44
F571-V1,Sd,2.74,3.44,6.31,-0.74,1.44,8.09
F574-1,Sd,11.81,11.22,8.83,-10.22,-8.03,-3.16
NGC0247,Sd,4.97,3.82,5.40,-1.64,1.27,5.86
NGC0300,Sd,11.55,8.72,5.66,-12.15,-9.41,-4.34
NGC4010,Sd,12.35,12.27,11.46,-1.24,2.10,2.67
NGC5585,Sd,9.41,8.37,8.22,-2.86,-1.16,2.70
NGC7793,Sd,6.60,6.44,5.98,1.13,3.34,1.60
UGC04278,Sd,10.66,9.61,7.64,-17.91,-16.43,-12.11
UGC05721,Sd,18.54,18.20,16.80,-24.46,-24.34,-20.41
UGC06446,Sd,13.03,11.11,9.32,-5.66,-4.64,0.60
UGC06930,Sd,9.22,7.60,10.52,4.23,7.75,12.37
UGC07603,Sd,9.73,8.78,6.86,-19.19,-17.39,-13.02
UGC08550,Sd,6.90,5.16,3.47,-8.89,-7.80,-1.72
F583-1,Sdm-Sm,12.74,11.83,10.32,-16.05,-14.31,-8.34
