galaksi,n_dis,s_obs,se,s_P,s_PE,logeN_max,dSlope_MOND,et_fit,W_dis_min
DDO064,4,0.028,0.574,0.301,0.301,-2.257,-0.0457,0.053,1.000
DDO154,5,0.003,0.074,0.016,0.016,-2.166,-0.2226,0.008,1.000
DDO168,4,0.015,0.154,0.162,0.162,-2.194,-0.0869,-0.212,1.000
F568-3,4,0.452,0.334,0.269,0.269,-2.459,-0.0475,0.238,1.000
F574-1,5,0.103,0.171,0.455,0.455,-2.217,-0.0046,0.079,1.000
IC4202,9,0.002,0.124,-0.057,-0.057,-1.942,-0.0718,0.169,1.000
NGC0100,7,0.302,0.254,0.162,0.162,-2.667,-0.0677,-0.106,1.000
NGC2683,4,0.048,0.232,-0.155,-0.155,-2.362,-0.1267,0.086,1.000
NGC2841,11,0.188,0.040,0.003,0.003,-2.395,-0.0956,-0.028,1.000
NGC2903,9,-0.168,0.056,-0.146,-0.146,-2.300,-0.0951,0.040,1.000
NGC2955,4,-0.366,0.203,-0.126,-0.126,-2.520,-0.0440,0.030,1.000
NGC3198,8,0.072,0.044,0.112,0.112,-2.335,-0.1154,0.055,1.000
NGC3726,4,0.207,0.175,-0.172,-0.172,-2.242,-0.1348,-0.002,1.000
NGC3741,6,0.217,0.155,0.185,0.185,-2.307,-0.1671,-0.016,1.000
NGC3877,5,0.001,0.119,0.038,0.038,-2.331,-0.0248,0.238,1.000
NGC3893,4,-0.271,0.213,-0.129,-0.129,-2.344,-0.0717,-0.032,1.000
NGC3917,6,0.033,0.118,-0.056,-0.056,-2.396,-0.0780,0.111,1.000
NGC3953,4,-0.052,0.104,-0.046,-0.046,-2.382,-0.0284,0.390,1.000
NGC3972,4,0.240,0.137,0.013,0.013,-2.333,-0.0541,-0.096,1.000
NGC3992,4,-0.058,0.118,-0.172,-0.172,-2.540,-0.0801,0.095,1.000
NGC4010,5,-0.122,0.115,0.076,0.076,-2.307,-0.0502,-0.057,1.000
NGC4013,15,0.111,0.065,-0.130,-0.130,-2.215,-0.1213,-0.047,1.000
NGC4088,4,0.128,0.173,-0.203,-0.203,-2.235,-0.0758,0.041,1.000
NGC4100,9,-0.360,0.123,-0.177,-0.177,-2.382,-0.0928,0.087,1.000
NGC4157,6,0.035,0.180,-0.169,-0.169,-2.266,-0.1010,-0.017,1.000
NGC4183,8,0.066,0.155,-0.022,-0.022,-2.280,-0.1396,0.108,1.000
NGC4217,7,-0.203,0.125,-0.211,-0.211,-2.285,-0.0545,-0.148,1.000
NGC4559,11,-0.096,0.109,0.177,0.177,-2.036,-0.0878,0.028,1.000
NGC5005,5,-0.005,0.313,0.042,0.042,-2.132,-0.0262,-0.121,1.000
NGC5033,7,-0.182,0.055,-0.145,-0.145,-2.381,-0.1222,0.098,1.000
NGC5055,7,-0.110,0.069,-0.042,-0.042,-2.155,-0.1480,0.053,1.000
NGC5371,6,-0.036,0.059,-0.245,-0.245,-2.268,-0.0997,0.249,1.000
NGC5585,6,-0.065,0.090,0.149,0.149,-2.264,-0.0923,-0.083,1.000
NGC5907,7,0.059,0.046,-0.085,-0.085,-2.395,-0.0974,0.090,1.000
NGC7814,6,0.000,0.066,-0.167,-0.167,-2.670,-0.0467,-0.110,1.000
UGC05716,5,-0.004,0.054,0.183,0.183,-2.378,-0.1056,0.087,1.000
UGC05721,5,0.051,0.235,0.184,0.184,-2.126,-0.1065,0.046,1.000
UGC05764,4,-0.304,0.127,0.154,0.154,-2.232,-0.0974,0.360,1.000
UGC05829,4,0.569,0.341,0.620,0.620,-2.189,0.0284,0.115,1.000
UGC05986,6,-0.167,0.092,-0.039,-0.039,-2.163,-0.1312,-0.017,1.000
UGC06399,4,0.134,0.183,0.241,0.241,-2.412,-0.0512,-0.004,1.000
UGC06446,6,0.037,0.242,0.150,0.150,-2.394,-0.0861,0.139,1.000
UGC06667,4,0.137,0.143,0.363,0.363,-2.322,-0.0306,-0.125,1.000
UGC06917,5,0.249,0.138,0.340,0.340,-2.364,-0.0318,-0.001,1.000
UGC06930,4,-0.032,0.240,0.016,0.016,-2.377,-0.1067,0.232,1.000
UGC06983,7,-0.126,0.187,0.186,0.186,-2.414,-0.0761,0.056,1.000
UGC07089,6,0.354,0.209,0.224,0.224,-2.234,-0.0660,0.094,1.000
UGC07125,5,-0.026,0.146,0.073,0.073,-2.117,-0.1691,0.122,1.000
UGC07151,4,0.205,0.174,0.271,0.271,-2.081,-0.0356,0.149,1.000
UGC07399,4,0.252,0.159,0.301,0.301,-2.236,-0.0516,-0.026,1.000
UGC07524,11,0.185,0.099,0.554,0.554,-2.210,0.0209,0.154,1.000
UGC07577,4,0.903,0.724,0.392,0.392,-2.301,-0.0372,0.420,1.000
UGC07603,5,0.151,0.146,0.130,0.130,-2.145,-0.1208,-0.072,1.000
UGC08286,6,0.069,0.083,0.244,0.244,-2.173,-0.0872,0.021,1.000
UGC08490,11,-0.109,0.111,0.065,0.065,-2.270,-0.1547,0.035,1.000
UGC08550,4,0.116,0.151,0.644,0.644,-2.125,0.0409,0.002,1.000
UGC08699,4,0.056,0.143,-0.131,-0.131,-2.579,-0.0841,-0.011,1.000
UGC09037,8,-0.198,0.212,0.032,0.032,-2.719,-0.0467,-0.014,1.000
UGC09133,10,-0.075,0.025,-0.034,-0.034,-2.676,-0.1125,0.042,1.000
UGC12506,11,-0.186,0.137,0.151,0.151,-2.567,-0.0480,0.214,1.000
UGC12732,6,0.445,0.125,0.733,0.733,-2.667,0.0407,0.124,1.000
