Ad,Grup,Mstar_1e6,MHIdahil_Mbar_1e6,rh_kpc,gext_kms2kpc,sigma_obs,sigma_pred_EFEsiz,sigma_pred_EFEli,ana_ornek
Segue (I),MW,0.000,0.000,0.029,1728.6,3.9,0.98,0.23,0
Ursa Major II,MW,0.004,0.004,0.149,1273.7,6.7,1.81,0.37,0
Bootes II,MW,0.001,0.001,0.051,1210.0,10.5,1.28,0.32,0
Segue II,MW,0.001,0.001,0.035,1180.5,3.4,1.24,0.36,0
Willman 1,MW,0.001,0.001,0.025,1125.6,4.3,1.30,0.46,0
Coma Berenices,MW,0.004,0.004,0.077,1075.6,4.6,1.78,0.51,0
Bootes (I),MW,0.029,0.029,0.242,756.2,2.4,2.97,0.84,0
Draco,MW,0.290,0.290,0.221,636.8,9.1,5.48,2.87,1
Ursa Minor,MW,0.290,0.290,0.181,620.5,9.5,5.53,3.19,1
Sculptor,MW,2.300,2.593,0.283,562.8,9.2,10.05,7.75,1
Sextans (I),MW,0.440,0.440,0.695,543.8,7.9,5.90,2.05,1
Ursa Major (I),MW,0.014,0.014,0.319,474.5,7.6,2.46,0.55,0
Carina,MW,0.380,0.380,0.250,452.3,6.6,5.86,3.28,1
Hercules,MW,0.037,0.037,0.330,384.1,3.7,3.15,0.92,0
Fornax,MW,20.000,20.226,0.710,324.8,11.7,16.98,15.06,1
Leo IV,MW,0.019,0.019,0.206,312.3,3.3,2.67,0.86,0
Canes Venatici II,MW,0.008,0.008,0.074,300.6,4.6,2.17,0.93,0
Leo V,MW,0.011,0.011,0.135,270.4,3.7,2.34,0.83,0
Canes Venatici (I),MW,0.230,0.230,0.564,222.0,7.6,5.01,1.93,1
Leo II,MW,0.740,0.740,0.176,205.1,6.6,7.24,6.31,1
Leo I,MW,5.500,5.500,0.251,187.6,9.2,12.86,12.86,1
M32,M31,320.000,320.000,0.110,2300.0,92.0,79.21,79.21,1
Andromeda IX,M31,0.150,0.150,0.557,1322.5,4.5,4.49,1.16,1
NGC 205,M31,330.000,330.532,0.590,1259.5,35.0,41.67,41.67,1
Andromeda I,M31,3.900,3.900,0.672,912.1,10.6,10.59,5.71,1
Andromeda III,M31,0.830,0.830,0.479,705.3,4.7,7.05,3.25,1
Andromeda V,M31,0.390,0.390,0.315,480.9,11.5,5.85,2.93,1
Andromeda X,M31,0.096,0.096,0.265,480.9,3.9,4.05,1.58,0
Andromeda XII,M31,0.031,0.031,0.304,397.7,2.6,3.02,0.87,0
NGC 147,M31,62.000,62.000,0.623,372.5,16.0,24.72,24.72,1
Andromeda XIV,M31,0.200,0.200,0.363,326.5,5.4,4.87,2.09,1
Andromeda XV,M31,0.490,0.490,0.222,304.0,11.0,6.33,4.24,1
Andromeda XIII,M31,0.041,0.041,0.207,293.9,9.7,3.26,1.28,0
Andromeda II,M31,7.600,7.600,1.176,287.5,7.3,12.37,7.33,1
NGC 185,M31,68.000,68.146,0.458,282.9,24.0,27.14,27.14,1
Andromeda VII,M31,9.500,9.500,0.776,242.7,9.7,13.48,10.42,1
LGS 3 (Local Group Suspect 3),M31,0.960,1.465,0.470,196.7,7.9,8.23,5.47,1
Andromeda VI,M31,2.800,2.800,0.524,196.7,9.4,9.79,7.17,1
Cetus,Rest,2.600,2.600,0.703,77.7,17.0,9.45,7.20,1
Leo T,Rest,0.140,0.512,0.120,114.7,7.5,6.73,6.73,1
WLM (Wolf-Lundmark-Melotte),Rest,43.000,124.130,2.111,63.3,17.5,26.24,26.24,1
Leo A,Rest,6.000,20.630,0.499,60.3,9.3,17.83,17.83,1
Tucana,Rest,0.560,0.560,0.284,54.9,15.8,6.48,5.67,1
