Galaksi,k_94B,e_env_duzeltilmis,logMbar_1e9,Tip_T,v_sigma
CamB,0.0147,0.0300,-1.272,10,
D564-8,0.9552,0.0310,-1.259,10,
D631-7,2.3401,0.0290,-0.315,10,
DDO064,1.7742,0.0340,-0.445,10,
DDO154,1.8489,0.0360,-0.406,10,7.81
DDO161,0.6442,0.0430,0.324,10,
DDO168,1.8018,0.0350,-0.191,10,8.97
DDO170,0.7287,0.0570,0.097,10,
ESO079-G014,3.3019,0.0270,1.478,4,
ESO116-G012,4.1661,0.0260,0.555,7,
ESO444-G084,7.8062,0.0390,-0.667,10,
ESO563-G021,5.0349,0.0350,2.274,4,
F565-V2,3.9860,0.0240,0.082,10,
F568-3,2.6058,0.0190,0.925,7,
F568-V1,7.2223,0.0180,0.718,7,
F571-8,5.9264,0.0300,0.872,5,
F571-V1,1.8157,0.0190,0.405,7,
F574-1,3.0135,0.0160,0.901,7,
F583-1,3.9872,0.0330,0.521,9,
F583-4,1.7546,0.0230,0.233,5,
IC2574,0.8883,0.0290,0.276,9,9.71
IC4202,1.9096,0.0330,2.026,4,
KK98-251,0.3724,0.0310,-0.709,10,
NGC0024,7.3215,0.0280,0.454,5,
NGC0055,0.8614,0.0320,0.643,9,
NGC0100,2.9040,0.0240,0.630,6,
NGC0247,1.9111,0.0280,0.777,7,
NGC0289,1.2153,0.0240,1.861,4,
NGC0300,3.3376,0.0290,0.432,7,
NGC0801,0.5276,0.0420,2.272,5,
NGC0891,1.0073,0.0250,1.876,3,
NGC1003,2.4836,0.0230,1.050,6,
NGC1090,1.0388,0.0110,1.679,4,
NGC2403,3.0658,0.0310,0.967,6,19.85
NGC2683,1.7020,0.0330,1.624,3,
NGC2841,7.9823,0.0370,2.030,3,27.69
NGC2903,2.1335,0.0310,1.647,4,21.25
NGC2955,0.7314,0.0170,2.297,3,
NGC2976,0.9108,0.0320,0.282,5,8.82
NGC2998,1.2936,0.0270,2.028,5,
NGC3109,4.2554,0.0310,-0.136,9,
NGC3198,1.7316,0.0360,1.526,5,17.05
NGC3521,1.2712,0.0330,1.681,4,17.26
NGC3726,1.1823,0.0380,1.641,5,
NGC3741,3.4527,0.0320,-0.592,10,
NGC3769,1.5771,0.0370,1.223,3,
NGC3877,0.4444,0.0380,1.583,5,
NGC3893,2.5392,0.0370,1.568,5,
NGC3917,2.3377,0.0400,1.130,6,
NGC3949,1.7692,0.0360,1.371,4,
NGC3953,1.5462,0.0400,1.872,4,
NGC3972,2.8943,0.0470,0.944,4,
NGC3992,3.6427,0.0330,2.132,4,
NGC4010,1.8953,0.0390,1.092,7,
NGC4013,4.7585,0.0450,1.638,3,
NGC4051,0.2525,0.0420,1.709,4,
NGC4068,0.4441,0.0330,-0.491,10,
NGC4085,0.6786,0.0440,1.102,5,
NGC4088,0.2747,0.0420,1.810,4,
NGC4100,2.4230,0.0420,1.529,4,
NGC4157,1.2778,0.0440,1.804,3,
NGC4183,1.3671,0.0420,1.004,6,
NGC4217,0.5635,0.0410,1.663,3,
NGC4559,0.9679,0.0400,1.241,6,
NGC5005,0.9043,0.0500,1.959,4,
NGC5033,2.0238,0.0500,1.847,5,
NGC5055,0.9310,0.0400,1.964,4,21.75
NGC5371,0.3539,0.0350,2.267,4,
NGC5585,2.0475,0.0400,0.569,7,
NGC5907,1.7266,0.0380,2.063,5,
NGC5985,7.7898,0.0290,2.078,3,
NGC6015,2.4613,0.0360,1.377,6,
NGC6195,0.3279,0.0560,2.349,3,
NGC6503,2.3935,0.0360,0.942,6,
NGC6674,2.7338,0.0110,2.176,3,
NGC6946,1.0254,0.0330,1.609,6,26.72
NGC7331,1.6373,0.0240,2.146,3,20.70
NGC7793,1.6127,0.0290,0.669,7,15.30
NGC7814,4.0051,0.0220,1.588,2,
UGC00128,1.7405,0.0290,1.201,8,
UGC00191,2.2797,0.0210,0.445,9,
UGC00731,1.3711,0.0240,0.409,10,
UGC01281,2.3667,0.0300,-0.246,8,
UGC02259,4.2431,0.0240,0.182,8,
UGC02885,2.4430,0.0500,2.407,5,
UGC02916,0.7858,0.0410,1.969,2,
UGC02953,3.4396,0.0260,2.146,2,
UGC03205,2.2260,0.0120,1.843,2,
UGC03546,1.7394,0.0150,1.734,1,
UGC03580,0.9415,0.0230,1.095,1,
UGC04278,4.6456,0.0320,0.330,7,
UGC04325,4.5980,0.0310,0.282,9,
UGC04483,0.6392,0.0320,-1.309,10,3.46
UGC04499,1.2614,0.0350,0.350,8,
UGC05005,1.2041,0.0220,0.790,10,
UGC05253,1.3202,0.0270,2.032,2,
UGC05414,1.1327,0.0320,0.122,10,
UGC05716,1.7219,0.0400,0.243,9,
UGC05721,6.7769,0.0330,0.006,7,
UGC05750,0.9916,0.0240,0.495,8,
UGC05764,3.2249,0.0330,-0.586,10,
UGC05829,0.9208,0.0350,0.216,10,
UGC05918,1.5604,0.0360,-0.291,10,
UGC05986,5.7063,0.0330,0.770,9,
UGC06399,3.2557,0.0360,0.311,9,
UGC06446,2.3464,0.0350,0.367,7,
UGC06614,1.8319,0.0200,1.960,1,
UGC06667,5.7100,0.0370,0.249,6,
UGC06787,4.7445,0.0350,1.747,2,
UGC06818,2.3100,0.0410,0.348,9,
UGC06917,2.9443,0.0380,0.786,9,
UGC06923,1.6422,0.0520,0.402,10,
UGC06930,1.3917,0.0340,0.943,7,
UGC06983,2.4908,0.0510,0.819,6,
UGC07089,0.9456,0.0420,0.532,8,
UGC07125,0.1881,0.0520,0.876,9,
UGC07151,1.4475,0.0370,0.293,6,
UGC07261,2.0758,0.0440,0.435,8,
UGC07399,13.2691,0.0400,0.196,8,
UGC07524,1.5146,0.0370,0.554,9,
UGC07559,0.4773,0.0360,-0.554,10,5.10
UGC07577,0.0251,0.0330,-1.091,10,
UGC07603,4.9938,0.0360,-0.275,7,
UGC07690,1.1475,0.0370,-0.023,10,
UGC07866,0.5507,0.0360,-0.660,10,
UGC08286,4.0789,0.0390,0.171,6,
UGC08490,3.6598,0.0360,0.166,9,
UGC08550,2.7405,0.0380,-0.278,7,
UGC08699,2.7530,0.0190,1.479,2,
UGC08837,0.4516,0.0410,-0.170,10,
UGC09037,0.6641,0.0200,1.776,6,
UGC09133,1.5513,0.0220,2.269,2,
UGC10310,1.1319,0.0360,0.391,9,
UGC11455,1.3038,0.0250,2.312,6,
UGC11557,0.0849,0.0240,0.978,8,
UGC11820,1.0193,0.0240,0.493,9,
UGC11914,3.0534,0.0230,1.882,2,
UGC12506,3.1121,0.0270,2.068,6,
UGC12632,1.3884,0.0260,0.473,9,
UGC12732,1.8297,0.0230,0.756,9,
UGCA442,2.5152,0.0310,-0.377,9,
