galaksi,tip,logM*,nGC_top,"nGC_dis(>2Reff,ayik)",r_med_kpc,r/Reff,sigma_obs,sigma_pred,dex(pred/obs),g_bar/a0
NGC4486,E0/cD,11.62,653,468,37.6,5.4,347.1±11.3,221.7,-0.195,0.44
NGC1407,E0,11.60,374,246,46.1,3.8,237.4±10.7,204.9,-0.064,0.26
NGC4649,E2/S0,11.60,423,271,23.8,3.8,235.7±10.1,234.8,-0.002,0.97
NGC4365,E3,11.51,244,137,30.7,3.5,232.8±14.1,204.4,-0.057,0.47
NGC4374,E1,11.51,41,8,33.6,2.7,223.8±56.0,195.2,-0.059,0.36
NGC5846,E0-1/S0,11.46,211,131,34.8,3.3,238.3±14.7,190.5,-0.097,0.32
NGC3607,S0,11.39,39,25,17.0,3.3,149.9±21.2,204.3,+0.134,1.13
NGC720,E5,11.27,65,53,17.8,4.7,169.1±16.4,193.7,+0.059,0.86
NGC4526,S0,11.26,107,85,12.7,4.9,188.0±14.4,191.3,+0.008,1.66
NGC2768,E6/S0,11.21,107,46,21.8,3.4,122.5±12.8,171.4,+0.146,0.46
NGC4697,E6,11.15,90,28,15.2,2.6,136.7±18.3,171.2,+0.098,0.76
NGC1400,E1/S0,11.08,68,53,18.6,5.6,130.8±12.7,165.7,+0.103,0.53
NGC3608,E1-2,11.03,29,16,14.9,3.2,163.4±28.9,159.3,-0.011,0.64
NGC4494,E1-2,11.02,105,53,14.3,3.4,101.0±9.8,160.3,+0.201,0.69
NGC821,E6,11.00,68,41,18.4,3.7,148.2±16.4,151.0,+0.008,0.41
NGC1023,S0,10.99,113,66,9.3,3.6,138.5±12.1,160.8,+0.065,1.53
NGC4459,S0,10.98,36,11,15.0,4.0,123.5±26.3,155.9,+0.101,0.60
NGC4473,E5,10.96,105,79,13.3,6.0,135.3±10.8,162.2,+0.079,0.78
NGC4278,E1-2,10.95,269,234,12.9,6.0,172.5±8.0,162.0,-0.027,0.81
NGC2974,E4/S0,10.93,26,20,14.9,4.9,137.7±21.8,152.2,+0.043,0.56
NGC3115,S0,10.93,150,127,8.3,5.0,170.2±10.7,158.6,-0.031,1.80
NGC5866,S0,10.83,20,14,7.5,4.4,122.7±23.2,148.6,+0.083,1.75
NGC4564,E6,10.58,26,16,4.5,4.0,90.3±16.0,131.4,+0.163,2.62
NGC4111,S0,10.52,15,8,3.5,5.0,139.9±35.0,135.6,-0.013,3.87
NGC3377,E5-6,10.50,126,83,10.4,4.3,92.0±7.1,114.5,+0.095,0.42
NGC4474,S0,10.23,23,6,4.5,3.5,56.7±16.4,105.2,+0.269,1.14
NGC7457,S0,10.13,40,16,6.8,3.2,75.6±13.4,90.0,+0.076,0.39
