Galaksi,Sinif,B_rms,P_rms,B_sap,P_sap,k_B,k_P,W_Rdis
NGC7814,Sa-Sab,23.425,21.993,-12.065,-11.726,2.289,2.289,1.000
UGC02916,Sa-Sab,40.010,24.005,10.218,7.882,0.449,0.716,1.000
UGC02953,Sa-Sab,30.380,36.637,-9.244,-12.402,1.965,2.182,1.000
UGC03205,Sa-Sab,15.413,27.177,-3.297,-3.476,1.272,1.274,1.000
UGC03546,Sa-Sab,35.899,28.733,0.216,0.129,0.994,1.029,1.000
UGC03580,Sa-Sab,32.009,23.565,10.211,10.571,0.538,0.610,1.000
UGC05253,Sa-Sab,26.164,16.277,3.440,-3.455,0.754,1.304,1.000
UGC06614,Sa-Sab,25.364,25.787,-0.612,-0.149,1.047,1.047,1.000
UGC06787,Sa-Sab,35.302,32.738,-14.091,-16.015,2.711,2.711,1.000
UGC08699,Sa-Sab,17.648,14.884,-6.406,-6.052,1.573,1.573,1.000
UGC09133,Sa-Sab,24.373,19.639,2.278,2.426,0.886,0.913,1.000
UGC11914,Sa-Sab,15.505,42.607,-4.610,-15.247,1.745,2.752,0.749
ESO079-G014,Sb-Sbc,14.847,14.617,-9.706,-9.336,1.887,1.887,1.000
ESO563-G021,Sb-Sbc,45.773,46.915,-15.331,-15.009,2.877,2.877,1.000
IC4202,Sb-Sbc,27.699,24.388,-1.012,-0.666,1.091,1.091,1.000
NGC0289,Sb-Sbc,15.186,15.757,7.542,8.105,0.694,0.694,1.000
NGC0891,Sb-Sbc,40.115,25.716,6.500,6.421,0.576,0.721,1.000
NGC1090,Sb-Sbc,15.671,13.652,9.126,9.621,0.594,0.594,1.000
NGC2683,Sb-Sbc,11.260,11.122,0.689,1.162,0.973,0.973,1.000
NGC2841,Sb-Sbc,67.030,66.372,-23.397,-23.078,4.561,4.561,1.000
NGC2903,Sb-Sbc,29.022,22.829,-2.932,-2.530,1.219,1.219,1.000
NGC2955,Sb-Sbc,34.438,17.897,9.990,6.478,0.418,0.720,1.000
NGC3521,Sb-Sbc,12.924,10.816,3.082,-3.694,0.726,1.298,1.000
NGC3769,Sb-Sbc,7.526,7.780,2.252,2.779,0.901,0.901,1.000
NGC3949,Sb-Sbc,10.355,9.644,0.000,0.280,1.011,1.011,1.000
NGC3953,Sb-Sbc,15.800,15.743,1.432,1.721,0.884,0.884,1.000
NGC3972,Sb-Sbc,8.889,8.526,-7.314,-6.953,1.654,1.654,1.000
NGC3992,Sb-Sbc,45.155,44.649,-11.556,-11.181,2.082,2.082,1.000
NGC4013,Sb-Sbc,21.090,20.665,-15.069,-14.730,2.719,2.719,1.000
NGC4051,Sb-Sbc,22.005,22.481,20.137,20.529,0.144,0.336,1.000
NGC4088,Sb-Sbc,41.378,38.688,22.891,23.344,0.157,0.295,1.000
NGC4100,Sb-Sbc,15.377,14.951,-5.049,-4.646,1.385,1.385,1.000
NGC4157,Sb-Sbc,21.090,19.099,5.286,5.740,0.730,0.730,1.000
NGC4217,Sb-Sbc,63.918,47.887,14.129,14.391,0.322,0.499,1.000
NGC5005,Sb-Sbc,27.526,12.622,5.562,-4.377,0.517,1.323,0.808
NGC5055,Sb-Sbc,30.644,21.206,11.393,11.914,0.532,0.532,1.000
NGC5371,Sb-Sbc,40.863,42.366,22.321,22.806,0.202,0.276,1.000
NGC5985,Sb-Sbc,78.015,77.395,-20.949,-20.663,4.451,4.451,1.000
NGC6195,Sb-Sbc,43.092,31.502,17.581,16.426,0.187,0.448,1.000
NGC6674,Sb-Sbc,30.761,31.196,-8.149,-7.686,1.562,1.562,1.000
NGC7331,Sb-Sbc,27.071,21.215,1.064,1.432,0.936,0.936,1.000
F571-8,Sc-Scd,31.978,28.584,-20.930,-20.552,3.387,3.387,1.000
F583-4,Sc-Scd,3.057,3.170,0.163,0.681,1.003,1.003,1.000
NGC0024,Sc-Scd,20.398,20.128,-22.274,-21.947,4.184,4.184,1.000
NGC0100,Sc-Scd,8.118,8.003,-9.283,-8.824,1.659,1.659,1.000
NGC0801,Sc-Scd,33.948,35.926,19.985,20.519,0.301,0.343,1.000
NGC1003,Sc-Scd,7.247,7.024,-7.010,-6.489,1.419,1.419,1.000
NGC2403,Sc-Scd,9.483,9.485,-9.547,-9.126,1.752,1.752,1.000
NGC2976,Sc-Scd,8.506,8.695,8.156,8.524,0.520,0.709,1.000
NGC2998,Sc-Scd,23.092,32.531,5.219,5.684,0.739,0.739,1.000
NGC3198,Sc-Scd,9.771,8.567,0.392,0.874,0.989,0.989,1.000
NGC3726,Sc-Scd,17.279,17.674,6.591,7.054,0.676,0.676,1.000
NGC3877,Sc-Scd,20.723,20.903,13.958,14.306,0.254,0.484,1.000
NGC3893,Sc-Scd,8.287,7.803,-5.469,-5.092,1.451,1.451,1.000
