Table 2 
Fitted Model Parameters


Galaxy	angl0x _0angr0	e	e _env	D (Mpc)	i (deg)	Upsi_gas	Upsi_disk	Upsi_bulge	
CamB	-11.736	${0.461}_{-0.054}^{+0.029}$	${0.030}_{-0.002}^{+0.007}$	${3.07}_{-0.21}^{+0.22}$	${59.04}_{-4.63}^{+4.84}$	${1.27}_{-0.11}^{+0.12}$	${0.32}_{-0.05}^{+0.06}$	cdots	
D512-2	-11.423	${0.119}_{-0.088}^{+0.136}$	${0.047}_{-0.004}^{+0.008}$	${16.12}_{-3.74}^{+4.76}$	${61.47}_{-8.94}^{+9.02}$	${1.36}_{-0.12}^{+0.13}$	${0.52}_{-0.11}^{+0.13}$	cdots	
D564-8	-11.987	${0.067}_{-0.027}^{+0.028}$	${0.031}_{-0.003}^{+0.007}$	${8.75}_{-0.27}^{+0.28}$	${61.53}_{-7.60}^{+7.46}$	${1.37}_{-0.12}^{+0.13}$	${0.41}_{-0.08}^{+0.10}$	cdots	
D631-7	-11.410	$-{0.085}_{-0.017}^{+0.016}$	${0.029}_{-0.003}^{+0.005}$	${7.48}_{-0.17}^{+0.17}$	${38.76}_{-2.27}^{+2.35}$	${1.12}_{-0.09}^{+0.10}$	${0.26}_{-0.04}^{+0.05}$	cdots	
DDO064	-11.080	${0.063}_{-0.084}^{+0.126}$	${0.034}_{-0.005}^{+0.007}$	${6.97}_{-1.55}^{+2.14}$	${63.29}_{-4.65}^{+4.68}$	${1.35}_{-0.12}^{+0.13}$	${0.53}_{-0.10}^{+0.13}$	cdots	
DDO154	-11.526	${0.008}_{-0.008}^{+0.008}$	${0.036}_{-0.004}^{+0.007}$	${3.86}_{-0.16}^{+0.17}$	${61.88}_{-2.55}^{+2.65}$	${1.43}_{-0.11}^{+0.12}$	${0.20}_{-0.03}^{+0.03}$	cdots	
DDO161	-11.281	$-{0.044}_{-0.010}^{+0.010}$	${0.043}_{-0.006}^{+0.011}$	${3.37}_{-0.30}^{+0.40}$	${73.91}_{-7.97}^{+7.96}$	${1.37}_{-0.12}^{+0.13}$	${0.33}_{-0.06}^{+0.07}$	cdots	
DDO168	-10.931	$-{0.188}_{-0.050}^{+0.043}$	${0.035}_{-0.004}^{+0.006}$	${4.05}_{-0.19}^{+0.20}$	${35.82}_{-3.55}^{+3.72}$	${1.24}_{-0.11}^{+0.12}$	${0.44}_{-0.09}^{+0.11}$	cdots	
DDO170	-11.461	${0.038}_{-0.018}^{+0.021}$	${0.057}_{-0.009}^{+0.010}$	${11.82}_{-1.51}^{+1.87}$	${66.33}_{-6.40}^{+6.65}$	${1.28}_{-0.11}^{+0.12}$	${0.67}_{-0.12}^{+0.14}$	cdots	
ESO079-G014	-10.517	$-{0.028}_{-0.055}^{+0.058}$	${0.027}_{-0.003}^{+0.002}$	${28.21}_{-3.91}^{+4.57}$	${80.00}_{-4.66}^{+4.56}$	${1.38}_{-0.12}^{+0.13}$	${0.56}_{-0.09}^{+0.11}$	cdots	
ESO116-G012	-10.715	$-{0.062}_{-0.040}^{+0.041}$	${0.026}_{-0.004}^{+0.002}$	${13.50}_{-2.03}^{+2.46}$	${74.69}_{-2.92}^{+2.92}$	${1.39}_{-0.12}^{+0.14}$	${0.45}_{-0.08}^{+0.10}$	cdots	
ESO444-G084	-11.071	$-{0.090}_{-0.031}^{+0.027}$	${0.039}_{-0.004}^{+0.016}$	${4.68}_{-0.41}^{+0.45}$	${33.13}_{-2.89}^{+3.03}$	${1.34}_{-0.12}^{+0.13}$	${0.47}_{-0.09}^{+0.12}$	cdots	
ESO563-G021	-10.059	$-{0.031}_{-0.033}^{+0.032}$	${0.035}_{-0.006}^{+0.006}$	${66.48}_{-7.21}^{+8.08}$	${83.63}_{-2.81}^{+2.77}$	${1.45}_{-0.13}^{+0.14}$	${0.69}_{-0.09}^{+0.10}$	cdots	
F565-V2	-11.436	$-{0.013}_{-0.047}^{+0.047}$	${0.024}_{-0.002}^{+0.004}$	${52.32}_{-8.90}^{+10.73}$	${65.91}_{-8.91}^{+8.87}$	${1.36}_{-0.12}^{+0.13}$	${0.50}_{-0.10}^{+0.13}$	cdots	
F568-3	-11.252	${0.268}_{-0.096}^{+0.117}$	${0.019}_{-0.003}^{+0.001}$	${84.28}_{-7.46}^{+8.09}$	${61.93}_{-6.78}^{+6.95}$	${1.42}_{-0.12}^{+0.13}$	${0.47}_{-0.07}^{+0.08}$	cdots	
F568-V1	-10.954	${0.106}_{-0.060}^{+0.077}$	${0.018}_{-0.002}^{+0.003}$	${85.62}_{-7.51}^{+8.25}$	${64.28}_{-6.37}^{+6.70}$	${1.32}_{-0.11}^{+0.13}$	${0.82}_{-0.14}^{+0.16}$	cdots	
F571-8	-10.730	$-{0.349}_{-0.041}^{+0.038}$	${0.030}_{-0.004}^{+0.006}$	${27.74}_{-3.51}^{+3.96}$	${82.84}_{-5.16}^{+4.35}$	${1.38}_{-0.12}^{+0.13}$	${0.23}_{-0.04}^{+0.04}$	cdots	
F571-V1	-11.479	${0.229}_{-0.121}^{+0.146}$	${0.019}_{-0.002}^{+0.003}$	${80.12}_{-7.16}^{+7.86}$	${44.11}_{-7.86}^{+7.34}$	${1.38}_{-0.12}^{+0.13}$	${0.47}_{-0.09}^{+0.11}$	cdots	
F574-1	-11.066	${0.085}_{-0.045}^{+0.054}$	${0.016}_{-0.003}^{+0.004}$	${100.59}_{-8.66}^{+9.53}$	${75.22}_{-7.10}^{+7.04}$	${1.32}_{-0.11}^{+0.12}$	${0.78}_{-0.12}^{+0.14}$	cdots	
F583-1	-11.337	${0.035}_{-0.052}^{+0.059}$	${0.033}_{-0.004}^{+0.005}$	${36.15}_{-6.89}^{+8.53}$	${67.66}_{-4.48}^{+4.49}$	${1.24}_{-0.10}^{+0.11}$	${0.96}_{-0.14}^{+0.16}$	cdots	
F583-4	-11.358	${0.090}_{-0.067}^{+0.092}$	${0.023}_{-0.002}^{+0.004}$	${52.94}_{-8.80}^{+10.66}$	${64.76}_{-8.19}^{+8.35}$	${1.37}_{-0.12}^{+0.13}$	${0.49}_{-0.10}^{+0.12}$	cdots	
IC2574	-11.722	${0.075}_{-0.015}^{+0.017}$	${0.029}_{-0.003}^{+0.004}$	${4.01}_{-0.18}^{+0.19}$	${81.45}_{-4.84}^{+4.57}$	${1.66}_{-0.12}^{+0.13}$	${0.20}_{-0.03}^{+0.03}$	cdots	
IC4202	-9.998	${0.187}_{-0.056}^{+0.064}$	${0.033}_{-0.009}^{+0.008}$	${99.16}_{-7.23}^{+7.71}$	${89.33}_{-0.73}^{+0.47}$	${1.26}_{-0.11}^{+0.11}$	${0.90}_{-0.09}^{+0.09}$	${0.44}_{-0.04}^{+0.04}$	
KK98-251	-11.423	${0.293}_{-0.111}^{+0.125}$	${0.031}_{-0.001}^{+0.006}$	${7.21}_{-1.39}^{+1.42}$	${62.71}_{-4.50}^{+4.54}$	${1.37}_{-0.12}^{+0.13}$	${0.47}_{-0.09}^{+0.12}$	cdots	
