Galaksi,Sinif,kesit,n_nokta,acik_x,sigma_x_nokta,var_vgozl,var_mesafe,var_egiklik,eD_bolu_D,egiklik_deg,e_egiklik_deg
ESO563-G021,Sb–Sbc,yog,11,-0.3098,0.0458,0.001675,0.038431,0.000284,0.150,83,3
IC4202,Sb–Sbc,yog,12,+0.0609,0.0310,0.000455,0.008748,0.000000,0.100,90,1
NGC0289,Sb–Sbc,yog,5,+0.1227,0.2527,0.021297,0.048101,0.021863,0.250,46,5
NGC0801,Sc–Scd,yog,5,+0.0100,0.0571,0.002069,0.009800,0.000037,0.100,80,1
NGC0891,Sb–Sbc,yog,10,+0.2998,0.0229,0.000208,0.001248,0.000000,0.050,90,1
NGC2403,Sc–Scd,yog,5,+0.0796,0.0382,0.001140,0.002172,0.002412,0.051,63,3
NGC2841,Sb–Sbc,yog,24,-0.5575,0.0935,0.000584,0.023916,0.018375,0.099,76,10
NGC2903,Sb–Sbc,yog,15,+0.2306,0.0291,0.000226,0.053272,0.001287,0.300,66,3
NGC2955,Sb–Sbc,yog,16,+0.2401,0.0394,0.000312,0.005786,0.015684,0.100,56,7
NGC2998,Sc–Scd,yog,5,-0.2310,0.2495,0.021711,0.033996,0.002884,0.150,58,2
NGC3521,Sb–Sbc,yog,35,+0.1257,0.0861,0.000461,0.068199,0.001672,0.299,75,5
NGC3893,Sc–Scd,yog,3,+0.0436,0.0710,0.003042,0.017645,0.003369,0.139,49,2
NGC3949,Sb–Sbc,yog,4,+0.1478,0.0681,0.001692,0.014010,0.001736,0.139,55,2
NGC3953,Sb–Sbc,yog,3,-0.1199,0.0581,0.002187,0.024193,0.000432,0.139,62,1
NGC4013,Sb–Sbc,yog,4,-0.0156,0.0367,0.000582,0.019898,0.000000,0.139,89,1
NGC4085,Sc–Scd,yog,3,+0.2988,0.0681,0.004370,0.009486,0.000047,0.139,82,2
NGC4088,Sb–Sbc,yog,4,+0.4110,0.0487,0.000961,0.006692,0.000249,0.139,69,2
NGC4157,Sb–Sbc,yog,4,+0.2474,0.0609,0.001141,0.010927,0.000123,0.139,82,3
NGC4217,Sb–Sbc,yog,9,+0.5424,0.0338,0.000764,0.004039,0.000005,0.139,86,2
NGC5005,Sb–Sbc,yog,18,+0.1808,0.1427,0.001643,0.005287,0.000534,0.089,68,2
NGC5033,Sc–Scd,yog,5,+0.2009,0.0569,0.002156,0.057233,0.000154,0.299,66,1
NGC5055,Sb–Sbc,yog,11,+0.3320,0.0067,0.000026,0.000410,0.009598,0.030,55,6
NGC5371,Sb–Sbc,yog,7,+0.1289,0.0324,0.000589,0.047376,0.002100,0.250,53,2
NGC6195,Sb–Sbc,yog,15,+0.3134,0.0328,0.000222,0.004729,0.004060,0.100,62,5
NGC6946,Sc–Scd,yog,19,+0.2452,0.0352,0.000233,0.051525,0.004549,0.301,38,2
NGC7331,Sb–Sbc,yog,13,+0.2910,0.0309,0.000316,0.005234,0.000176,0.102,75,2
NGC7814,Sa–Sab,yog,6,+0.1201,0.0482,0.000845,0.001626,0.000000,0.046,90,1
UGC02916,Sa–Sab,yog,27,+0.3112,0.0192,0.000139,0.010654,0.010176,0.150,50,5
UGC02953,Sa–Sab,yog,77,+0.0546,0.0400,0.000217,0.080447,0.012270,0.300,50,4
UGC03205,Sa–Sab,yog,27,-0.0743,0.0740,0.000661,0.046167,0.004054,0.200,67,4
UGC03546,Sa–Sab,yog,17,+0.2840,0.0999,0.000969,0.032266,0.007657,0.251,55,5
UGC03580,Sa–Sab,yog,21,+0.6231,0.0384,0.000625,0.008964,0.000719,0.251,63,4
UGC05253,Sa–Sab,yog,55,+0.2040,0.0238,0.000023,0.039534,0.021755,0.250,37,4
UGC06787,Sa–Sab,yog,44,+0.1102,0.0525,0.000126,0.049392,0.001721,0.250,66,3
UGC08699,Sa–Sab,yog,13,+0.1002,0.0425,0.000575,0.050548,0.007469,0.250,73,9
UGC09133,Sa–Sab,yog,36,+0.1607,0.0400,0.000281,0.028081,0.017548,0.200,53,6
UGC11455,Sc–Scd,yog,21,+0.1914,0.0548,0.000521,0.014734,0.000000,0.150,90,1
UGC11914,Sa–Sab,yog,64,-0.0551,0.0589,0.000106,0.101384,0.093931,0.302,31,5
CamB,Im,tum,9,+0.8496,0.0437,0.000955,0.000135,0.000150,0.077,65,5
D564-8,Im,tum,6,+0.3458,0.1156,0.003424,0.000434,0.006634,0.032,63,7
D631-7,Im,tum,16,+0.2205,0.0686,0.001332,0.000330,0.002405,0.023,59,3
DDO064,Im,tum,13,+0.1298,0.2849,0.009058,0.068153,0.007689,0.300,60,5
DDO154,Im,tum,12,+0.0693,0.0470,0.000449,0.002123,0.002260,0.050,64,3
DDO161,Im,tum,31,+0.4117,0.0423,0.000203,0.031153,0.005587,0.300,70,10
DDO168,Im,tum,10,+0.1913,0.0550,0.001896,0.001597,0.007447,0.049,63,6
DDO170,Im,tum,8,+0.2936,0.0266,0.000294,0.044911,0.005906,0.300,66,7
ESO079-G014,Sb–Sbc,tum,14,-0.1355,0.0832,0.000761,0.080467,0.001484,0.250,79,5
ESO116-G012,Sd,tum,14,-0.2450,0.0796,0.001215,0.139496,0.001398,0.300,74,3
ESO444-G084,Im,tum,7,-0.5286,0.2265,0.015650,0.023077,0.262496,0.099,32,6
ESO563-G021,Sb–Sbc,tum,29,-0.3098,0.0729,0.000599,0.038431,0.000284,0.150,83,3
F565-V2,Im,tum,7,-0.3014,0.3129,0.021473,0.068267,0.068785,0.201,60,10
F568-3,Sd,tum,17,-0.0490,0.2097,0.007600,0.011004,0.190437,0.100,40,10
F568-V1,Sd,tum,14,-0.9896,0.4982,0.039961,0.039584,0.685031,0.100,40,10
F571-8,Sc–Scd,tum,12,-0.0155,0.0950,0.003765,0.041563,0.000240,0.201,85,5
F571-V1,Sd,tum,7,-0.0071,0.1584,0.008566,0.010116,0.370724,0.100,30,10
F574-1,Sd,tum,13,-0.2469,0.1288,0.003490,0.015548,0.041194,0.100,65,10
F583-1,Sdm–Sm,tum,24,-0.3688,0.2715,0.014545,0.117107,0.014818,0.250,63,5
F583-4,Sc–Scd,tum,11,+0.1204,0.1439,0.003334,0.031183,0.046225,0.201,55,10
IC2574,Sdm–Sm,tum,33,+0.3590,0.0853,0.000392,0.001075,0.001761,0.051,75,7
IC4202,Sb–Sbc,tum,31,+0.0372,0.0473,0.000231,0.009195,0.000000,0.100,90,1
KK98-251,Im,tum,14,+0.5669,0.0751,0.001014,0.016886,0.002063,0.300,59,5
NGC0024,Sc–Scd,tum,28,-0.6429,0.2985,0.004975,0.006564,0.007041,0.049,64,3
NGC0055,Sdm–Sm,tum,21,+0.2913,0.0719,0.000424,0.001365,0.000294,0.052,77,3
NGC0100,Sc–Scd,tum,20,-0.0323,0.1235,0.001996,0.095913,0.000000,0.300,89,1
NGC0247,Sd,tum,25,+0.0258,0.1210,0.000755,0.002502,0.000856,0.051,74,3
NGC0289,Sb–Sbc,tum,27,+0.1397,0.0682,0.000506,0.046256,0.021024,0.250,46,5
NGC0300,Sd,tum,24,-0.2450,0.1911,0.001924,0.003583,0.232952,0.048,42,10
NGC0801,Sc–Scd,tum,12,+0.3204,0.0358,0.000244,0.004619,0.000017,0.100,80,1
NGC0891,Sb–Sbc,tum,17,+0.1734,0.0229,0.000224,0.001739,0.000000,0.050,90,1
NGC1003,Sc–Scd,tum,35,+0.0196,0.0535,0.000309,0.086514,0.005276,0.300,67,5
NGC1090,Sb–Sbc,tum,23,+0.1950,0.0339,0.000108,0.040505,0.001691,0.250,64,3
NGC2403,Sc–Scd,tum,72,-0.0450,0.0380,0.000339,0.002800,0.003109,0.051,63,3
NGC2683,Sb–Sbc,tum,11,+0.0058,0.1220,0.001658,0.002466,0.000936,0.050,80,5
NGC2841,Sb–Sbc,tum,49,-0.5874,0.0656,0.000226,0.024841,0.019086,0.099,76,10
NGC2903,Sb–Sbc,tum,33,+0.0387,0.0333,0.000214,0.083167,0.002009,0.300,66,3
NGC2955,Sb–Sbc,tum,23,+0.2233,0.0550,0.000366,0.006045,0.016388,0.100,56,7
NGC2976,Sc–Scd,tum,26,+0.3104,0.0852,0.000887,0.001202,0.017803,0.050,61,10
NGC2998,Sc–Scd,tum,12,+0.1265,0.0402,0.000186,0.017117,0.001452,0.150,58,2
NGC3109,Sdm–Sm,tum,24,-0.2384,0.1356,0.002430,0.004248,0.006189,0.053,70,5
NGC3198,Sc–Scd,tum,42,+0.0954,0.0296,0.000118,0.008423,0.000839,0.101,73,3
NGC3521,Sb–Sbc,tum,40,+0.1139,0.0866,0.000436,0.070054,0.001717,0.299,75,5
NGC3726,Sc–Scd,tum,11,+0.2016,0.0495,0.000752,0.012295,0.001764,0.139,53,2
NGC3741,Im,tum,21,-0.2220,0.1450,0.001848,0.004188,0.003857,0.053,70,4
NGC3769,Sb–Sbc,tum,12,+0.1027,0.0945,0.001768,0.015530,0.000520,0.139,70,2
NGC3877,Sc–Scd,tum,12,+0.2337,0.0571,0.000600,0.011328,0.000044,0.139,76,1
NGC3893,Sc–Scd,tum,10,-0.0206,0.0849,0.001120,0.020094,0.003836,0.139,49,2
NGC3917,Sc–Scd,tum,16,-0.0534,0.0666,0.000507,0.021405,0.000204,0.139,79,2
NGC3949,Sb–Sbc,tum,6,+0.1186,0.0836,0.002297,0.014984,0.001856,0.139,55,2
NGC3953,Sb–Sbc,tum,7,+0.0403,0.0559,0.001188,0.017767,0.000317,0.139,62,1
NGC3972,Sb–Sbc,tum,9,-0.1151,0.0898,0.001942,0.023987,0.000081,0.139,77,1
NGC3992,Sb–Sbc,tum,8,-0.2584,0.0601,0.000865,0.014914,0.003512,0.097,56,2
NGC4010,Sd,tum,11,+0.0817,0.0825,0.001667,0.016267,0.000000,0.139,89,1
NGC4013,Sb–Sbc,tum,35,-0.1403,0.0742,0.000677,0.025083,0.000000,0.139,89,1
NGC4051,Sb–Sbc,tum,6,+0.2577,0.0753,0.001529,0.010630,0.004566,0.139,49,3
NGC4068,Im,tum,5,+0.4491,0.0933,0.002557,0.000769,0.014274,0.050,44,6
NGC4085,Sc–Scd,tum,6,+0.2372,0.0645,0.001024,0.011223,0.000056,0.139,82,2
NGC4088,Sb–Sbc,tum,11,+0.3916,0.0470,0.000410,0.007141,0.000266,0.139,69,2
NGC4100,Sb–Sbc,tum,23,-0.1090,0.0744,0.000459,0.023726,0.000560,0.139,73,2
NGC4157,Sb–Sbc,tum,16,+0.2205,0.0593,0.000421,0.011721,0.000132,0.139,82,3
NGC4183,Sc–Scd,tum,22,+0.0960,0.0970,0.000910,0.015763,0.000079,0.139,82,2
NGC4217,Sb–Sbc,tum,18,+0.3209,0.0449,0.000536,0.008897,0.000011,0.139,86,2
NGC4559,Sc–Scd,tum,31,+0.2592,0.0681,0.000301,0.049391,0.000120,0.300,67,1
NGC5005,Sb–Sbc,tum,18,+0.1808,0.1427,0.001598,0.005287,0.000534,0.089,68,2
NGC5033,Sc–Scd,tum,21,+0.0219,0.0290,0.000256,0.085732,0.000231,0.299,66,1
NGC5055,Sb–Sbc,tum,27,+0.2722,0.0166,0.000138,0.000486,0.011391,0.030,55,6
NGC5371,Sb–Sbc,tum,18,+0.3257,0.0213,0.000088,0.028389,0.001258,0.250,53,2
NGC5585,Sd,tum,23,+0.0751,0.0559,0.001469,0.077137,0.002734,0.300,51,2
NGC5907,Sc–Scd,tum,18,+0.0221,0.0226,0.000326,0.002588,0.000006,0.052,88,2
NGC5985,Sb–Sbc,tum,32,-0.5962,0.0655,0.000459,0.158449,0.004140,0.249,60,2
NGC6015,Sc–Scd,tum,43,-0.0809,0.0496,0.000258,0.105147,0.001898,0.300,60,2
