Galaksi,Sinif,n_nokta,n_yogun,acik_tum,acik_yogun,log M_bar,"log L[3,6]",log SB_eff,log SB_disk,log R_disk,log R_eff,log V_flat,gaz kesri,morfoloji T,eğiklik,SPARC Q,log mesafe,log R_HI/R_disk,log kovan kesri
CamB,Im,9,0,+0.8496,,7.7383,-1.1249,0.8971,1.8209,-0.3279,0.0828,0.0000,0.2985,10.0000,65.0000,2.0000,0.5263,0.4107,-4.0000
UGC07577,Im,8,0,+0.7929,,7.7345,-1.3468,1.0770,1.7368,-0.0458,-0.1135,0.0000,0.7223,10.0000,63.0000,2.0000,0.4133,0.3617,-4.0000
KK98-251,Im,14,0,+0.5669,,8.4149,-1.0706,0.8971,1.7168,0.1271,0.1072,1.5276,0.7826,10.0000,59.0000,2.0000,0.8325,0.3353,-4.0000
UGC11557,Sdm–Sm,11,0,+0.5564,,9.9486,1.0828,2.0288,2.5288,0.4393,0.6212,0.0000,0.3641,8.0000,30.0000,2.0000,1.3838,0.7823,-4.0000
UGC08837,Im,7,0,+0.5168,,8.8715,-0.3002,1.1967,1.8889,0.2355,0.3522,0.0000,0.6295,10.0000,80.0000,2.0000,0.8579,0.4412,-4.0000
UGC07125,Sdm–Sm,13,0,+0.4617,,9.8070,0.4333,1.4489,2.0128,0.5289,0.5933,1.8142,0.8195,9.0000,90.0000,1.0000,1.2967,0.8336,-4.0000
NGC4068,Im,5,0,+0.4491,,8.5096,-0.6271,1.4809,2.4168,-0.2291,0.0453,0.0000,0.6345,10.0000,44.0000,2.0000,0.6405,0.7316,-4.0000
UGC03580,Sa–Sab,46,21,+0.4345,+0.6231,10.1757,1.1227,2.7888,2.4808,0.3856,0.2648,2.1011,0.4670,1.0000,63.0000,2.0000,1.3160,0.9148,-0.3602
UGC07559,Im,7,0,+0.4168,,8.3206,-0.9626,1.2529,1.7408,-0.2366,-0.0088,0.0000,0.8048,10.0000,61.0000,2.0000,0.6964,0.8118,-4.0000
DDO161,Im,31,0,+0.4117,,9.4247,-0.2612,1.3168,2.2288,0.0864,0.3096,1.8215,0.8699,10.0000,70.0000,1.0000,0.8751,0.9426,-4.0000
NGC4088,Sb–Sbc,11,4,+0.3916,+0.4110,10.7931,2.0305,2.6608,3.6008,0.4116,0.7853,2.2348,0.1694,4.0000,69.0000,1.0000,1.2553,0.9357,-4.0000
UGC07866,Im,7,0,+0.3639,,8.2150,-0.9066,1.3408,1.9888,-0.2147,-0.0223,0.0000,0.7168,10.0000,44.0000,2.0000,0.6599,0.7332,-4.0000
