Galaksi,Sinif,Q,R_kpc,R_bolu_Rdisk,egiklik_deg,e_egiklik_deg,g_bar_ms2,acik_D,v_ong2,D_bolu_vong2,gereken_sigma_kms,gereken_egiklik_kaymasi_deg,baryon_tek_basina_asiyor
NGC7814,Sa–Sab,1,1.72,0.68,90,1,1.242e-09,+19544,82044,+0.238,120.1,+29.2,evet
NGC7814,Sa–Sab,1,2.79,1.10,90,1,5.935e-10,+15236,69525,+0.219,83.3,+27.9,hayir
NGC7814,Sa–Sab,1,3.91,1.54,90,1,3.531e-10,+9437,62337,+0.151,55.4,+22.9,hayir
NGC7814,Sa–Sab,1,5.03,1.98,90,1,2.353e-10,+5071,57055,+0.089,35.8,+17.3,hayir
NGC7814,Sa–Sab,1,6.14,2.42,90,1,1.662e-10,+523,52507,+0.010,10.4,+5.7,hayir
NGC7814,Sa–Sab,1,7.26,2.86,90,1,1.227e-10,-2715,48814,-0.056,0.0,+0.0,hayir
UGC02916,Sa–Sab,2,0.74,0.12,50,5,1.133e-09,-3856,34560,-0.112,0.0,-3.9,hayir
UGC02916,Sa–Sab,2,1.11,0.18,50,5,9.922e-10,+4483,46508,+0.096,111.4,+3.3,hayir
UGC02916,Sa–Sab,2,1.48,0.24,50,5,8.991e-10,+12097,56618,+0.214,158.5,+7.2,hayir
UGC02916,Sa–Sab,2,1.84,0.30,50,5,8.434e-10,+20045,65841,+0.304,183.0,+10.3,evet
UGC02916,Sa–Sab,2,2.21,0.36,50,5,7.884e-10,+27866,73662,+0.378,196.9,+12.8,evet
UGC02916,Sa–Sab,2,2.60,0.42,50,5,7.063e-10,+32634,78003,+0.418,196.5,+14.3,evet
UGC02916,Sa–Sab,2,2.96,0.48,50,5,6.033e-10,+32853,77374,+0.425,184.7,+14.5,evet
UGC02916,Sa–Sab,2,3.17,0.52,50,5,5.639e-10,+33782,77882,+0.434,181.0,+14.8,evet
UGC02916,Sa–Sab,2,3.33,0.54,50,5,5.317e-10,+33986,77667,+0.438,177.2,+14.9,evet
UGC02916,Sa–Sab,2,3.70,0.60,50,5,4.662e-10,+34003,76852,+0.442,168.1,+15.1,evet
UGC02916,Sa–Sab,2,4.07,0.66,50,5,4.096e-10,+33072,75508,+0.438,158.1,+15.0,evet
UGC02916,Sa–Sab,2,4.44,0.72,50,5,3.600e-10,+31698,73723,+0.430,148.2,+14.7,evet
UGC02916,Sa–Sab,2,4.81,0.78,50,5,3.171e-10,+29710,71735,+0.414,137.8,+14.1,evet
UGC02916,Sa–Sab,2,5.18,0.84,50,5,2.807e-10,+27320,69756,+0.392,127.3,+13.3,evet
UGC02916,Sa–Sab,2,5.55,0.90,50,5,2.487e-10,+24822,67671,+0.367,117.3,+12.4,hayir
UGC02916,Sa–Sab,2,5.92,0.96,50,5,2.219e-10,+22534,65798,+0.342,108.2,+11.6,hayir
UGC02916,Sa–Sab,2,6.28,1.02,50,5,2.003e-10,+20147,64247,+0.314,99.3,+10.6,hayir
UGC02916,Sa–Sab,2,6.34,1.03,50,5,1.972e-10,+19922,64022,+0.311,98.3,+10.5,hayir
UGC02916,Sa–Sab,2,6.65,1.08,50,5,1.819e-10,+17993,62937,+0.286,91.2,+9.7,hayir
UGC02916,Sa–Sab,2,7.03,1.14,50,5,1.659e-10,+15979,61775,+0.259,83.6,+8.7,hayir
UGC02916,Sa–Sab,2,7.39,1.20,50,5,1.528e-10,+14574,60799,+0.240,77.9,+8.1,hayir
UGC02916,Sa–Sab,2,7.77,1.26,50,5,1.406e-10,+13185,59841,+0.220,72.2,+7.4,hayir
UGC02916,Sa–Sab,2,8.14,1.32,50,5,1.305e-10,+12000,59089,+0.203,67.3,+6.9,hayir
UGC02916,Sa–Sab,2,8.51,1.38,50,5,1.214e-10,+10838,58362,+0.186,62.6,+6.3,hayir
UGC02916,Sa–Sab,2,8.88,1.44,50,5,1.132e-10,+10154,57678,+0.176,59.3,+5.9,hayir
UGC02916,Sa–Sab,2,9.25,1.50,50,5,1.062e-10,+9622,57146,+0.168,56.6,+5.7,hayir
UGC02916,Sa–Sab,2,9.52,1.55,50,5,1.014e-10,+9203,56727,+0.162,54.5,+5.5,hayir
UGC02953,Sa–Sab,2,0.17,0.05,50,4,3.230e-09,-32533,20828,-1.562,0.0,-40.0,hayir
UGC02953,Sa–Sab,2,0.26,0.07,50,4,3.701e-09,-17639,35722,-0.494,0.0,-19.4,hayir
UGC02953,Sa–Sab,2,0.34,0.10,50,4,3.465e-09,-9573,43788,-0.219,0.0,-7.7,hayir
UGC02953,Sa–Sab,2,0.43,0.12,50,4,3.071e-09,-4332,49492,-0.088,0.0,-3.0,hayir
UGC02953,Sa–Sab,2,0.51,0.14,50,4,2.766e-09,-553,53271,-0.010,0.0,-0.4,hayir
UGC02953,Sa–Sab,2,0.60,0.17,50,4,2.495e-09,+3125,56949,+0.055,96.1,+1.9,hayir
UGC02953,Sa–Sab,2,0.69,0.19,50,4,2.268e-09,+6110,59934,+0.102,125.4,+3.5,hayir
UGC02953,Sa–Sab,2,0.77,0.22,50,4,2.099e-09,+7965,62254,+0.128,135.5,+4.3,hayir
UGC02953,Sa–Sab,2,0.86,0.24,50,4,1.930e-09,+10093,64382,+0.157,144.3,+5.3,hayir
UGC02953,Sa–Sab,2,0.95,0.27,50,4,1.788e-09,+11518,66274,+0.174,146.7,+5.9,hayir
UGC02953,Sa–Sab,2,1.03,0.29,50,4,1.689e-09,+12917,68142,+0.190,149.2,+6.4,hayir
UGC02953,Sa–Sab,2,1.11,0.31,50,4,1.596e-09,+14462,69687,+0.208,152.1,+7.0,hayir
UGC02953,Sa–Sab,2,1.20,0.34,50,4,1.510e-09,+15838,71534,+0.221,153.1,+7.5,evet
UGC02953,Sa–Sab,2,1.29,0.36,50,4,1.432e-09,+17039,73208,+0.233,153.1,+7.9,evet
UGC02953,Sa–Sab,2,1.38,0.39,50,4,1.361e-09,+18012,74656,+0.241,152.2,+8.1,evet
