Galaksi,Sinif,R_kpc,Sigma_yildiz_Msun_pc2,g_bar_ms2,F4_payi,bastirma_s,M_tut_bolu_m_n
NGC7814,Sa–Sab,2.79,242.74,5.933e-10,0.265,0.1741,0.0303
NGC7814,Sa–Sab,3.91,118.73,3.529e-10,0.317,0.5230,0.2735
NGC7814,Sa–Sab,5.03,57.26,2.352e-10,0.360,0.7536,0.5680
NGC7814,Sa–Sab,6.14,30.72,1.662e-10,0.400,0.9751,0.9508
NGC7814,Sa–Sab,7.26,18.18,1.227e-10,0.437,1.1274,1.2710
NGC7814,Sa–Sab,8.37,12.40,9.518e-11,0.467,1.2279,1.5077
NGC7814,Sa–Sab,9.50,7.80,7.559e-11,0.496,1.2645,1.5988
NGC7814,Sa–Sab,10.65,5.06,6.131e-11,0.522,1.2628,1.5946
NGC7814,Sa–Sab,11.74,3.22,5.108e-11,0.545,1.2688,1.6098
NGC7814,Sa–Sab,12.82,2.04,4.301e-11,0.567,1.2916,1.6683
NGC7814,Sa–Sab,14.01,1.24,3.591e-11,0.590,1.3568,1.8410
NGC7814,Sa–Sab,15.09,0.81,3.111e-11,0.608,1.3951,1.9464
NGC7814,Sa–Sab,16.18,0.53,2.731e-11,0.624,1.4221,2.0223
NGC7814,Sa–Sab,17.36,0.33,2.373e-11,0.641,1.4588,2.1281
NGC7814,Sa–Sab,18.44,0.21,2.103e-11,0.655,1.4892,2.2176
NGC7814,Sa–Sab,19.53,0.00,1.874e-11,0.668,1.5187,2.3064
UGC02916,Sa–Sab,0.74,3731.51,1.132e-09,0.251,1.4456,2.0897
UGC02916,Sa–Sab,1.11,2759.74,9.915e-10,0.269,0.6439,0.4146
UGC02916,Sa–Sab,1.48,2091.69,8.984e-10,0.275,0.2245,0.0504
UGC02916,Sa–Sab,5.55,52.47,2.487e-10,0.371,0.0103,0.0001
UGC02916,Sa–Sab,5.92,46.91,2.219e-10,0.384,0.1077,0.0116
UGC02916,Sa–Sab,6.28,43.52,2.003e-10,0.396,0.2076,0.0431
UGC02916,Sa–Sab,6.34,43.18,1.972e-10,0.398,0.2173,0.0472
UGC02916,Sa–Sab,6.65,40.66,1.819e-10,0.407,0.2972,0.0883
UGC02916,Sa–Sab,7.03,37.06,1.659e-10,0.417,0.3803,0.1446
UGC02916,Sa–Sab,7.39,34.56,1.528e-10,0.427,0.4385,0.1923
UGC02916,Sa–Sab,7.77,32.38,1.406e-10,0.437,0.4956,0.2456
UGC02916,Sa–Sab,8.14,30.37,1.305e-10,0.445,0.5440,0.2959
UGC02916,Sa–Sab,8.51,28.50,1.214e-10,0.454,0.5909,0.3491
UGC02916,Sa–Sab,8.88,26.79,1.132e-10,0.462,0.6192,0.3834
UGC02916,Sa–Sab,9.25,25.20,1.062e-10,0.470,0.6414,0.4114
UGC02916,Sa–Sab,9.52,24.10,1.014e-10,0.475,0.6585,0.4337
UGC02916,Sa–Sab,9.62,23.71,9.966e-11,0.477,0.6646,0.4417
UGC02916,Sa–Sab,9.99,22.32,9.379e-11,0.484,0.6695,0.4482
UGC02916,Sa–Sab,10.40,20.87,8.790e-11,0.492,0.6910,0.4775
UGC02916,Sa–Sab,10.71,19.84,8.401e-11,0.497,0.6879,0.4732
UGC02916,Sa–Sab,11.12,18.56,7.919e-11,0.504,0.6894,0.4753
UGC02916,Sa–Sab,12.67,14.42,6.489e-11,0.528,0.6903,0.4765
UGC02916,Sa–Sab,12.98,13.71,6.262e-11,0.532,0.6821,0.4652
UGC02916,Sa–Sab,15.86,8.59,4.717e-11,0.566,0.6844,0.4684
UGC02916,Sa–Sab,19.05,5.11,3.755e-11,0.594,0.7484,0.5602
UGC02916,Sa–Sab,22.14,3.10,3.138e-11,0.616,0.7203,0.5188
UGC02916,Sa–Sab,25.34,1.84,2.581e-11,0.640,0.6676,0.4456
UGC02916,Sa–Sab,28.53,1.09,2.100e-11,0.664,0.5460,0.2981
UGC02916,Sa–Sab,31.72,0.65,1.702e-11,0.687,0.4797,0.2301
UGC02916,Sa–Sab,34.91,0.39,1.428e-11,0.706,0.4795,0.2299
UGC02916,Sa–Sab,38.00,0.00,1.219e-11,0.722,0.4965,0.2465
UGC02953,Sa–Sab,0.17,17705.23,3.230e-09,0.187,9.3753,87.8970
UGC02953,Sa–Sab,0.26,12324.03,3.701e-09,0.169,3.9248,15.4042
UGC02953,Sa–Sab,0.34,9275.68,3.464e-09,0.170,2.2867,5.2288
UGC02953,Sa–Sab,0.43,7278.61,3.071e-09,0.177,1.4958,2.2374
UGC02953,Sa–Sab,0.51,6136.04,2.766e-09,0.183,1.0569,1.1169
UGC02953,Sa–Sab,0.60,5154.46,2.495e-09,0.189,0.7094,0.5032
UGC02953,Sa–Sab,0.69,4409.75,2.267e-09,0.194,0.4760,0.2265
UGC02953,Sa–Sab,0.77,3876.37,2.098e-09,0.199,0.3575,0.1278
UGC02953,Sa–Sab,0.86,3407.54,1.930e-09,0.204,0.2332,0.0544
UGC02953,Sa–Sab,0.95,3059.17,1.787e-09,0.209,0.1699,0.0289
UGC02953,Sa–Sab,1.03,2789.90,1.689e-09,0.212,0.1077,0.0116
UGC02953,Sa–Sab,1.11,2541.05,1.595e-09,0.216,0.0386,0.0015
UGC02953,Sa–Sab,1.98,1011.15,9.733e-10,0.246,0.0037,0.0000
UGC02953,Sa–Sab,2.07,952.03,9.288e-10,0.250,0.0602,0.0036
UGC02953,Sa–Sab,2.15,907.89,8.922e-10,0.253,0.0909,0.0083
UGC02953,Sa–Sab,2.23,868.77,8.581e-10,0.256,0.1210,0.0146
UGC02953,Sa–Sab,2.32,831.44,8.227e-10,0.259,0.1506,0.0227
UGC02953,Sa–Sab,2.40,803.15,7.937e-10,0.262,0.2021,0.0408
UGC02953,Sa–Sab,2.49,776.83,7.638e-10,0.265,0.2274,0.0517
UGC02953,Sa–Sab,2.58,755.58,7.369e-10,0.268,0.2488,0.0619
UGC02953,Sa–Sab,2.67,735.98,7.129e-10,0.271,0.2653,0.0704
UGC02953,Sa–Sab,2.75,719.98,6.938e-10,0.273,0.3021,0.0913
UGC02953,Sa–Sab,2.83,705.46,6.765e-10,0.274,0.3123,0.0976
UGC02953,Sa–Sab,2.92,686.76,6.592e-10,0.276,0.3401,0.1157
UGC02953,Sa–Sab,3.00,667.49,6.448e-10,0.277,0.3459,0.1196
UGC02953,Sa–Sab,3.09,644.03,6.296e-10,0.278,0.3718,0.1382
UGC02953,Sa–Sab,3.18,619.86,6.149e-10,0.280,0.3768,0.1420
UGC02953,Sa–Sab,3.27,597.23,6.006e-10,0.281,0.3835,0.1471
UGC02953,Sa–Sab,3.35,576.98,5.882e-10,0.283,0.4157,0.1728
UGC02953,Sa–Sab,3.43,556.54,5.760e-10,0.284,0.4272,0.1825
UGC02953,Sa–Sab,4.21,419.83,4.720e-10,0.300,0.6495,0.4219
UGC02953,Sa–Sab,4.29,408.90,4.633e-10,0.302,0.6869,0.4719
UGC02953,Sa–Sab,4.38,397.09,4.536e-10,0.303,0.7035,0.4950
UGC02953,Sa–Sab,4.47,385.77,4.443e-10,0.305,0.7408,0.5488
UGC02953,Sa–Sab,4.80,349.35,4.130e-10,0.312,0.8287,0.6868
UGC02953,Sa–Sab,5.25,309.14,3.783e-10,0.319,0.9193,0.8451
UGC02953,Sa–Sab,5.32,302.75,3.735e-10,0.319,0.9549,0.9118
UGC02953,Sa–Sab,5.41,294.57,3.674e-10,0.321,0.9690,0.9390
UGC02953,Sa–Sab,5.50,286.44,3.613e-10,0.322,0.9841,0.9685
UGC02953,Sa–Sab,5.58,279.30,3.558e-10,0.324,1.0013,1.0026
UGC02953,Sa–Sab,5.67,271.83,3.492e-10,0.325,1.0211,1.0426
UGC02953,Sa–Sab,5.76,264.59,3.433e-10,0.327,1.0382,1.0779
UGC02953,Sa–Sab,6.00,246.35,3.284e-10,0.331,1.0912,1.1908
UGC02953,Sa–Sab,6.18,234.16,3.177e-10,0.334,1.1069,1.2252
UGC02953,Sa–Sab,6.27,229.24,3.126e-10,0.336,1.1246,1.2648
UGC02953,Sa–Sab,6.36,224.81,3.078e-10,0.337,1.1418,1.3036
UGC02953,Sa–Sab,6.45,220.85,3.032e-10,0.338,1.1582,1.3415
UGC02953,Sa–Sab,6.53,217.74,2.993e-10,0.340,1.1545,1.3329
UGC02953,Sa–Sab,6.61,215.00,2.956e-10,0.341,1.1698,1.3685
UGC02953,Sa–Sab,6.70,212.38,2.918e-10,0.342,1.1831,1.3998
UGC02953,Sa–Sab,6.79,208.74,2.883e-10,0.342,1.1750,1.3806
UGC02953,Sa–Sab,6.87,204.09,2.847e-10,0.343,1.1915,1.4196
UGC02953,Sa–Sab,6.96,198.56,2.813e-10,0.344,1.1839,1.4017
UGC02953,Sa–Sab,7.05,192.69,2.779e-10,0.345,1.1969,1.4325
UGC02953,Sa–Sab,7.20,182.19,2.721e-10,0.347,1.2083,1.4600
UGC02953,Sa–Sab,7.39,167.55,2.641e-10,0.350,1.2243,1.4990
UGC02953,Sa–Sab,7.47,162.66,2.605e-10,0.351,1.2260,1.5031
UGC02953,Sa–Sab,7.99,144.38,2.379e-10,0.361,1.2802,1.6389
UGC02953,Sa–Sab,8.08,142.62,2.346e-10,0.363,1.2811,1.6413
UGC02953,Sa–Sab,8.16,141.40,2.316e-10,0.364,1.2824,1.6447
UGC02953,Sa–Sab,8.25,138.44,2.287e-10,0.365,1.2996,1.6888
UGC02953,Sa–Sab,8.34,135.47,2.259e-10,0.366,1.2977,1.6841
UGC02953,Sa–Sab,8.40,133.47,2.241e-10,0.367,1.2967,1.6815
UGC02953,Sa–Sab,9.59,97.62,1.892e-10,0.385,1.3073,1.7091
UGC02953,Sa–Sab,10.80,77.69,1.606e-10,0.403,1.2980,1.6849
UGC02953,Sa–Sab,12.02,59.44,1.416e-10,0.415,1.2048,1.4515
UGC02953,Sa–Sab,13.22,41.20,1.251e-10,0.427,1.1520,1.3270
UGC02953,Sa–Sab,14.42,25.18,1.084e-10,0.445,1.1275,1.2713
UGC02953,Sa–Sab,15.63,15.40,9.159e-11,0.469,1.1437,1.3081
UGC02953,Sa–Sab,16.83,11.26,7.775e-11,0.493,1.2026,1.4461
UGC02953,Sa–Sab,18.03,9.36,6.807e-11,0.511,1.2277,1.5072
UGC02953,Sa–Sab,19.23,6.46,6.011e-11,0.528,1.2744,1.6241
UGC02953,Sa–Sab,20.43,4.62,5.327e-11,0.544,1.3180,1.7371
UGC02953,Sa–Sab,21.64,3.29,4.746e-11,0.560,1.3276,1.7625
UGC02953,Sa–Sab,22.84,2.33,4.250e-11,0.575,1.3358,1.7844
UGC02953,Sa–Sab,24.04,1.66,3.812e-11,0.590,1.3318,1.7737
UGC02953,Sa–Sab,25.24,1.19,3.423e-11,0.604,1.3162,1.7324
UGC02953,Sa–Sab,26.44,0.84,3.089e-11,0.617,1.2974,1.6834
UGC02953,Sa–Sab,27.65,0.60,2.806e-11,0.629,1.2865,1.6552
UGC02953,Sa–Sab,28.85,0.43,2.562e-11,0.640,1.2726,1.6196
UGC02953,Sa–Sab,30.05,0.30,2.350e-11,0.651,1.2698,1.6125
UGC02953,Sa–Sab,31.25,0.21,2.169e-11,0.661,1.2751,1.6260
UGC02953,Sa–Sab,32.34,0.16,2.026e-11,0.669,1.2622,1.5931
UGC02953,Sa–Sab,33.55,0.12,1.885e-11,0.678,1.2624,1.5936
UGC02953,Sa–Sab,34.75,0.08,1.756e-11,0.686,1.2637,1.5969
UGC02953,Sa–Sab,35.95,0.06,1.637e-11,0.694,1.2661,1.6031
UGC02953,Sa–Sab,37.15,0.04,1.529e-11,0.701,1.2680,1.6077
UGC02953,Sa–Sab,38.35,0.03,1.433e-11,0.708,1.2808,1.6403
UGC02953,Sa–Sab,39.56,0.02,1.347e-11,0.715,1.2914,1.6676
UGC02953,Sa–Sab,40.76,0.01,1.272e-11,0.721,1.2986,1.6864
UGC02953,Sa–Sab,41.96,0.01,1.203e-11,0.727,1.3058,1.7052
UGC02953,Sa–Sab,43.16,0.01,1.138e-11,0.733,1.3147,1.7285
UGC02953,Sa–Sab,44.36,0.01,1.076e-11,0.738,1.2986,1.6864
UGC02953,Sa–Sab,45.57,0.01,1.022e-11,0.743,1.2798,1.6379
UGC02953,Sa–Sab,46.77,0.01,9.729e-12,0.748,1.2601,1.5878
UGC02953,Sa–Sab,47.97,0.00,9.257e-12,0.753,1.2544,1.5736
UGC02953,Sa–Sab,49.17,0.00,8.811e-12,0.757,1.2741,1.6232
UGC02953,Sa–Sab,50.37,0.00,8.404e-12,0.762,1.3047,1.7023
