Galaksi,Sinif,n_nokta,M_bar_Msun,Sigma_yildiz,N_nukleon,l_omega_etkin_m,l_omega_mikro_m,l_omega_mikro_fm,galaksi_ici_sacilma_dex
UGC02885,Sc–Scd,16,3.3300e+11,3.0,2.8256e+68,5.7214e+20,3.2941e-14,32.9,0.025
NGC0801,Sc–Scd,6,2.4840e+11,2.0,2.5778e+68,1.1265e+21,7.2985e-14,73.0,0.036
UGC09133,Sa–Sab,35,2.2064e+11,0.1,2.1812e+68,6.0368e+20,4.1110e-14,41.1,0.032
NGC6195,Sb–Sbc,3,2.2053e+11,3.8,2.4956e+68,9.6624e+20,6.1211e-14,61.2,0.016
UGC11455,Sc–Scd,15,2.1017e+11,6.8,2.3617e+68,6.0647e+20,4.3904e-14,43.9,0.050
NGC2955,Sb–Sbc,7,2.1015e+11,6.4,2.2543e+68,8.4151e+20,5.5358e-14,55.4,0.062
ESO563-G021,Sb–Sbc,25,1.9451e+11,25.3,1.7409e+68,3.1016e+20,2.2478e-14,22.5,0.038
NGC5371,Sb–Sbc,5,1.7842e+11,0.0,2.1214e+68,1.0442e+21,7.1695e-14,71.7,0.220
UGC02953,Sa–Sab,50,1.4934e+11,0.4,1.6833e+68,3.5754e+20,2.7561e-14,27.6,0.139
UGC12506,Sc–Scd,30,1.4744e+11,5.0,9.4327e+67,2.3890e+20,2.4294e-14,24.3,0.133
NGC6674,Sb–Sbc,14,1.4016e+11,0.6,1.5036e+68,3.7845e+20,2.9538e-14,29.5,0.098
NGC2998,Sc–Scd,12,1.2881e+11,18.4,9.3448e+67,4.5101e+20,4.3799e-14,43.8,0.167
NGC2841,Sb–Sbc,49,1.2759e+11,15.2,7.2269e+67,1.2582e+20,1.4800e-14,14.8,0.145
UGC05253,Sa–Sab,17,1.2657e+11,2.7,1.2617e+68,3.8282e+20,3.5398e-14,35.4,0.049
UGC02916,Sa–Sab,13,1.1861e+11,5.1,1.0604e+68,5.0042e+20,5.2109e-14,52.1,0.068
UGC06614,Sa–Sab,6,1.1701e+11,0.0,8.4717e+67,3.5363e+20,3.8481e-14,38.5,0.033
NGC5907,Sc–Scd,18,1.1368e+11,2.0,1.0658e+68,3.8841e+20,3.6790e-14,36.8,0.095
IC4202,Sb–Sbc,25,1.1251e+11,24.4,1.0032e+68,3.7280e+20,3.6468e-14,36.5,0.040
NGC5985,Sb–Sbc,32,1.0815e+11,34.0,7.5216e+67,1.4444e+20,1.6649e-14,16.6,0.160
NGC7331,Sb–Sbc,16,1.0287e+11,1.3,1.2304e+68,4.2626e+20,3.8176e-14,38.2,0.066
NGC5055,Sb–Sbc,14,9.4601e+10,0.0,1.0320e+68,5.3848e+20,5.3607e-14,53.6,0.022
NGC3992,Sb–Sbc,8,8.7716e+10,1.9,9.7012e+67,2.4931e+20,2.5098e-14,25.1,0.074
NGC5033,Sc–Scd,17,8.1712e+10,0.6,9.6979e+67,3.2760e+20,3.5607e-14,35.6,0.041
UGC03205,Sa–Sab,43,7.9493e+10,53.3,5.8675e+67,2.7877e+20,3.3297e-14,33.3,0.071
NGC0289,Sb–Sbc,21,7.5148e+10,0.1,8.6593e+67,3.9512e+20,4.5020e-14,45.0,0.067
NGC0891,Sb–Sbc,5,7.1762e+10,2.5,8.5215e+67,4.6100e+20,5.0006e-14,50.0,0.013
UGC11914,Sa–Sab,6,7.1016e+10,75.3,7.5840e+67,2.4114e+20,2.7699e-14,27.7,0.078
UGC06787,Sa–Sab,36,6.7508e+10,5.7,6.6398e+67,1.8663e+20,2.3185e-14,23.2,0.094
NGC4157,Sb–Sbc,9,6.0286e+10,0.1,7.1588e+67,3.9668e+20,4.6265e-14,46.3,0.068
NGC1090,Sb–Sbc,20,5.6903e+10,2.3,5.1705e+67,3.6369e+20,4.9583e-14,49.6,0.045
NGC4217,Sb–Sbc,5,5.5965e+10,0.4,6.5063e+67,5.3094e+20,6.5823e-14,65.8,0.027
UGC09037,Sc–Scd,11,5.4372e+10,1.7,5.3286e+67,4.5150e+20,6.1474e-14,61.5,0.051
NGC3953,Sb–Sbc,4,5.4241e+10,75.9,4.2488e+67,2.2326e+20,3.3608e-14,33.6,0.118
