Galaksi,Sinif,R_kpc,F4_payi,Sigma_yildiz_Msun_pc2,gaz_kesri,G_yerel_bolu_G
NGC7814,Sa–Sab,0.63,0.000,4895.76,0.000,0.8339
NGC7814,Sa–Sab,1.72,0.145,653.80,0.000,0.7786
NGC7814,Sa–Sab,2.79,0.200,242.74,0.000,0.8126
NGC7814,Sa–Sab,3.91,0.243,118.73,0.000,0.9211
NGC7814,Sa–Sab,5.03,0.281,57.26,0.000,1.0339
NGC7814,Sa–Sab,6.14,0.316,30.72,0.000,1.1880
NGC7814,Sa–Sab,7.26,0.350,18.18,0.000,1.3369
UGC02916,Sa–Sab,0.37,0.000,6300.48,0.000,3.1158
UGC02916,Sa–Sab,0.74,0.189,3731.51,0.000,1.2527
UGC02916,Sa–Sab,1.11,0.204,2759.74,0.000,0.9818
UGC02916,Sa–Sab,1.48,0.208,2091.69,0.000,0.8222
UGC02916,Sa–Sab,1.84,0.206,1581.30,0.000,0.6969
UGC02916,Sa–Sab,2.21,0.204,1092.56,0.000,0.5957
UGC02916,Sa–Sab,2.60,0.207,640.28,0.000,0.5400
UGC02916,Sa–Sab,2.96,0.219,471.44,0.000,0.5281
UGC02916,Sa–Sab,3.17,0.222,391.21,0.000,0.5142
UGC02916,Sa–Sab,3.33,0.226,339.01,0.000,0.5075
UGC02916,Sa–Sab,3.70,0.235,240.15,0.000,0.4975
UGC02916,Sa–Sab,4.07,0.245,163.96,0.000,0.5005
UGC02916,Sa–Sab,4.44,0.255,113.82,0.001,0.5090
UGC02916,Sa–Sab,4.81,0.267,87.04,0.001,0.5295
UGC02916,Sa–Sab,5.18,0.278,65.89,0.002,0.5612
UGC02916,Sa–Sab,5.55,0.290,52.47,0.003,0.5978
UGC02916,Sa–Sab,5.92,0.302,46.91,0.005,0.6352
UGC02916,Sa–Sab,6.28,0.312,43.52,0.007,0.6819
UGC02916,Sa–Sab,6.34,0.314,43.18,0.007,0.6858
UGC02916,Sa–Sab,6.65,0.322,40.66,0.009,0.7283
UGC02916,Sa–Sab,7.03,0.332,37.06,0.012,0.7757
UGC02916,Sa–Sab,7.39,0.341,34.56,0.015,0.8102
UGC02916,Sa–Sab,7.77,0.350,32.38,0.018,0.8466
UGC02953,Sa–Sab,0.09,0.000,21901.13,0.000,11.5784
UGC02953,Sa–Sab,0.17,0.137,17705.23,0.000,2.9905
UGC02953,Sa–Sab,0.26,0.123,12324.03,0.000,1.6564
UGC02953,Sa–Sab,0.34,0.124,9275.68,0.000,1.3262
UGC02953,Sa–Sab,0.43,0.129,7278.61,0.000,1.1721
UGC02953,Sa–Sab,0.51,0.134,6136.04,0.000,1.0813
UGC02953,Sa–Sab,0.60,0.139,5154.46,0.000,1.0037
UGC02953,Sa–Sab,0.69,0.143,4409.75,0.000,0.9475
UGC02953,Sa–Sab,0.77,0.147,3876.37,0.000,0.9165
UGC02953,Sa–Sab,0.86,0.151,3407.54,0.000,0.8818
UGC02953,Sa–Sab,0.95,0.155,3059.17,0.000,0.8614
UGC02953,Sa–Sab,1.03,0.158,2789.90,0.000,0.8421
UGC02953,Sa–Sab,1.11,0.160,2541.05,0.000,0.8198
UGC02953,Sa–Sab,1.20,0.162,2273.86,0.000,0.8025
UGC02953,Sa–Sab,1.29,0.165,2032.01,0.000,0.7883
UGC02953,Sa–Sab,1.38,0.167,1817.32,0.000,0.7777
UGC02953,Sa–Sab,1.46,0.169,1651.25,0.000,0.7644
UGC02953,Sa–Sab,1.55,0.171,1487.90,0.000,0.7609
UGC02953,Sa–Sab,1.63,0.173,1368.11,0.000,0.7608
UGC02953,Sa–Sab,1.72,0.176,1251.07,0.000,0.7620
UGC02953,Sa–Sab,1.80,0.179,1165.06,0.000,0.7653
UGC02953,Sa–Sab,1.89,0.182,1081.39,0.000,0.7696
UGC02953,Sa–Sab,1.98,0.184,1011.15,0.000,0.7750
UGC02953,Sa–Sab,2.07,0.187,952.03,0.000,0.7894
UGC02953,Sa–Sab,2.15,0.190,907.89,0.000,0.7962
UGC02953,Sa–Sab,2.23,0.193,868.77,0.000,0.8032
UGC02953,Sa–Sab,2.32,0.195,831.44,0.000,0.8100
UGC02953,Sa–Sab,2.40,0.198,803.15,0.000,0.8254
UGC02953,Sa–Sab,2.49,0.200,776.83,0.000,0.8317
UGC02953,Sa–Sab,2.58,0.203,755.58,0.000,0.8371
UGC02953,Sa–Sab,2.67,0.205,735.98,0.000,0.8412
UGC02953,Sa–Sab,2.75,0.206,719.98,0.000,0.8534
UGC02953,Sa–Sab,2.83,0.208,705.46,0.000,0.8561
UGC02953,Sa–Sab,2.92,0.209,686.76,0.000,0.8655
UGC02953,Sa–Sab,3.00,0.210,667.49,0.000,0.8669
UGC02953,Sa–Sab,3.09,0.211,644.03,0.000,0.8760
UGC02953,Sa–Sab,3.18,0.212,619.86,0.000,0.8770
UGC02953,Sa–Sab,3.27,0.213,597.23,0.000,0.8788
UGC02953,Sa–Sab,3.35,0.215,576.98,0.000,0.8906
UGC02953,Sa–Sab,3.43,0.216,556.54,0.000,0.8944
UGC02953,Sa–Sab,4.21,0.229,419.83,0.000,0.9812
UGC02953,Sa–Sab,4.29,0.230,408.90,0.000,0.9972
UGC02953,Sa–Sab,4.38,0.232,397.09,0.000,1.0044
UGC02953,Sa–Sab,4.47,0.233,385.77,0.000,1.0208
UGC02953,Sa–Sab,4.80,0.239,349.35,0.000,1.0612
UGC02953,Sa–Sab,5.25,0.245,309.14,0.000,1.1056
UGC02953,Sa–Sab,5.32,0.246,302.75,0.000,1.1228
UGC02953,Sa–Sab,5.41,0.247,294.57,0.000,1.1302
UGC02953,Sa–Sab,5.50,0.248,286.44,0.000,1.1382
UGC02953,Sa–Sab,5.58,0.249,279.30,0.000,1.1473
UGC02953,Sa–Sab,5.67,0.251,271.83,0.000,1.1581
UGC02953,Sa–Sab,5.76,0.252,264.59,0.000,1.1676
UGC02953,Sa–Sab,6.00,0.256,246.35,0.000,1.1969
UGC02953,Sa–Sab,6.18,0.258,234.16,0.000,1.2076
UGC02953,Sa–Sab,6.27,0.259,229.24,0.000,1.2180
UGC02953,Sa–Sab,6.36,0.261,224.81,0.000,1.2281
UGC02953,Sa–Sab,6.45,0.262,220.85,0.000,1.2379
UGC02953,Sa–Sab,6.53,0.263,217.74,0.000,1.2372
UGC02953,Sa–Sab,6.61,0.264,215.00,0.000,1.2461
UGC02953,Sa–Sab,6.70,0.265,212.38,0.000,1.2541
UGC02953,Sa–Sab,6.79,0.265,208.74,0.000,1.2507
UGC02953,Sa–Sab,6.87,0.266,204.09,0.000,1.2606
UGC02953,Sa–Sab,6.96,0.267,198.56,0.000,1.2576
UGC02953,Sa–Sab,7.05,0.268,192.69,0.000,1.2653
UGC02953,Sa–Sab,7.20,0.269,182.19,0.000,1.2734
UGC02953,Sa–Sab,7.39,0.271,167.55,0.000,1.2854
UGC02953,Sa–Sab,7.47,0.273,162.66,0.000,1.2881
UGC02953,Sa–Sab,7.99,0.282,144.38,0.000,1.3318
UGC02953,Sa–Sab,8.08,0.283,142.62,0.000,1.3344
UGC02953,Sa–Sab,8.16,0.284,141.40,0.000,1.3373
UGC02953,Sa–Sab,8.25,0.285,138.44,0.000,1.3487
UGC02953,Sa–Sab,8.34,0.286,135.47,0.000,1.3494
UGC02953,Sa–Sab,8.40,0.287,133.47,0.000,1.3499
UGC02953,Sa–Sab,9.59,0.303,97.62,0.001,1.3842
UGC02953,Sa–Sab,10.80,0.319,77.69,0.003,1.4086
UGC02953,Sa–Sab,12.02,0.329,59.44,0.006,1.3623
UGC02953,Sa–Sab,13.22,0.341,41.20,0.010,1.3421
UGC03205,Sa–Sab,0.28,0.000,4369.48,0.000,1.9253
UGC03205,Sa–Sab,0.55,0.200,2593.98,0.000,0.7382
UGC03205,Sa–Sab,0.83,0.217,1603.62,0.000,0.6645
UGC03205,Sa–Sab,1.39,0.250,874.04,0.000,0.7725
UGC03205,Sa–Sab,1.65,0.257,692.41,0.000,0.8537
UGC03205,Sa–Sab,3.04,0.316,242.21,0.000,1.3453
UGC03205,Sa–Sab,3.32,0.326,234.19,0.000,1.4598
UGC03205,Sa–Sab,3.59,0.333,228.85,0.000,1.5411
UGC03205,Sa–Sab,3.87,0.337,225.83,0.000,1.5838
UGC03205,Sa–Sab,4.15,0.336,222.76,0.000,1.5921
UGC03205,Sa–Sab,4.43,0.335,208.79,0.000,1.5747
UGC03205,Sa–Sab,4.70,0.334,193.84,0.000,1.5711
UGC03205,Sa–Sab,4.97,0.335,178.79,0.000,1.5640
UGC03205,Sa–Sab,5.25,0.337,169.73,0.000,1.5434
UGC03205,Sa–Sab,5.52,0.337,162.23,0.000,1.5124
UGC03205,Sa–Sab,5.80,0.335,151.90,0.000,1.4777
UGC03205,Sa–Sab,6.08,0.335,140.54,0.000,1.4330
UGC03205,Sa–Sab,6.36,0.334,128.06,0.000,1.3931
UGC03205,Sa–Sab,6.63,0.335,115.93,0.000,1.3526
UGC03205,Sa–Sab,6.91,0.337,104.76,0.000,1.3350
UGC03205,Sa–Sab,7.19,0.340,94.31,0.000,1.3091
UGC03205,Sa–Sab,7.27,0.341,91.66,0.000,1.2924
UGC03205,Sa–Sab,7.46,0.343,85.78,0.000,1.2905
UGC03546,Sa–Sab,0.63,0.000,3468.17,0.000,0.6269
UGC03546,Sa–Sab,0.79,0.032,1927.69,0.000,0.5998
UGC03546,Sa–Sab,0.95,0.046,1278.00,0.000,0.6037
UGC03546,Sa–Sab,1.11,0.058,956.42,0.000,0.6154
UGC03546,Sa–Sab,1.27,0.070,764.95,0.000,0.6247
UGC03546,Sa–Sab,1.43,0.081,672.68,0.000,0.6476
UGC03546,Sa–Sab,1.59,0.091,627.14,0.000,0.6624
UGC03546,Sa–Sab,1.90,0.110,533.36,0.000,0.7037
UGC03546,Sa–Sab,2.06,0.118,493.72,0.000,0.7204
UGC03546,Sa–Sab,2.22,0.126,453.74,0.000,0.7409
UGC03546,Sa–Sab,2.38,0.133,414.48,0.000,0.7504
UGC03546,Sa–Sab,2.79,0.150,304.46,0.000,0.7655
UGC03546,Sa–Sab,2.86,0.152,289.28,0.000,0.7698
UGC03546,Sa–Sab,3.02,0.158,256.80,0.000,0.7720
UGC03546,Sa–Sab,4.17,0.204,105.17,0.000,0.7406
UGC03546,Sa–Sab,5.56,0.257,64.42,0.000,0.7238
UGC03546,Sa–Sab,6.96,0.297,47.31,0.000,0.8088
UGC03546,Sa–Sab,8.35,0.330,36.63,0.000,0.9890
UGC03580,Sa–Sab,0.11,0.000,3444.34,0.000,2.2303
UGC03580,Sa–Sab,0.23,0.253,2241.49,0.000,0.6513
UGC03580,Sa–Sab,0.34,0.250,1488.47,0.000,0.4774
UGC03580,Sa–Sab,0.46,0.255,1008.40,0.000,0.3619
UGC03580,Sa–Sab,0.57,0.269,777.13,0.000,0.2880
UGC03580,Sa–Sab,0.69,0.280,634.20,0.000,0.1999
UGC03580,Sa–Sab,0.80,0.285,518.13,0.000,0.1394
UGC03580,Sa–Sab,0.92,0.291,424.05,0.000,0.0942
UGC03580,Sa–Sab,1.03,0.293,329.37,0.000,0.0656
UGC03580,Sa–Sab,1.14,0.298,264.32,0.000,0.0503
UGC03580,Sa–Sab,1.26,0.304,207.29,0.000,0.0428
UGC03580,Sa–Sab,1.37,0.311,164.08,0.001,0.0439
UGC03580,Sa–Sab,1.49,0.320,136.85,0.001,0.0524
UGC03580,Sa–Sab,1.61,0.328,119.37,0.001,0.0674
UGC03580,Sa–Sab,1.71,0.335,107.47,0.002,0.0873
UGC03580,Sa–Sab,1.83,0.343,94.03,0.002,0.1129
UGC05253,Sa–Sab,0.13,0.000,24542.97,0.000,3.4118
UGC05253,Sa–Sab,0.25,0.104,14593.89,0.000,1.4700
UGC05253,Sa–Sab,0.38,0.112,9056.97,0.000,1.0796
UGC05253,Sa–Sab,0.51,0.120,6421.64,0.000,0.9433
UGC05253,Sa–Sab,0.63,0.127,4898.34,0.000,0.8839
UGC05253,Sa–Sab,0.76,0.136,3870.70,0.000,0.8586
UGC05253,Sa–Sab,0.89,0.145,3160.24,0.000,0.8454
UGC05253,Sa–Sab,1.01,0.151,2680.70,0.000,0.8322
UGC05253,Sa–Sab,1.14,0.158,2250.84,0.000,0.8273
UGC05253,Sa–Sab,1.27,0.166,1967.15,0.000,0.8253
UGC05253,Sa–Sab,1.39,0.171,1756.58,0.000,0.8226
UGC05253,Sa–Sab,1.52,0.177,1520.34,0.000,0.8238
UGC05253,Sa–Sab,1.65,0.183,1360.67,0.000,0.8222
UGC05253,Sa–Sab,1.77,0.188,1247.49,0.000,0.8306
UGC05253,Sa–Sab,1.90,0.194,1147.13,0.000,0.8387
UGC05253,Sa–Sab,2.03,0.199,1062.94,0.000,0.8370
UGC05253,Sa–Sab,2.16,0.204,995.61,0.000,0.8340
UGC05253,Sa–Sab,2.28,0.208,936.31,0.000,0.8377
UGC05253,Sa–Sab,2.41,0.211,871.07,0.000,0.8300
UGC05253,Sa–Sab,2.54,0.214,802.75,0.000,0.8293
UGC05253,Sa–Sab,2.66,0.217,740.88,0.000,0.8208
UGC05253,Sa–Sab,2.79,0.219,675.42,0.001,0.8115
UGC05253,Sa–Sab,2.92,0.221,614.91,0.001,0.8126
UGC05253,Sa–Sab,3.04,0.224,562.12,0.001,0.8064
UGC05253,Sa–Sab,3.17,0.226,508.48,0.001,0.8012
UGC05253,Sa–Sab,3.30,0.228,462.74,0.001,0.7976
UGC05253,Sa–Sab,3.42,0.231,427.23,0.001,0.7957
UGC05253,Sa–Sab,3.55,0.233,393.44,0.001,0.8037
UGC05253,Sa–Sab,3.68,0.236,356.94,0.001,0.8014
UGC05253,Sa–Sab,3.80,0.238,323.76,0.001,0.8009
UGC05253,Sa–Sab,3.93,0.240,293.50,0.001,0.8020
UGC05253,Sa–Sab,4.06,0.243,266.05,0.001,0.8038
UGC05253,Sa–Sab,4.18,0.245,244.07,0.001,0.8068
UGC05253,Sa–Sab,4.31,0.248,223.99,0.002,0.8109
UGC05253,Sa–Sab,4.44,0.251,205.50,0.002,0.8153
UGC05253,Sa–Sab,4.56,0.254,190.29,0.002,0.8202
UGC05253,Sa–Sab,4.69,0.257,176.48,0.002,0.8261
UGC05253,Sa–Sab,4.82,0.260,164.52,0.002,0.8322
UGC05253,Sa–Sab,4.94,0.262,153.52,0.002,0.8383
UGC05253,Sa–Sab,4.99,0.264,149.54,0.002,0.8409
UGC05253,Sa–Sab,5.07,0.266,143.78,0.002,0.8453
UGC05253,Sa–Sab,5.20,0.269,135.70,0.003,0.8528
UGC05253,Sa–Sab,5.45,0.275,122.13,0.003,0.8573
UGC05253,Sa–Sab,5.58,0.278,115.64,0.003,0.8657
UGC05253,Sa–Sab,5.70,0.281,109.91,0.003,0.8736
UGC05253,Sa–Sab,5.83,0.284,104.06,0.003,0.8833
UGC05253,Sa–Sab,6.47,0.300,91.11,0.005,0.9260
UGC05253,Sa–Sab,6.59,0.302,89.24,0.005,0.9217
UGC05253,Sa–Sab,6.66,0.304,88.23,0.005,0.9252
