Galaksi,Sinif,N,A_rms,B_rms,kazanc_yuzde,A_dis_sapma_yuzde,B_dis_sapma_yuzde,A_carpan,B_carpan
NGC7814,Sa–Sab,18,32.62,32.42,-0.6,-18.9,-18.7,4.1008,4.0051
UGC02916,Sa–Sab,43,25.88,31.34,+21.1,-1.3,+2.7,1.1294,0.7858
UGC02953,Sa–Sab,115,40.44,38.84,-3.9,-16.7,-15.6,3.8843,3.4396
UGC03205,Sa–Sab,48,32.30,25.60,-20.7,-12.2,-10.4,2.6411,2.2260
UGC03546,Sa–Sab,30,31.63,35.06,+10.8,-7.4,-6.3,1.9443,1.7394
UGC03580,Sa–Sab,47,21.24,27.84,+31.1,-5.2,+0.9,1.4703,0.9415
UGC05253,Sa–Sab,73,20.95,22.96,+9.6,-6.2,-2.9,1.8882,1.3202
UGC06614,Sa–Sab,13,21.89,21.63,-1.2,-14.9,-9.7,2.7032,1.8319
UGC06787,Sa–Sab,71,42.69,42.11,-1.4,-21.8,-20.3,5.5987,4.7445
UGC08699,Sa–Sab,41,24.56,22.86,-7.0,-15.2,-13.3,3.2929,2.7530
UGC09133,Sa–Sab,68,24.81,23.43,-5.6,-9.3,-6.9,1.8330,1.5513
UGC11914,Sa–Sab,65,29.47,23.88,-19.0,-9.7,-8.4,3.8174,3.0534
ESO079-G014,Sb–Sbc,15,28.39,21.32,-24.9,-21.3,-16.9,5.0144,3.3019
ESO563-G021,Sb–Sbc,30,67.16,60.19,-10.4,-22.9,-21.6,5.7421,5.0349
IC4202,Sb–Sbc,32,32.14,30.42,-5.4,-9.4,-7.7,2.2422,1.9096
NGC0289,Sb–Sbc,28,18.73,12.88,-31.3,-3.7,-3.6,1.2200,1.2153
NGC0891,Sb–Sbc,18,29.55,33.43,+13.1,-0.6,-0.1,1.0554,1.0073
NGC1090,Sb–Sbc,24,12.23,9.32,-23.8,-2.9,-0.6,1.2092,1.0388
NGC2683,Sb–Sbc,11,19.73,18.70,-5.2,-8.5,-8.6,1.6920,1.7020
NGC2841,Sb–Sbc,50,90.05,80.02,-11.1,-32.3,-29.6,10.7673,7.9823
NGC2903,Sb–Sbc,34,27.84,29.82,+7.1,-11.2,-10.8,2.2038,2.1335
NGC2955,Sb–Sbc,24,15.91,23.15,+45.5,+0.6,+3.2,0.9424,0.7314
NGC3521,Sb–Sbc,41,11.55,11.00,-4.8,-4.0,-2.0,1.6568,1.2712
NGC3769,Sb–Sbc,12,12.98,9.69,-25.3,-10.9,-8.2,1.8655,1.5771
NGC3949,Sb–Sbc,7,8.93,9.42,+5.4,-6.3,-5.4,1.9733,1.7692
NGC3953,Sb–Sbc,8,25.35,19.86,-21.6,-5.2,-4.1,1.7538,1.5462
NGC3972,Sb–Sbc,10,21.53,16.23,-24.6,-16.3,-14.3,3.4879,2.8943
NGC3992,Sb–Sbc,9,59.77,56.12,-6.1,-19.2,-18.9,3.7510,3.6427
NGC4013,Sb–Sbc,36,30.78,29.96,-2.7,-22.0,-21.7,4.8823,4.7585
NGC4051,Sb–Sbc,7,13.10,13.11,+0.1,+11.1,+12.5,0.2846,0.2525
NGC4088,Sb–Sbc,12,25.94,29.88,+15.2,+13.6,+14.1,0.2842,0.2747
NGC4100,Sb–Sbc,24,28.89,25.03,-13.3,-13.2,-12.9,2.4674,2.4230
NGC4157,Sb–Sbc,17,10.64,13.96,+31.1,-3.6,-3.6,1.2792,1.2778
NGC4217,Sb–Sbc,19,53.10,55.92,+5.3,+6.0,+6.3,0.5771,0.5635
NGC5005,Sb–Sbc,18,14.77,20.85,+41.2,-0.2,+0.7,1.0329,0.9043
NGC5055,Sb–Sbc,28,12.82,20.12,+56.9,-0.1,+1.2,1.0035,0.9310
NGC5371,Sb–Sbc,19,28.88,26.86,-7.0,+12.8,+12.9,0.3546,0.3539
NGC5985,Sb–Sbc,33,101.28,90.28,-10.9,-28.5,-26.5,9.9433,7.7898
NGC6195,Sb–Sbc,23,19.75,29.03,+46.9,+8.0,+10.3,0.4030,0.3279
NGC6674,Sb–Sbc,15,52.43,46.78,-10.8,-17.5,-17.3,2.7710,2.7338
NGC7331,Sb–Sbc,36,20.47,24.55,+20.0,-6.2,-6.1,1.6558,1.6373
F571-8,Sc–Scd,13,32.70,34.06,+4.2,-29.6,-28.4,6.6185,5.9264
F583-4,Sc–Scd,12,8.87,5.34,-39.8,-13.4,-10.1,2.1705,1.7546
NGC0024,Sc–Scd,29,33.28,25.76,-22.6,-34.4,-28.7,14.5368,7.3215
NGC0100,Sc–Scd,21,14.57,12.17,-16.4,-21.5,-18.4,3.6499,2.9040
NGC0801,Sc–Scd,13,19.51,18.91,-3.1,+7.1,+9.5,0.6119,0.5276
NGC1003,Sc–Scd,36,23.67,14.84,-37.3,-25.1,-17.4,4.1043,2.4836
NGC2403,Sc–Scd,73,22.00,16.90,-23.2,-21.1,-17.8,4.0063,3.0658
NGC2976,Sc–Scd,27,3.25,5.42,+67.2,-4.3,+1.0,1.5404,0.9108
NGC2998,Sc–Scd,13,35.60,25.22,-29.1,-6.0,-3.9,1.5054,1.2936
NGC3198,Sc–Scd,43,21.48,12.76,-40.6,-14.5,-9.1,2.5367,1.7316
NGC3726,Sc–Scd,12,12.19,13.65,+12.0,-3.1,-2.5,1.2350,1.1823
NGC3877,Sc–Scd,13,19.54,16.02,-18.0,+5.7,+7.2,0.5182,0.4444
NGC3893,Sc–Scd,10,21.22,18.36,-13.4,-13.7,-12.8,2.7351,2.5392
NGC3917,Sc–Scd,17,21.87,15.63,-28.5,-14.1,-12.6,2.6423,2.3377
NGC4085,Sc–Scd,7,13.16,16.43,+24.9,+2.9,+3.6,0.7301,0.6786
NGC4183,Sc–Scd,23,17.94,10.66,-40.6,-6.9,-5.5,1.4870,1.3671
NGC4559,Sc–Scd,32,6.98,5.53,-20.8,-3.3,+0.5,1.2345,0.9679
NGC5033,Sc–Scd,22,26.01,25.57,-1.7,-11.6,-11.6,2.0307,2.0238
NGC5907,Sc–Scd,19,37.95,31.08,-18.1,-9.8,-8.6,1.8910,1.7266
NGC6015,Sc–Scd,44,26.47,20.87,-21.2,-15.0,-14.9,2.4958,2.4613
NGC6503,Sc–Scd,31,18.54,16.46,-11.2,-16.5,-15.8,2.4995,2.3935
NGC6946,Sc–Scd,58,7.50,11.21,+49.5,-0.6,-0.3,1.0487,1.0254
UGC02885,Sc–Scd,19,45.90,36.92,-19.6,-15.9,-14.0,2.8418,2.4430
UGC06667,Sc–Scd,9,31.42,25.45,-19.0,-33.1,-30.3,7.1473,5.7100
UGC06983,Sc–Scd,17,30.85,22.72,-26.4,-18.4,-15.6,3.0485,2.4908
UGC07151,Sc–Scd,11,11.76,6.26,-46.7,-9.7,-5.8,1.9072,1.4475
UGC08286,Sc–Scd,17,26.53,20.67,-22.1,-27.5,-24.1,5.2860,4.0789
UGC09037,Sc–Scd,22,11.69,19.19,+64.1,+2.9,+6.0,0.8108,0.6641
UGC11455,Sc–Scd,36,15.66,17.53,+12.0,-4.7,-3.0,1.5402,1.3038
UGC12506,Sc–Scd,31,70.74,54.91,-22.4,-22.2,-18.1,4.3181,3.1121
ESO116-G012,Sd,15,23.65,19.17,-18.9,-25.5,-22.8,5.1953,4.1661
F568-3,Sd,18,25.05,14.51,-42.1,-26.5,-16.5,5.6537,2.6058
F568-V1,Sd,15,48.24,36.68,-24.0,-41.3,-33.0,15.8417,7.2223
F571-V1,Sd,7,15.21,9.14,-39.9,-12.4,-11.1,1.9688,1.8157
F574-1,Sd,14,26.90,18.32,-31.9,-24.8,-19.1,4.6171,3.0135
NGC0247,Sd,26,19.20,11.34,-41.0,-13.6,-11.0,2.2823,1.9111
NGC0300,Sd,25,21.67,18.04,-16.8,-20.8,-20.9,3.3166,3.3376
NGC4010,Sd,12,11.50,11.95,+3.9,-10.9,-9.0,2.2248,1.8953
NGC5585,Sd,24,11.36,9.96,-12.4,-17.7,-12.0,3.1149,2.0475
NGC7793,Sd,46,10.80,7.45,-31.0,-10.2,-6.0,2.3990,1.6127
UGC04278,Sd,25,22.89,14.72,-35.7,-37.2,-26.0,12.4448,4.6456
UGC05721,Sd,23,28.21,23.23,-17.6,-36.6,-32.0,10.1725,6.7769
UGC06446,Sd,17,25.65,17.91,-30.2,-19.2,-15.1,3.0899,2.3464
UGC06930,Sd,10,20.07,12.66,-36.9,-7.5,-5.6,1.5737,1.3917
UGC07603,Sd,12,16.25,13.85,-14.7,-29.6,-27.2,6.0457,4.9938
UGC08550,Sd,11,16.28,10.79,-33.7,-24.7,-18.4,4.2028,2.7405
F583-1,Sdm–Sm,25,28.05,16.10,-42.6,-42.3,-24.9,18.3496,3.9872
IC2574,Sdm–Sm,34,6.44,3.91,-39.2,-8.4,+2.3,1.6098,0.8883
NGC0055,Sdm–Sm,21,2.98,5.04,+69.0,+1.3,+2.6,0.9252,0.8614
NGC3109,Sdm–Sm,25,15.91,12.15,-23.6,-31.3,-26.3,6.1026,4.2554
UGC00128,Sdm–Sm,22,30.27,20.93,-30.9,-10.8,-11.0,1.7190,1.7405
UGC00191,Sdm–Sm,9,19.80,11.78,-40.5,-21.8,-14.0,4.1384,2.2797
UGC01281,Sdm–Sm,25,10.47,6.05,-42.2,-25.2,-15.5,4.7382,2.3667
UGC02259,Sdm–Sm,8,30.19,25.22,-16.5,-26.7,-24.3,5.1253,4.2431
UGC04325,Sdm–Sm,8,30.52,25.17,-17.5,-25.9,-23.4,5.7617,4.5980
UGC04499,Sdm–Sm,9,10.62,4.32,-59.4,-8.0,-4.0,1.6134,1.2614
