kusak_alt_log_gbar,kusak_ust,n,F4_payi,TEORI_artik_medyan_dex,TEORI_sacilma_dex,TEORI_gereken_a0_carpani,carpan_okunabilir,AMPIRIK_artik_medyan_dex
-12.00,-11.75,33,0.841,-0.197,0.193,2.86,evet,-0.025
-11.75,-11.50,112,0.802,-0.146,0.169,2.25,evet,+0.017
-11.50,-11.25,288,0.758,-0.119,0.148,2.01,evet,+0.028
-11.25,-11.00,390,0.705,-0.113,0.135,2.01,evet,+0.016
-11.00,-10.75,345,0.642,-0.095,0.136,1.89,evet,+0.008
-10.75,-10.50,269,0.573,-0.087,0.116,1.93,evet,-0.011
-10.50,-10.25,287,0.502,-0.052,0.127,1.57,evet,-0.001
-10.25,-10.00,262,0.427,-0.018,0.122,1.21,evet,+0.001
-10.00,-9.75,223,0.361,-0.013,0.137,1.16,evet,-0.016
-9.75,-9.50,165,0.300,+0.005,0.135,0.92,evet,-0.024
-9.50,-9.25,134,0.244,+0.053,0.113,0.31,HAYIR,+0.010
-9.25,-9.00,99,0.196,+0.054,0.109,0.16,HAYIR,+0.000
-9.00,-8.75,48,0.154,+0.073,0.094,nan,HAYIR,+0.018
-8.75,-8.50,23,0.122,+0.041,0.065,0.10,HAYIR,-0.011
