Galaksi,D_Mpc,Inc_deg,L36_1e9Lsun,Reff_kpc,YAY_log_gbar_ic,YAY_log_gobs_ic,YAY_e_gobs_ic,YAY_log_gbar_dis,YAY_log_gobs_dis,YAY_e_gobs_dis,TEORI_log_gong_ic,FARK_dex_ic,TEORI_log_gong_dis,FARK_dex_dis,KUR_R_ic_kpc,KUR_R_dis_kpc,LCDM_log_g_ic,LCDM_log_g_dis
NGC3945,22.8,57,126.3,2.50,-8.52,-8.42,0.14,-10.14,-9.90,0.12,-8.47,-0.051,-9.89,+0.006,2.0,13.0,-8.50,-9.77
NGC2974,22.1,60,116.9,3.02,-8.52,-8.36,0.10,-10.01,-9.59,0.06,-8.47,-0.111,-9.79,-0.201,1.9,10.8,-8.50,-9.71
NGC2859,26.2,35,89.1,1.59,-8.44,-8.44,0.14,-10.31,-9.99,0.20,-8.40,+0.044,-10.02,-0.035,1.5,13.3,-8.43,-9.91
NGC4278,15.4,45,82.6,1.63,-8.48,-8.30,0.10,-10.10,-9.72,0.10,-8.43,-0.134,-9.86,-0.142,1.6,10.1,-8.47,-9.81
NGC3626,22.9,54,74.6,2.43,-8.09,-8.26,0.10,-10.29,-10.16,0.06,-8.06,+0.200,-10.01,+0.150,0.9,11.9,-8.08,-9.93
NGC6798,37.3,52,69.1,3.30,-9.29,-8.75,0.14,-10.95,-10.37,0.11,-9.18,-0.430,-10.48,-0.112,3.6,24.5,-9.22,-10.25
NGC4203,15.3,30,61.7,1.85,-8.29,-8.46,0.10,-10.45,-10.06,0.16,-8.25,+0.208,-10.13,-0.070,1.1,13.0,-8.28,-10.04
NGC3998,14.2,66,56.2,1.01,-8.17,-7.91,0.10,-10.44,-9.84,0.09,-8.14,-0.227,-10.12,-0.282,0.9,12.3,-8.16,-10.05
NGC5582,28.1,50,55.2,3.07,-8.68,-8.49,0.10,-11.09,-10.12,0.07,-8.62,-0.132,-10.57,-0.454,1.6,25.7,-8.66,-10.36
NGC3941,12.4,57,43.7,1.42,-8.12,-8.28,0.10,-10.43,-10.22,0.07,-8.09,+0.191,-10.11,+0.105,0.7,10.7,-8.12,-10.06
NGC2824,39.6,65,39.6,1.09,-8.43,-8.17,0.14,-10.13,-9.96,0.12,-8.39,-0.216,-9.89,+0.074,1.0,7.2,-8.42,-9.89
NGC2685,16.1,65,30.0,1.92,-8.44,-8.56,0.16,-11.25,-10.57,0.14,-8.40,+0.164,-10.68,-0.107,0.9,22.8,-8.43,-10.50
NGC4262,16.6,67,29.0,0.69,-8.17,-7.85,0.10,-10.45,-9.88,0.06,-8.14,-0.287,-10.13,-0.250,0.6,8.9,-8.17,-10.10
UGC6176,39.3,47,29.0,1.18,-8.61,-8.08,0.14,-10.57,-10.23,0.14,-8.56,-0.476,-10.22,+0.013,1.1,10.2,-8.60,-10.16
NGC3838,23.1,66,22.5,1.03,-8.44,-8.36,0.14,-11.04,-10.31,0.13,-8.40,-0.036,-10.54,-0.231,0.8,15.5,-8.43,-10.41
NGC3522,25.2,41,13.2,1.42,-8.73,-8.43,0.10,-10.85,-10.34,0.08,-8.67,-0.239,-10.41,-0.074,0.8,9.5,-8.72,-10.32
