Galaksi,Tip,YAY_logMb,YAY_elogMb,YAY_Vf,YAY_eVf,YAY_V2exp,YAY_eV2exp,YAY_V2eff,YAY_eV2eff,YAY_Vmax,YAY_eVmax,YAY_Wp20,YAY_eWp20,YAY_Wm50,YAY_eWm50,YAY_Wm50c,YAY_eWm50c,R_dis_kpc,Vbar_dis_kms,l_omega_kpc,l_om_bolu_R,TEORI_v_yalnizF4,TEORI_v_TAM,FARK_dex_TAM,LCDM_Vmax_kms
UGC02487,S0,11.43,0.16,332.0,40.8,365.6,45.2,364.5,44.3,383.0,46.2,833.6,100.4,843.8,103.1,823.4,100.7,80.38,129.1,29.80,0.371,197.1,235.6,-0.149,727.3
UGC02885,Sc,11.41,0.12,289.5,15.9,285.2,13.9,285.9,14.0,305.0,14.4,646.4,23.4,644.2,23.3,628.6,22.9,74.07,145.3,29.12,0.393,194.8,243.1,-0.076,621.2
NGC6195,Sb,11.35,0.13,251.7,15.1,251.3,14.4,257.7,19.5,258.0,19.5,675.0,34.3,620.6,34.0,595.7,33.0,36.43,173.9,27.18,0.746,188.2,256.2,+0.008,605.6
UGC11455,Scd,11.31,0.16,269.4,8.1,279.7,9.4,288.9,6.6,291.0,10.0,644.0,4.0,634.0,15.0,617.0,15.0,41.93,153.4,25.96,0.619,183.9,239.5,-0.051,584.5
NGC2955,Sb,11.30,0.12,0.0,0.0,0.0,0.0,275.0,24.8,276.0,24.4,674.3,56.5,595.9,51.1,576.6,49.5,35.43,166.4,25.66,0.724,182.9,247.2,,514.0
ESO563-G021,Sbc,11.27,0.16,314.6,12.3,309.3,5.1,318.5,11.0,321.0,8.1,692.2,8.3,690.1,9.1,677.0,9.1,42.41,146.1,24.79,0.584,179.7,231.6,-0.133,503.3
NGC0801,Sc,11.27,0.13,220.1,7.0,223.9,6.9,226.2,6.9,238.0,6.2,505.7,3.4,488.4,16.1,475.2,16.1,59.82,130.3,24.79,0.414,179.7,222.0,+0.004,505.1
NGC5371,Sbc,11.27,0.24,209.5,7.4,240.4,7.0,241.2,7.0,242.0,7.0,523.4,15.4,507.1,13.5,0.0,0.0,46.24,136.5,24.79,0.536,179.7,225.7,+0.032,541.2
UGC09133,Sab,11.27,0.19,226.8,18.4,281.2,22.9,287.7,25.1,289.0,26.1,550.9,43.8,547.2,47.2,534.7,46.3,108.31,94.7,24.79,0.229,179.7,203.2,-0.048,466.0
NGC6674,Sb,11.18,0.19,241.3,19.1,288.4,23.0,280.8,21.9,291.0,23.2,561.2,42.7,552.5,45.0,543.9,44.4,72.41,93.8,22.35,0.309,170.7,194.7,-0.093,373.1
NGC7331,Sb,11.15,0.13,239.0,6.2,246.6,6.4,256.1,5.5,257.0,5.5,546.6,7.2,532.1,9.4,530.1,9.4,36.31,135.5,21.59,0.595,167.8,215.7,-0.045,422.6
UGC02953,Sab,11.15,0.28,264.9,16.7,317.3,18.6,318.2,18.9,319.0,18.9,642.3,38.3,621.4,37.3,617.5,37.0,62.39,102.2,21.59,0.346,167.8,196.4,-0.130,434.6
NGC3992,Sbc,11.13,0.13,241.0,9.3,254.0,9.2,271.6,8.6,272.0,8.6,577.8,14.5,570.5,15.6,564.5,15.5,46.02,115.9,21.10,0.458,165.8,202.3,-0.076,390.1
NGC5985,Sb,11.08,0.24,293.6,10.5,294.3,8.0,289.2,8.7,305.0,11.8,622.4,14.9,635.1,23.7,627.0,23.7,34.72,139.3,19.92,0.574,161.1,213.0,-0.139,364.8
UGC12506,Scd,11.07,0.11,234.0,17.5,242.0,11.7,248.6,14.9,255.0,11.7,494.2,3.1,481.2,14.2,465.1,14.2,49.99,116.6,19.69,0.394,160.2,198.1,-0.072,265.5
NGC5907,Sc,11.06,0.10,215.0,3.8,235.0,4.0,230.3,2.0,235.0,4.0,490.3,4.0,481.3,8.0,478.3,8.0,50.33,109.0,19.46,0.387,159.3,193.0,-0.047,317.6
IC4202,Sbc,11.03,0.13,242.6,11.2,239.4,7.0,246.0,6.3,250.0,5.6,558.0,3.0,554.0,3.0,0.0,0.0,25.90,148.0,18.80,0.726,156.6,215.5,-0.052,323.8
NGC2841,Sb,11.03,0.13,284.8,15.3,319.3,27.2,321.7,18.4,323.0,16.5,632.8,27.8,622.5,29.6,619.4,29.5,63.64,108.6,18.80,0.295,156.6,190.5,-0.175,335.7
NGC2998,Sc,11.03,0.15,209.9,9.5,213.5,6.8,213.3,6.8,214.0,6.8,478.7,11.2,465.2,15.0,451.0,14.8,42.28,112.3,18.80,0.445,156.6,192.7,-0.037,282.0
UGC05253,Sab,11.03,0.23,213.7,21.4,245.0,22.8,245.9,22.9,248.0,23.5,568.3,56.3,526.7,50.0,521.8,49.6,53.29,103.1,18.80,0.353,156.6,187.5,-0.057,312.0
UGC02916,Sab,10.97,0.15,182.7,17.3,210.6,22.7,207.1,16.0,218.0,17.7,492.1,38.3,417.7,33.2,404.7,32.4,38.00,119.6,17.55,0.462,151.2,192.8,+0.023,242.9
NGC5005,Sbc,10.96,0.13,262.2,22.8,0.0,0.0,264.7,22.5,265.0,22.5,613.7,13.2,0.0,0.0,0.0,0.0,11.47,201.5,17.35,1.512,150.4,251.4,-0.018,322.3
NGC5055,Sbc,10.96,0.10,179.0,14.2,204.0,15.0,206.0,15.2,206.0,15.1,488.3,36.2,476.1,34.9,0.0,0.0,54.59,87.9,17.35,0.318,150.4,174.2,-0.012,285.0
UGC06614,Sa,10.96,0.12,199.8,51.4,170.0,41.4,178.7,43.7,205.0,51.8,473.0,114.7,0.0,0.0,0.0,0.0,64.59,94.2,17.35,0.269,150.4,177.4,-0.052,243.2
NGC0891,Sb,10.88,0.11,216.1,6.2,223.1,3.9,224.9,3.2,234.0,12.0,480.0,4.0,0.0,0.0,0.0,0.0,17.11,148.4,15.82,0.925,143.6,206.5,-0.020,263.7
