Galaksi,Tip,Q,N,Vmax_kms,BIZIM_logM200,BIZIM_Ystar,BIZIM_chi2ind,BIZIM_rms,YAY_logM_NFW,YAY_hata,FARK_dex,FARK_sigma,YAY_logM_Einasto,YAY_logM_DC14
UGC02487,S0,1,17,383.0,12.627,1.037,5.337,13.92,12.26,0.08,+0.367,+4.6,12.19,12.41
NGC2841,Sb,1,50,323.0,12.561,0.876,1.818,8.37,12.57,0.07,-0.009,-0.1,12.66,12.64
ESO563-G021,Sbc,1,30,321.0,12.756,0.718,18.518,23.86,13.45,0.13,-0.694,-5.3,11.70,13.51
UGC02953,Sab,2,115,319.0,12.522,0.644,10.407,26.68,12.23,0.07,+0.292,+4.2,12.17,12.32
NGC5985,Sb,1,33,305.0,11.906,1.405,8.804,14.43,12.20,0.05,-0.294,-5.9,12.06,12.37
UGC02885,Sc,1,19,305.0,12.523,0.591,1.868,12.93,12.67,0.10,-0.147,-1.5,12.75,12.72
UGC11914,Sab,1,65,305.0,12.855,0.634,2.580,9.19,13.59,0.14,-0.735,-5.3,13.57,13.36
NGC6674,Sb,1,15,291.0,12.259,0.754,9.666,13.35,12.80,0.17,-0.541,-3.2,13.17,13.49
UGC11455,Scd,1,36,291.0,12.510,0.403,5.760,13.44,13.03,0.19,-0.520,-2.7,11.63,13.10
UGC09133,Sab,1,68,289.0,12.270,0.500,8.942,17.93,12.15,0.07,+0.120,+1.7,12.32,12.21
NGC2955,Sb,1,24,276.0,12.131,0.465,4.614,13.32,12.45,0.19,-0.319,-1.7,12.67,12.31
UGC06787,Sab,2,71,276.0,12.600,0.576,31.505,22.40,13.38,0.11,-0.780,-7.1,13.35,13.20
NGC3992,Sbc,1,9,272.0,12.152,0.810,0.733,5.24,12.12,0.10,+0.032,+0.3,12.28,12.29
NGC5005,Sbc,1,18,265.0,13.026,0.403,0.124,6.17,12.86,0.30,+0.166,+0.6,12.63,12.50
NGC7814,Sab,1,18,265.0,12.458,0.537,2.406,12.71,12.05,0.12,+0.408,+3.4,12.09,12.11
UGC03546,Sa,1,30,262.0,12.110,0.458,2.979,23.39,11.89,0.09,+0.220,+2.4,11.80,12.03
NGC6195,Sb,1,23,258.0,12.044,0.436,3.727,10.23,12.73,0.22,-0.686,-3.1,12.66,13.44
NGC7331,Sb,1,36,257.0,12.332,0.355,0.776,4.28,12.42,0.08,-0.088,-1.1,12.50,12.42
UGC12506,Scd,2,31,255.0,12.008,1.308,0.689,14.24,12.08,0.04,-0.072,-1.8,12.11,12.24
IC4202,Sbc,1,32,250.0,12.769,0.352,34.727,25.28,11.94,0.05,+0.829,+16.6,11.15,11.92
UGC05253,Sab,2,73,248.0,12.393,0.489,6.350,16.46,12.08,0.11,+0.313,+2.8,11.72,12.05
NGC5371,Sbc,1,19,242.0,11.616,0.526,10.197,15.46,11.75,0.05,-0.134,-2.7,12.00,11.85
NGC0801,Sc,1,13,238.0,11.912,0.520,7.581,14.08,12.32,0.14,-0.408,-2.9,12.33,12.16
UGC03205,Sab,1,48,237.0,12.051,0.697,3.566,12.79,12.28,0.13,-0.229,-1.8,12.13,12.08
NGC5907,Sc,1,19,235.0,12.000,0.663,6.043,10.43,11.88,0.02,+0.120,+6.0,12.17,12.03
NGC0891,Sb,1,18,234.0,12.430,0.352,6.117,14.94,11.93,0.06,+0.500,+8.3,11.70,12.03
UGC06786,S0,1,45,229.0,12.480,0.670,3.645,12.64,12.08,0.06,+0.400,+6.7,12.02,12.18
NGC5033,Sc,1,22,225.0,12.089,0.634,11.642,23.67,11.88,0.04,+0.209,+5.2,11.59,11.95
NGC3953,Sbc,1,8,224.0,11.333,0.699,0.464,3.62,12.23,0.25,-0.897,-3.6,12.10,12.08
NGC3521,Sbc,1,41,220.0,12.267,0.514,0.295,5.13,12.41,0.22,-0.143,-0.6,12.12,12.50
UGC02916,Sab,2,43,218.0,12.433,0.361,12.641,25.60,11.95,0.10,+0.483,+4.8,11.54,11.72
NGC2903,Sbc,1,34,216.0,12.135,0.492,15.507,24.19,11.64,0.06,+0.495,+8.3,11.42,11.65
NGC2998,Sc,1,13,214.0,12.010,0.604,2.493,21.50,12.00,0.09,+0.010,+0.1,12.16,12.09
NGC2683,Sb,2,11,212.0,11.661,0.653,1.211,8.60,11.81,0.11,-0.149,-1.4,11.81,11.82
NGC5055,Sbc,1,28,206.0,11.926,0.384,3.416,3.19,11.72,0.05,+0.206,+4.1,11.70,11.80
UGC06614,Sa,1,13,205.0,12.157,0.224,0.470,9.09,12.64,0.22,-0.483,-2.2,12.67,12.54
UGC08699,Sab,2,41,202.0,12.077,0.568,1.504,14.48,11.99,0.15,+0.087,+0.6,12.00,12.03
NGC4157,Sb,1,17,201.0,11.930,0.385,0.525,6.56,12.12,0.18,-0.190,-1.1,12.02,12.42
NGC4013,Sb,2,36,198.0,11.891,0.448,1.420,6.82,12.27,0.15,-0.379,-2.5,12.27,12.44
NGC4100,Sbc,1,24,195.0,11.731,0.730,1.293,6.72,11.67,0.09,+0.061,+0.7,11.76,11.83
NGC4138,S0,2,7,195.0,11.547,0.666,1.382,12.70,11.83,0.17,-0.283,-1.7,11.73,11.72
NGC0289,Sbc,2,28,194.0,11.828,0.550,1.896,9.49,11.82,0.10,+0.008,+0.1,11.88,11.89
NGC3893,Sc,1,10,194.0,12.097,0.507,1.296,8.85,11.93,0.17,+0.167,+1.0,11.80,11.97
NGC4217,Sb,1,19,191.0,12.445,0.165,4.621,15.84,12.15,0.18,+0.295,+1.6,11.65,12.15
NGC4088,Sbc,1,12,182.0,11.748,0.294,0.514,5.47,11.94,0.18,-0.192,-1.1,11.82,12.33
NGC6946,Scd,1,58,181.0,11.848,0.442,1.980,7.51,11.80,0.12,+0.048,+0.4,11.80,11.97
UGC06973,Sab,3,9,180.0,12.947,0.187,1.089,4.38,11.87,0.23,+1.077,+4.7,11.42,11.80
ESO079-G014,Sbc,1,15,178.0,12.262,0.223,4.847,11.09,12.39,0.14,-0.128,-0.9,11.62,12.23
NGC1090,Sbc,1,24,176.0,11.709,0.476,2.404,9.22,11.71,0.07,-0.001,-0.0,11.53,11.91
NGC3877,Sc,2,13,171.0,11.830,0.420,6.095,16.87,11.68,0.10,+0.150,+1.5,11.60,11.79
NGC3726,Sc,2,12,169.0,11.725,0.336,2.787,9.82,11.93,0.15,-0.205,-1.4,11.80,12.53
NGC3949,Sbc,2,7,169.0,12.192,0.389,0.273,3.53,11.71,0.17,+0.482,+2.8,11.62,11.69
NGC6015,Scd,2,44,166.0,11.652,0.770,8.637,7.97,11.46,0.05,+0.192,+3.8,11.73,11.75
NGC4051,Sbc,2,7,161.0,11.230,0.490,0.885,6.04,11.92,0.22,-0.690,-3.1,11.79,11.84
UGC09037,Scd,2,22,160.0,11.883,0.050,1.056,8.00,12.09,0.18,-0.207,-1.2,11.60,11.96
NGC3198,Sc,1,43,157.0,11.680,0.536,1.456,8.71,11.64,0.03,+0.040,+1.3,11.49,11.65
F571-8,Sc,1,13,144.0,12.058,0.050,2.459,7.08,12.05,0.15,+0.008,+0.1,10.91,11.68
F568-1,Sc,1,12,142.0,12.014,0.050,0.871,9.02,11.30,0.11,+0.714,+6.5,11.25,11.30
NGC3917,Scd,1,17,138.0,11.548,0.583,4.731,8.11,11.75,0.12,-0.202,-1.7,11.55,11.98
NGC2403,Scd,1,73,136.0,11.651,0.543,5.360,3.46,11.40,0.05,+0.251,+5.0,11.32,11.39
NGC4085,Sc,2,7,136.0,12.597,0.104,3.223,9.73,11.51,0.11,+1.087,+9.9,11.37,11.59
NGC3972,Sbc,1,10,134.0,12.100,0.176,1.040,4.54,11.57,0.11,+0.530,+4.8,11.41,11.65
UGC00128,Sdm,1,22,134.0,11.552,0.268,2.418,4.57,11.48,0.10,+0.072,+0.7,11.47,11.49
UGC03580,Sa,2,47,131.0,11.503,0.170,3.442,7.57,11.50,0.09,+0.003,+0.0,11.25,11.50
NGC4010,Sd,2,12,129.0,11.866,0.050,2.265,7.38,11.60,0.11,+0.266,+2.4,11.38,11.68
NGC3769,Sb,2,12,126.0,11.445,0.372,0.711,4.98,11.42,0.07,+0.025,+0.4,11.36,11.46
NGC4559,Scd,1,32,124.0,11.403,0.325,0.236,2.61,11.43,0.07,-0.027,-0.4,11.28,11.49
NGC6503,Scd,1,31,121.0,11.394,0.547,2.990,3.91,11.24,0.03,+0.154,+5.1,11.28,11.27
F568-3,Sd,1,18,120.0,11.008,0.050,8.903,15.88,11.34,0.12,-0.332,-2.8,11.30,11.37
F563-V2,Im,1,10,118.0,11.434,2.000,0.942,7.61,11.12,0.11,+0.314,+2.9,11.08,11.17
F568-V1,Sd,1,15,118.0,11.414,2.000,0.183,7.07,11.16,0.09,+0.254,+2.8,11.15,11.16
NGC7793,Sd,1,46,116.0,11.125,0.581,0.879,6.61,11.25,0.09,-0.125,-1.4,11.25,11.25
UGC05986,Sm,2,15,116.0,11.720,0.567,5.785,7.51,11.71,0.10,+0.010,+0.1,11.29,11.49
NGC1003,Scd,1,36,115.0,11.320,0.060,5.550,4.63,11.59,0.08,-0.270,-3.4,11.43,11.55
NGC4183,Scd,1,23,115.0,11.152,0.739,0.172,2.60,11.22,0.06,-0.068,-1.1,11.28,11.30
F579-V1,Sc,1,14,114.0,10.450,2.000,0.641,7.46,11.33,0.11,-0.880,-8.0,11.36,11.31
UGC01230,Sm,1,11,113.0,11.135,1.125,0.969,9.56,11.28,0.13,-0.145,-1.1,11.26,11.29
UGC06983,Scd,1,17,113.0,11.304,0.817,0.666,5.06,11.23,0.07,+0.074,+1.1,11.17,11.27
F563-1,Sm,1,17,112.5,11.393,0.050,1.109,8.74,11.05,0.10,+0.343,+3.4,11.00,11.07
ESO116-G012,Sd,1,15,112.0,11.608,0.323,2.316,4.50,11.49,0.08,+0.118,+1.5,11.07,11.34
UGC06917,Sm,1,11,111.0,11.471,0.299,0.707,2.99,11.32,0.08,+0.151,+1.9,11.22,11.33
NGC0024,Sc,1,29,110.0,11.276,1.423,0.491,4.36,11.30,0.10,-0.024,-0.2,11.20,11.30
NGC4389,Sbc,3,6,110.0,11.524,0.050,4.456,11.04,11.30,0.10,+0.224,+2.2,11.26,11.35
UGC06930,Sd,1,10,109.0,11.187,0.571,0.287,3.74,11.30,0.11,-0.113,-1.0,11.28,11.30
NGC0247,Sd,2,26,108.0,11.187,0.050,4.091,5.38,11.37,0.06,-0.183,-3.1,11.24,11.26
UGC07399,Sdm,1,10,106.0,11.714,1.614,1.968,3.57,11.12,0.08,+0.594,+7.4,10.94,11.11
UGC05005,Im,1,11,100.0,10.964,0.050,2.176,13.21,11.10,0.12,-0.136,-1.1,11.06,11.14
F574-1,Sd,1,14,99.7,11.324,0.165,1.781,5.58,11.27,0.09,+0.054,+0.6,11.21,11.22
UGC12732,Sm,1,16,98.0,11.034,0.050,0.362,1.87,11.00,0.10,+0.034,+0.3,10.94,11.07
NGC0300,Sd,2,25,97.0,11.274,0.115,0.694,3.97,11.11,0.08,+0.164,+2.0,11.10,11.07
UGC04278,Sd,1,25,92.8,10.997,0.050,3.427,8.50,11.16,0.07,-0.163,-2.3,10.93,11.16
UGC04325,Sm,1,8,92.7,10.732,2.000,2.618,4.28,11.03,0.09,-0.298,-3.3,11.02,11.08
NGC5585,Sd,1,24,92.3,11.170,0.050,5.600,3.91,11.26,0.06,-0.090,-1.5,11.07,11.13
NGC0100,Scd,1,21,91.2,11.159,0.050,1.593,5.54,11.19,0.08,-0.031,-0.4,10.96,11.21
UGC02259,Sdm,2,8,90.0,10.806,1.858,1.753,3.00,10.94,0.09,-0.134,-1.5,10.95,11.02
NGC2976,Sc,2,27,88.7,7.000,0.924,0.901,3.57,11.13,0.08,-4.130,-51.6,11.11,11.18
UGC06399,Sm,1,9,87.6,11.223,0.050,0.994,5.32,11.10,0.08,+0.123,+1.5,11.00,11.12
NGC0055,Sm,2,21,87.4,10.746,0.050,10.472,7.96,11.27,0.07,-0.524,-7.5,11.05,11.11
F583-1,Sm,1,25,86.9,10.802,0.050,3.295,9.42,11.02,0.08,-0.218,-2.7,10.70,10.95
NGC2915,BCD,2,30,86.5,11.172,0.291,1.205,9.23,10.82,0.06,+0.352,+5.9,10.74,10.78
UGC06667,Scd,1,9,85.7,11.011,2.000,1.960,4.60,11.11,0.07,-0.099,-1.4,10.94,11.00
UGC11557,Sdm,2,12,85.0,10.875,0.050,2.043,10.71,11.32,0.20,-0.445,-2.2,11.27,11.28
UGC06446,Sd,1,17,84.9,10.901,1.357,0.200,2.45,10.89,0.08,+0.011,+0.1,10.85,10.94
UGC11820,Sm,1,10,84.5,10.783,0.050,8.944,4.63,10.84,0.11,-0.057,-0.5,10.77,11.05
F571-V1,Sd,2,7,84.3,10.932,0.050,0.801,7.42,10.98,0.09,-0.048,-0.5,10.99,10.98
UGC08286,Scd,1,17,84.3,10.923,1.424,1.781,3.25,10.87,0.06,+0.053,+0.9,10.91,10.70
UGC00191,Sm,1,9,83.8,10.893,0.486,3.498,5.02,10.99,0.11,-0.097,-0.9,10.90,11.09
UGC07524,Sm,1,31,83.8,10.849,0.050,2.106,4.51,11.07,0.07,-0.221,-3.2,10.99,10.93
F565-V2,Im,2,7,83.1,10.929,0.050,1.534,9.89,10.81,0.09,+0.119,+1.3,10.73,10.87
UGC05721,Sd,1,23,82.6,11.140,1.455,2.276,7.05,10.79,0.08,+0.350,+4.4,10.72,10.80
UGC06923,Im,2,6,81.1,11.280,0.050,0.645,3.36,11.07,0.08,+0.210,+2.6,11.02,11.13
NGC4214,Im,2,14,80.6,11.200,0.982,0.720,5.40,10.90,0.08,+0.300,+3.7,10.90,10.87
UGC08490,Sm,1,30,80.1,10.878,1.358,0.357,2.13,10.74,0.08,+0.138,+1.7,10.82,10.87
UGC07089,Sdm,2,12,79.1,10.690,0.050,2.367,6.82,11.06,0.08,-0.370,-4.6,11.01,11.13
UGC05750,Sdm,1,11,78.9,9.203,2.000,2.328,11.45,11.02,0.11,-1.817,-16.5,11.00,11.09
UGC07151,Scd,1,11,76.2,10.646,0.690,2.647,3.40,11.07,0.08,-0.424,-5.3,11.03,11.14
UGC07261,Sdm,2,7,76.1,10.749,0.703,0.170,1.97,11.00,0.13,-0.251,-1.9,10.96,11.07
UGC05716,Sm,2,12,74.7,10.758,0.060,1.090,1.21,10.77,0.10,-0.012,-0.1,10.72,10.87
UGC06818,Sm,2,8,74.4,10.611,0.050,5.587,10.30,10.90,0.08,-0.289,-3.6,10.85,10.99
UGC04499,Sdm,1,9,74.3,10.793,0.050,0.896,3.25,10.91,0.09,-0.117,-1.3,10.78,10.99
UGC00731,Im,1,12,74.0,10.717,0.050,0.485,1.58,10.72,0.06,-0.003,-0.0,10.58,10.63
NGC1705,BCD,3,14,73.2,10.922,1.910,0.195,2.79,10.82,0.09,+0.102,+1.1,10.78,10.88
UGC10310,Sm,1,7,73.2,10.518,0.893,0.496,3.01,10.96,0.12,-0.442,-3.7,10.92,11.06
UGC12632,Sm,1,15,73.2,10.739,0.050,0.420,2.96,10.83,0.09,-0.091,-1.0,10.73,10.85
F583-4,Sc,1,12,69.9,10.711,0.050,0.612,3.56,10.94,0.10,-0.229,-2.3,10.92,11.03
UGC07608,Im,1,8,69.3,10.768,0.050,1.146,6.20,10.60,0.13,+0.168,+1.3,10.57,10.71
UGC05829,Im,2,11,68.6,10.331,0.080,1.414,5.44,10.71,0.13,-0.379,-2.9,10.67,10.85
DDO161,Im,1,31,67.5,10.442,0.050,13.219,8.95,10.87,0.07,-0.428,-6.1,10.50,10.77
IC2574,Sm,2,34,67.5,9.048,2.000,25.965,10.36,11.29,0.06,-2.242,-37.4,10.90,10.99
NGC3109,Sm,1,25,67.3,10.358,0.050,29.123,9.11,11.06,0.06,-0.702,-11.7,10.58,10.75
UGC07125,Sm,1,13,65.6,10.398,0.050,2.228,4.12,10.72,0.08,-0.322,-4.0,10.64,10.76
UGC07603,Sd,1,12,64.0,10.921,0.365,1.472,3.20,10.77,0.08,+0.151,+1.9,10.62,10.86
ESO444-G084,Im,2,7,63.1,10.977,0.050,0.649,2.20,10.45,0.08,+0.527,+6.6,10.40,10.41
DDO170,Im,2,8,62.2,10.378,0.050,9.838,5.41,10.65,0.09,-0.272,-3.0,10.52,10.68
UGC05414,Im,1,6,61.4,10.519,0.050,4.731,4.37,10.85,0.09,-0.331,-3.7,10.74,10.99
UGC02455,Im,3,8,61.0,9.833,0.050,4.877,6.96,10.64,0.11,-0.807,-7.3,10.37,10.84
UGC07690,Im,2,7,60.7,10.173,0.891,0.385,2.26,10.89,0.09,-0.717,-8.0,10.75,10.99
D631-7,Im,1,16,58.5,10.130,0.050,18.492,9.19,10.70,0.06,-0.570,-9.5,10.54,10.65
UGC08550,Sd,1,11,57.8,10.454,0.778,0.622,1.55,10.65,0.09,-0.196,-2.2,10.57,10.86
UGCA442,Sm,1,8,57.8,10.405,0.050,9.857,5.03,10.64,0.06,-0.235,-3.9,10.49,10.45
UGC01281,Sdm,1,25,56.9,10.285,0.115,3.370,7.57,10.74,0.07,-0.455,-6.5,10.67,10.67
UGC05764,Im,2,10,55.8,10.653,2.000,6.156,4.39,10.44,0.10,+0.213,+2.1,10.39,10.46
DDO168,Im,2,10,55.0,10.232,0.050,21.484,6.50,10.67,0.07,-0.438,-6.3,10.55,10.59
NGC2366,Im,3,26,53.7,10.141,0.050,6.555,4.55,10.61,0.06,-0.469,-7.8,10.51,10.38
NGC3741,Im,1,21,51.6,10.092,0.050,4.161,4.53,10.39,0.06,-0.298,-5.0,10.27,10.32
F561-1,Sm,3,6,50.4,10.047,0.050,0.349,4.47,11.13,0.11,-1.083,-9.8,11.11,11.14
DDO154,Im,2,12,48.2,10.082,0.050,17.296,4.25,10.58,0.04,-0.498,-12.4,10.13,10.26
UGC08837,Im,2,8,48.0,7.000,1.340,6.850,6.19,10.66,0.07,-3.660,-52.3,10.70,10.73
DDO064,Im,1,14,46.9,10.219,0.050,1.146,4.61,10.53,0.10,-0.311,-3.1,10.45,10.69
UGC05918,Im,2,8,44.5,10.029,0.050,0.492,2.39,10.50,0.11,-0.471,-4.3,10.40,10.70
UGC06628,Sm,2,7,42.3,9.713,0.134,0.233,3.37,11.11,0.16,-1.397,-8.7,11.10,11.17
NGC4068,Im,2,6,41.9,9.647,0.050,4.483,5.90,10.58,0.08,-0.933,-11.7,10.58,10.59
UGC04305,Im,3,22,37.3,7.000,0.752,1.729,4.37,10.79,0.08,-3.790,-47.4,10.81,10.94
KK98-251,Im,2,15,34.6,8.337,2.000,5.785,4.48,10.34,0.09,-2.003,-22.3,10.18,10.50
UGC07866,Im,2,7,33.1,9.509,0.050,0.268,1.78,10.46,0.08,-0.951,-11.9,10.45,10.52
UGC07559,Im,2,7,32.1,9.366,0.050,1.675,3.53,10.40,0.07,-1.034,-14.8,10.42,10.48
F563-V1,Im,3,6,29.5,7.457,0.915,0.199,1.82,10.81,0.17,-3.353,-19.7,10.87,10.84
UGCA281,BCD,3,7,29.5,9.783,0.324,0.930,1.40,10.54,0.08,-0.757,-9.5,10.53,10.69
D564-8,Im,2,6,25.0,8.950,0.050,8.948,4.01,10.20,0.08,-1.250,-15.6,10.22,10.24
UGC04483,Im,2,8,24.3,9.218,0.050,0.659,1.47,10.02,0.08,-0.802,-10.0,10.00,10.15
PGC51017,BCD,3,6,20.5,8.070,0.347,1.167,3.46,10.25,0.08,-2.180,-27.2,10.45,10.49
CamB,Im,2,9,20.1,7.000,0.425,8.076,3.76,10.22,0.08,-3.220,-40.2,10.28,10.28
UGC07577,Im,2,9,17.8,7.000,0.660,0.415,1.80,10.18,0.07,-3.180,-45.4,10.25,10.28
