Galaksi,Tip,N_nokta,Q,Inc_deg,Gerekce
D512-2,Im,4,2,56.0,"N=4 < 6 nokta (egri sinanamaz)"
F561-1,Sm,6,3,24.0,"SPARC kalite bayragi Q=3 (dusuk) ; egiklik i=24 < 30 derece (yuz-ustu)"
F563-1,Sm,17,1,25.0,"egiklik i=25 < 30 derece (yuz-ustu)"
F563-V1,Im,6,3,60.0,"SPARC kalite bayragi Q=3 (dusuk)"
F563-V2,Im,10,1,29.0,"egiklik i=29 < 30 derece (yuz-ustu)"
F567-2,Sm,5,3,20.0,"N=5 < 6 nokta (egri sinanamaz) ; SPARC kalite bayragi Q=3 (dusuk) ; egiklik i=20 < 30 derece (yuz-ustu)"
F568-1,Sc,12,1,26.0,"egiklik i=26 < 30 derece (yuz-ustu)"
F574-2,Sm,5,3,30.0,"N=5 < 6 nokta (egri sinanamaz) ; SPARC kalite bayragi Q=3 (dusuk)"
F579-V1,Sc,14,1,26.0,"egiklik i=26 < 30 derece (yuz-ustu)"
NGC1705,BCD,14,3,80.0,"SPARC kalite bayragi Q=3 (dusuk) ; tip BCD: kendi sinifinda N<5, istatistik tasimaz"
NGC2366,Im,26,3,68.0,"SPARC kalite bayragi Q=3 (dusuk)"
NGC2915,BCD,30,2,56.0,"tip BCD: kendi sinifinda N<5, istatistik tasimaz"
NGC4138,S0,7,2,53.0,"tip S0: kendi sinifinda N<5, istatistik tasimaz"
NGC4214,Im,14,2,15.0,"egiklik i=15 < 30 derece (yuz-ustu)"
NGC4389,Sbc,6,3,50.0,"SPARC kalite bayragi Q=3 (dusuk)"
NGC6789,BCD,4,2,43.0,"N=4 < 6 nokta (egri sinanamaz) ; tip BCD: kendi sinifinda N<5, istatistik tasimaz"
PGC51017,BCD,6,3,66.0,"SPARC kalite bayragi Q=3 (dusuk) ; tip BCD: kendi sinifinda N<5, istatistik tasimaz"
UGC00634,Sm,4,2,37.0,"N=4 < 6 nokta (egri sinanamaz)"
UGC00891,Sm,5,2,60.0,"N=5 < 6 nokta (egri sinanamaz)"
UGC01230,Sm,11,1,22.0,"egiklik i=22 < 30 derece (yuz-ustu)"
UGC02023,Im,5,2,19.0,"N=5 < 6 nokta (egri sinanamaz) ; egiklik i=19 < 30 derece (yuz-ustu)"
UGC02455,Im,8,3,51.0,"SPARC kalite bayragi Q=3 (dusuk)"
UGC02487,S0,17,1,36.0,"tip S0: kendi sinifinda N<5, istatistik tasimaz"
UGC04305,Im,22,3,40.0,"SPARC kalite bayragi Q=3 (dusuk)"
UGC05999,Im,5,2,22.0,"N=5 < 6 nokta (egri sinanamaz) ; egiklik i=22 < 30 derece (yuz-ustu)"
UGC06628,Sm,7,2,20.0,"egiklik i=20 < 30 derece (yuz-ustu)"
UGC06786,S0,45,1,64.0,"tip S0: kendi sinifinda N<5, istatistik tasimaz"
UGC06973,Sab,9,3,71.0,"SPARC kalite bayragi Q=3 (dusuk)"
UGC07232,Im,4,2,59.0,"N=4 < 6 nokta (egri sinanamaz)"
UGC07608,Im,8,1,25.0,"egiklik i=25 < 30 derece (yuz-ustu)"
UGC09992,Im,5,2,30.0,"N=5 < 6 nokta (egri sinanamaz)"
UGCA281,BCD,7,3,67.0,"SPARC kalite bayragi Q=3 (dusuk) ; tip BCD: kendi sinifinda N<5, istatistik tasimaz"
