Galaksi,N,Q,Inc_deg,Vmax_kms,ONG_evr_rms,ONG_evr_chi2ind,ONG_evr_hataici,ONG_lcdm_rms,ONG_lcdm_chi2ind,ONG_lcdm_hataici,FIT_evr_rms,FIT_evr_chi2ind,FIT_evr_hataici,FIT_evr_Ystar,FIT_lcdm_rms,FIT_lcdm_chi2ind,FIT_lcdm_hataici,FIT_lcdm_Ystar,BAR_rms,ONG_evr_lomega_kpc,ONG_lcdm_M200_Msun,ONG_lcdm_c200,DIS_evr_sapma_yuzde,DIS_lcdm_sapma_yuzde
UGC02487,17,1,36.0,383.0,96.03,702.974,0.00,153.44,2925.144,0.00,13.07,4.010,0.35,1.004,13.92,5.337,0.24,1.037,167.87,17.71,1.049e+14,5.21,-25.7,+63.3
UGC06786,45,1,64.0,229.0,27.88,160.353,0.09,30.74,156.082,0.13,14.72,0.859,0.78,0.258,12.64,3.645,0.58,0.670,82.03,9.87,1.114e+12,8.24,-14.8,-15.1
NGC4138,7,2,53.0,195.0,15.15,2.344,0.71,12.19,2.173,0.57,6.15,0.414,1.00,0.602,12.70,1.382,0.71,0.666,55.13,5.05,5.819e+11,8.80,-7.5,+4.9
UGC06973,9,3,71.0,180.0,42.96,92.738,0.22,42.03,87.214,0.33,7.85,2.450,0.44,0.188,4.38,1.089,0.78,0.187,43.52,5.00,7.228e+11,8.61,-0.9,-0.1
F568-1,12,1,26.0,142.0,33.09,8.515,0.17,25.88,5.316,0.17,9.36,0.849,0.75,1.267,9.02,0.871,0.75,0.050,69.86,4.28,1.681e+11,9.97,-27.6,-23.6
F563-V2,10,1,29.0,118.0,25.87,5.118,0.40,22.61,3.622,0.40,6.34,0.612,0.80,2.000,7.61,0.942,0.70,2.000,59.04,3.19,1.190e+11,10.33,-23.0,-22.4
F579-V1,14,1,26.0,114.0,19.69,3.852,0.36,13.41,1.832,0.71,9.65,1.135,0.71,2.000,7.46,0.641,0.86,2.000,55.68,4.24,2.328e+11,9.65,-8.1,-2.5
UGC01230,11,1,22.0,113.0,17.53,2.786,0.36,10.42,0.950,0.64,7.91,0.654,0.73,2.000,9.56,0.969,0.73,1.125,53.52,5.76,1.852e+11,9.88,+10.3,+2.6
F563-1,17,1,25.0,112.5,23.49,4.444,0.29,17.78,2.959,0.35,6.99,0.533,0.88,1.940,8.74,1.109,0.82,0.050,62.48,3.58,9.721e+10,10.54,-18.2,-18.4
NGC4389,6,3,50.0,110.0,47.26,52.698,0.00,42.46,43.919,0.00,7.50,1.653,0.50,0.050,11.04,4.456,0.50,0.050,23.57,4.15,3.287e+11,9.32,+47.4,+38.9
UGC00634,4,2,37.0,108.0,11.15,46.982,0.00,9.83,45.981,0.00,0.60,0.060,1.00,1.148,5.10,3.787,0.75,0.050,55.28,3.45,1.190e+11,10.33,-9.3,-11.1
UGC05999,5,2,22.0,100.0,6.78,1.841,0.60,11.38,5.184,0.80,4.72,1.484,0.60,1.131,9.12,5.542,0.60,0.050,44.30,4.26,1.259e+11,10.27,+4.8,+0.2
NGC2915,30,2,56.0,86.5,24.88,11.709,0.07,15.50,4.040,0.10,11.43,1.469,0.67,0.506,9.23,1.205,0.70,0.291,53.36,1.49,6.053e+10,11.06,-29.5,-14.8
NGC4214,14,2,15.0,80.6,18.25,7.721,0.07,13.57,5.053,0.07,8.65,1.798,0.86,0.283,5.40,0.720,0.86,0.982,43.62,1.26,7.766e+10,10.78,-25.8,-14.5
NGC1705,14,3,80.0,73.2,19.05,17.332,0.00,14.00,11.191,0.14,4.78,0.505,0.86,0.884,2.79,0.195,0.93,1.910,44.87,1.05,5.593e+10,11.15,-27.6,-11.9
UGC07608,8,1,25.0,69.3,10.45,2.441,0.25,6.74,1.015,0.62,2.23,0.148,1.00,0.878,6.20,1.146,0.75,0.050,33.45,1.20,4.145e+10,11.49,-19.3,-7.6
UGC00891,5,2,60.0,63.8,3.61,7.796,0.00,11.59,49.792,0.00,2.86,8.738,0.00,0.050,7.99,27.739,0.00,0.050,28.40,1.30,4.807e+10,11.32,-4.5,+7.0
UGC02455,8,3,51.0,61.0,38.97,114.637,0.00,37.17,104.277,0.00,4.15,1.731,0.50,0.050,6.96,4.877,0.25,0.050,17.65,2.10,1.304e+11,10.23,+80.0,+75.7
NGC6789,4,2,43.0,60.4,16.10,6.717,0.00,15.70,6.412,0.25,5.35,1.127,0.50,0.050,5.88,2.051,0.50,0.050,26.50,0.33,2.747e+10,11.98,-39.4,-39.1
UGC02023,5,2,19.0,58.8,9.81,1.275,0.60,18.77,4.664,0.00,4.99,0.549,1.00,0.050,8.57,1.620,0.60,0.050,15.03,1.20,8.243e+10,10.72,+10.7,+26.1
NGC2366,26,3,68.0,53.7,8.70,14.988,0.04,11.55,32.023,0.00,3.71,1.585,0.46,0.159,4.55,6.555,0.42,0.050,18.92,1.43,3.952e+10,11.54,+18.4,+21.5
F567-2,5,3,20.0,52.2,14.21,2.678,0.40,28.12,16.658,0.00,3.01,0.280,1.00,1.720,3.45,0.366,1.00,2.000,20.87,2.00,1.023e+11,10.49,+40.5,+65.6
F561-1,6,3,24.0,50.4,25.38,25.684,0.17,36.51,48.908,0.00,3.96,0.788,0.83,0.917,4.47,0.349,0.83,0.050,9.59,2.61,1.372e+11,10.18,+65.2,+82.6
UGC07232,4,2,59.0,44.0,4.39,1.766,0.75,4.29,1.691,0.50,1.36,0.340,1.00,0.050,3.00,1.652,0.50,0.050,14.07,0.37,2.893e+10,11.91,-10.9,-9.7
UGC06628,7,2,20.0,42.3,28.40,11.789,0.14,36.75,19.752,0.00,4.78,0.468,1.00,0.692,3.37,0.233,1.00,0.134,6.71,2.45,1.318e+11,10.22,+90.5,+107.8
F574-2,5,3,30.0,40.0,31.64,15.065,0.20,48.32,31.964,0.00,1.58,0.044,1.00,0.556,1.74,0.052,1.00,0.606,2.77,2.43,1.170e+11,10.35,+108.6,+133.4
UGC04305,22,3,40.0,37.3,23.41,53.317,0.05,27.88,73.603,0.00,4.34,1.694,0.64,0.768,4.37,1.729,0.59,0.752,6.36,1.59,6.424e+10,10.99,+92.2,+104.2
D512-2,4,2,56.0,37.2,3.10,0.973,0.75,16.26,19.011,0.00,1.15,0.228,1.00,2.000,2.19,1.094,0.75,0.050,17.69,0.56,4.528e+10,11.39,+4.8,+50.7
UGC09992,5,2,30.0,34.3,11.87,4.395,0.20,19.14,11.431,0.00,0.75,0.029,1.00,1.681,0.62,0.020,1.00,1.203,11.21,0.89,4.593e+10,11.37,+47.6,+72.4
F563-V1,6,3,60.0,29.5,24.84,24.676,0.00,41.10,67.569,0.00,1.89,0.215,1.00,0.976,1.82,0.199,1.00,0.915,4.95,1.50,8.854e+10,10.64,+110.4,+163.3
UGCA281,7,3,67.0,29.5,2.95,3.988,0.29,6.09,13.076,0.00,0.80,0.408,1.00,0.095,1.40,0.930,0.71,0.324,10.40,0.35,3.637e+10,11.64,+9.2,+25.2
PGC51017,6,3,66.0,20.5,19.04,101.433,0.00,26.23,193.788,0.17,4.32,1.734,0.83,0.641,3.46,1.167,0.83,0.347,4.75,0.69,3.307e+10,11.75,+125.4,+176.5
