Sinif_klasor,Sinif,Galaksi,DIS_sapma_yuzde,F4_payi,carpan_NAIF_geri_cekilen,carpan_DOGRU_sayisal,carpan_okunabilir,g_bar_dis_nokta_ms2,g_bar_medyan_ms2
01_erken_spiral,Sa–Sab,NGC7814,-11.7,0.591,1.6450,2.2049,evet,1.874e-11,6.845e-11
01_erken_spiral,Sa–Sab,UGC02916,7.9,0.487,0.7378,0.6898,evet,1.219e-11,1.528e-10
01_erken_spiral,Sa–Sab,UGC02953,-12.4,0.587,1.6982,2.1021,evet,5.422e-12,2.993e-10
01_erken_spiral,Sa–Sab,UGC03205,-3.5,0.569,1.1532,1.2273,evet,6.887e-12,1.187e-10
01_erken_spiral,Sa–Sab,UGC03546,0.1,0.523,0.9960,0.9913,evet,1.022e-11,2.622e-10
01_erken_spiral,Sa–Sab,UGC03580,10.6,0.675,0.6683,0.5873,evet,2.875e-12,9.461e-11
01_erken_spiral,Sa–Sab,UGC05253,-3.5,0.303,1.1532,1.2565,evet,6.464e-12,3.628e-10
01_erken_spiral,Sa–Sab,UGC06614,-0.1,0.710,1.0040,1.0085,evet,4.448e-12,4.357e-11
01_erken_spiral,Sa–Sab,UGC06787,-16.0,0.583,2.0086,2.6119,evet,7.115e-12,1.612e-10
01_erken_spiral,Sa–Sab,UGC08699,-6.1,0.529,1.2863,1.5156,evet,7.730e-12,6.829e-11
01_erken_spiral,Sa–Sab,UGC09133,2.4,0.735,0.9095,0.8799,evet,2.683e-12,1.227e-10
01_erken_spiral,Sa–Sab,UGC11914,-15.2,0.123,1.9338,2.6514,HAYIR,1.217e-10,4.924e-10
02_orta_spiral,Sb–Sbc,ESO079-G014,-9.3,0.626,1.4776,1.8177,evet,1.819e-11,2.739e-11
02_orta_spiral,Sb–Sbc,ESO563-G021,-15.0,0.585,1.9157,2.7718,evet,1.630e-11,7.269e-11
02_orta_spiral,Sb–Sbc,IC4202,-0.7,0.527,1.0285,1.0512,evet,2.742e-11,8.137e-11
02_orta_spiral,Sb–Sbc,NGC0289,8.1,0.794,0.7323,0.6691,evet,2.294e-12,9.348e-12
02_orta_spiral,Sb–Sbc,NGC0891,6.4,0.487,0.7802,0.6944,evet,4.171e-11,1.313e-10
02_orta_spiral,Sb–Sbc,NGC1090,9.6,0.696,0.6930,0.5719,evet,9.034e-12,2.806e-11
02_orta_spiral,Sb–Sbc,NGC2683,1.2,0.729,0.9534,0.9370,evet,5.118e-12,2.222e-11
02_orta_spiral,Sb–Sbc,NGC2841,-23.1,0.659,2.8595,4.3943,evet,6.001e-12,9.794e-11
02_orta_spiral,Sb–Sbc,NGC2903,-2.5,0.642,1.1066,1.1745,evet,1.052e-11,7.719e-11
02_orta_spiral,Sb–Sbc,NGC2955,6.5,0.482,0.7773,0.6935,evet,2.531e-11,2.083e-10
02_orta_spiral,Sb–Sbc,NGC3521,-3.7,0.239,1.1628,1.2504,HAYIR,2.310e-11,3.266e-10
02_orta_spiral,Sb–Sbc,NGC3769,2.8,0.792,0.8954,0.8682,evet,1.822e-12,1.447e-11
02_orta_spiral,Sb–Sbc,NGC3949,0.3,0.427,0.9881,0.9740,evet,6.517e-11,1.393e-10
02_orta_spiral,Sb–Sbc,NGC3953,1.7,0.430,0.9348,0.8512,evet,5.236e-11,1.036e-10
02_orta_spiral,Sb–Sbc,NGC3972,-7.0,0.583,1.3368,1.5933,evet,1.923e-11,3.325e-11
02_orta_spiral,Sb–Sbc,NGC3992,-11.2,0.646,1.6082,2.0053,evet,9.466e-12,2.844e-11
02_orta_spiral,Sb–Sbc,NGC4013,-14.7,0.614,1.8889,2.6196,evet,7.013e-12,2.050e-11
02_orta_spiral,Sb–Sbc,NGC4051,20.5,0.499,0.4743,0.3236,evet,4.204e-11,7.426e-11
02_orta_spiral,Sb–Sbc,NGC4088,23.3,0.568,0.4327,0.2843,evet,2.134e-11,8.043e-11
02_orta_spiral,Sb–Sbc,NGC4100,-4.6,0.646,1.2073,1.3339,evet,1.005e-11,3.296e-11
02_orta_spiral,Sb–Sbc,NGC4157,5.7,0.659,0.8011,0.7034,evet,1.077e-11,3.886e-11
02_orta_spiral,Sb–Sbc,NGC4217,14.4,0.541,0.5838,0.4806,evet,3.079e-11,1.119e-10
02_orta_spiral,Sb–Sbc,NGC5005,-4.4,0.208,1.1972,1.2750,HAYIR,1.147e-10,3.936e-10
02_orta_spiral,Sb–Sbc,NGC5055,11.9,0.730,0.6378,0.5125,evet,4.582e-12,5.366e-11
02_orta_spiral,Sb–Sbc,NGC5371,22.8,0.609,0.4398,0.2655,evet,1.306e-11,7.330e-11
02_orta_spiral,Sb–Sbc,NGC5985,-20.7,0.549,2.5288,4.2884,evet,1.811e-11,5.601e-11
02_orta_spiral,Sb–Sbc,NGC6195,16.4,0.456,0.5447,0.4317,evet,2.689e-11,1.314e-10
02_orta_spiral,Sb–Sbc,NGC6674,-7.7,0.770,1.3778,1.5050,evet,3.938e-12,1.415e-11
02_orta_spiral,Sb–Sbc,NGC7331,1.4,0.562,0.9459,0.9013,evet,1.639e-11,6.546e-11
03_gec_spiral,Sc–Scd,F571-8,-20.6,0.731,2.5160,3.2625,evet,3.467e-12,2.925e-11
03_gec_spiral,Sc–Scd,F583-4,0.7,0.784,0.9725,0.9659,evet,4.081e-12,5.615e-12
