galaxy	Q	x03	et	et_lo	et_hi	D
CamB	C	-11.629	0.459	-0.055	0.030	3.12
D512-2	P	-11.421	0.106	-0.081	0.117	15.94
D564-8	P	-11.987	0.064	-0.025	0.026	8.75
D631-7	P	-11.656	-0.089	-0.019	0.017	7.48
DDO064	P	-11.113	0.053	-0.079	0.110	6.83
DDO154	P	-11.686	0.008	-0.008	0.008	3.86
DDO161	P	-11.549	-0.045	-0.010	0.010	3.36
DDO168	P	-11.057	-0.212	-0.065	0.053	4.05
DDO170	P	-11.545	0.037	-0.017	0.020	11.81
ESO079-G014	P	-10.556	-0.031	-0.058	0.057	28.02
ESO116-G012	P	-10.999	-0.066	-0.044	0.043	13.40
ESO444-G084	P	-11.107	-0.095	-0.035	0.030	4.68
ESO563-G021	P	-10.569	-0.032	-0.035	0.033	66.25
F563-1	P	-11.698	0.112	-0.052	0.066	53.07
F563-V2	A	-11.145	0.179	-0.124	0.152	63.34
F565-V2	P	-11.433	-0.016	-0.050	0.047	51.95
F568-1	P	-11.014	-0.033	-0.100	0.100	89.63
F568-3	P	-11.365	0.238	-0.081	0.104	84.40
F568-V1	P	-11.227	0.098	-0.055	0.066	85.42
F571-8	A	-11.087	-0.423	-0.047	0.052	28.31
F571-V1	P	-11.480	0.206	-0.108	0.134	80.24
F574-1	P	-11.170	0.079	-0.042	0.048	100.40
F579-V1	C	-11.130	0.425	-0.089	0.054	87.49
F583-1	P	-11.392	0.032	-0.051	0.055	35.78
F583-4	P	-11.393	0.081	-0.062	0.079	52.51
IC2574	P	-11.599	0.072	-0.014	0.016	4.01
IC4202	P	-10.370	0.169	-0.048	0.053	99.01
KK98-251	P	-11.418	0.269	-0.099	0.125	7.38
NGC0024	P	-10.977	-0.004	-0.016	0.017	7.47
NGC0055	P	-11.385	0.050	-0.019	0.021	1.94
NGC0100	P	-11.304	-0.106	-0.044	0.039	9.64
NGC0247	P	-11.096	0.182	-0.046	0.056	3.76
NGC0289	P	-11.673	0.118	-0.026	0.031	19.90
NGC0300	P	-11.496	-0.009	-0.026	0.026	2.03
NGC0801	P	-10.840	0.174	-0.023	0.024	68.41
NGC0891	P	-10.407	-0.118	-0.022	0.022	9.83
NGC1003	P	-11.640	-0.056	-0.009	0.008	6.53
NGC1090	P	-11.006	0.059	-0.023	0.024	31.86
NGC2403	P	-11.512	-0.019	-0.005	0.005	3.59
NGC2683	P	-11.126	0.086	-0.025	0.028	9.88
NGC2841	P	-11.008	-0.028	-0.013	0.013	14.02
NGC2903	P	-11.325	0.040	-0.008	0.008	12.46
