#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-08-02T07:43:00 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-02T07:43:00	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/508/1195&-out.max=150&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75081195
#Name: J/MNRAS/508/1195
#Title: The bTFr of MIGHTEE-H I spiral galaxies (Ponomareva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/508/1195	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/508/1195	    IVOID of underlying data collection
#INFO	creator=Ponomareva A.A.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.508.1195P	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/508/1195	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75081195	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_508_1195_tablem:
#Name: J/MNRAS/508/1195/tablem
#Title: The MIGHTEE-HI baryonic Tully-Fisher relation sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A16)	Source identifier name designation (JHHMMSS.ss+DDMMSS.s) (name)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Freq	(F6.3)	[1.313-1.412] observed frequency (freq)	[ucd=em.freq]
#Column	zsp	(F6.3)	Spectroscopic redshift (z) (1)	[ucd=src.redshift]
#Column	logMHI	(F6.3)	Logarithm of the total H I mass (logMHI) (2)	[ucd=phys.mass]
#Column	logM*	(F6.3)	Logarithm of the stellar mass (logM*) (2)	[ucd=phys.mass]
#Column	I3DB	(F6.3)	Inclination angle from the second run of the 3D Barolo (I_3DB_) (3)	[ucd=src.orbital.inclination]
#Column	iHI	(F6.3)	Inclination angle measured from the H I moment-0 maps (i_HI_) (4)	[ucd=src.orbital.inclination]
#Column	PA	(F7.3)	Kinematic position angle of each source (PA)	[ucd=pos.posAng]
#Column	Vout	(F7.3)	Rotational velocity measured as the outermost from the resolved H I rotation curves (V_out_) (5)	[ucd=phys.veloc.rotat]
#Column	W50	(F7.3)	Measured FWHM of the H I curve (W_50_) (6)	[ucd=phys.angSize]
#Column	Nbeams	(F6.3)	Number of beams along the major axis (N_beams_)	[ucd=meta.number]
recno	ID	RAJ2000	DEJ2000	Freq	zsp	logMHI	logM*	I3DB	iHI	PA	Vout	W50	Nbeams
 	 	deg	deg	GHz	 	[Msun]	[Msun]	deg	deg	deg	km/s	km/s	
--------	----------------	-------	-------	------	------	------	------	------	------	-------	-------	-------	------
       1	J100103.7+023053	150.265	+02.515	 1.325	 0.072	 9.837	 9.934	48.751	51.193	 93.810	109.172	233.451	 3.196
       2	J100222.8+024519	150.595	+02.755	 1.325	 0.072	 9.785	 9.417	66.414	63.764	 46.208	149.113	247.328	 3.038
       3	J100009.3+024247	150.039	+02.713	 1.375	 0.033	 9.472	 9.458	58.001	58.705	343.096	 84.806	177.072	 4.267
       4	J100115.2+021823	150.313	+02.306	 1.381	 0.028	 9.248	 8.611	66.918	69.473	159.278	 64.603	163.045	 3.850
       5	J095720.6+015507	149.336	+01.919	 1.376	 0.032	 9.690	10.140	42.689	40.883	 50.614	115.449	195.747	 5.467
       6	J100143.2+024109	150.430	+02.686	 1.357	 0.047	 9.712	 9.240	43.670	41.469	176.824	 85.875	183.626	 4.046
       7	J100259.0+022035	150.746	+02.343	 1.360	 0.044	 9.769	10.926	33.811	29.814	252.656	217.309	267.158	 4.482
       8	J100236.5+014836	150.652	+01.810	 1.359	 0.046	 9.725	 9.224	26.145	21.573	325.909	 84.455	137.319	 4.220
       9	J100217.9+015124	150.574	+01.857	 1.337	 0.062	 9.671	10.189	49.948	47.835	343.210	133.683	254.171	 3.052
      10	J095846.8+022051	149.695	+02.348	 1.412	 0.006	 8.575	 7.456	57.616	61.850	315.240	 65.027	119.882	 7.749
      11	J095927.9+020025	149.866	+02.007	 1.402	 0.013	 8.505	 6.843	31.597	26.671	283.847	 38.682	 86.779	 3.540
      12	J095829.1+014139	149.621	+01.694	 1.412	 0.006	 9.144	 8.093	63.635	61.192	 66.031	 49.630	110.093	14.566
      13	J100222.7+022520	150.595	+02.422	 1.391	 0.021	 8.842	 8.763	67.487	65.572	324.892	 45.269	125.853	 3.307
      14	J021748.5-043241	034.452	-04.545	 1.329	 0.069	 9.989	10.100	55.952	55.716	274.873	122.894	231.100	 3.864
      15	J021600.4-044414	034.001	-04.737	 1.328	 0.069	10.099	 9.910	76.463	72.166	101.291	124.749	275.156	 4.282
      16	J021759.3-041634	034.497	-04.276	 1.375	 0.033	 9.652	 8.821	22.244	20.681	274.165	 72.024	 98.887	 5.146
      17	J021814.0-044944	034.558	-04.829	 1.377	 0.032	 9.273	 8.904	59.036	58.693	358.725	 66.105	163.135	 3.627
      18	J021744.9-041158	034.437	-04.199	 1.362	 0.043	 9.961	 9.832	65.269	64.994	162.272	110.873	199.452	 5.654
      19	J021815.4-041558	034.564	-04.266	 1.363	 0.042	10.166	10.171	46.174	43.054	251.463	149.706	261.457	 7.160
      20	J021827.2-041219	034.614	-04.205	 1.364	 0.042	 9.864	10.278	35.081	32.060	220.225	143.215	196.763	 5.270
      21	J021902.3-042646	034.760	-04.446	 1.364	 0.041	 9.718	 9.274	62.890	60.406	337.481	 78.072	177.586	 4.523
      22	J021532.8-044607	033.887	-04.769	 1.363	 0.042	10.058	10.148	56.844	54.709	250.339	152.980	290.636	 6.373
      23	J021824.1-052754	034.601	-05.465	 1.363	 0.042	 9.844	 9.246	63.023	62.589	148.840	 79.853	222.074	 5.077
