Name,PSRJ,P0,P1,F0,Binary,Type,Age,Bsurf,Edot,Dist
"J0244+14","J0244+14",2.1281,,0.469903," "," ",,,,2.73
"J0337+1715","J0337+1715",0.00273258863244,1.7666E-20,365.953363096,"ELL1"," ",2.45E9,2.22E8,3.400000045076012E34,1.3
"J0407+1607","J0407+1607",0.02570173919463,7.9E-20,38.90787282632,"BT"," ",5.15E9,1.44E9,1.800000063667539E32,4.07
"J0329+1654","J0329+1654",0.893319660649,2.1525E-16,1.119420118072," "," ",6.58E7,4.4400001E11,1.200000042445026E31,3.35
"B0301+19","J0304+1932",1.387584446262,1.295235E-15,0.720676858762," "," ",1.7E7,1.36000006E12,1.9000000293090119E31,0.95
"J0241+16","J0241+16",1.5454,,0.647082," "," ",,,,1.01
"J0229+20","J0229+20",0.8069,,1.239311," "," ",,,,2.97
"J0158+21","J0158+21",0.5053,,1.979022," "," ",,,,1.45
"J0435+27","J0435+27",0.3262793,,3.064859," "," ",,,,3.43
"J0357+3205","J0357+3205",0.4441044988,1.3037E-14,2.251722292," ","NRAD",540000.0,2.42999991E12,5.900000105611978E33,
"J0417+35","J0417+35",0.6544,,1.52812," "," ",,,,2.68
"J0510+38","J0510+38",0.0765644,,13.0609," "," ",,,,2.74
"J0501+4516","J0501+4516",5.76209653,5.82E-12,0.173547943," ","AXP,NRAD",15700.0,1.84999995E14,1.1999999696854499E33,2.2
"B0458+46","J0502+4654",0.638565481517,5.582339E-15,1.566010110074," "," ",1810000.0,1.91000006E12,8.499999967170877E32,1.78
"J0519+44","J0519+44",0.515,,1.941748," "," ",,,,2.03
"J0419+44","J0419+44",1.241,,0.805802," "," ",,,,3.12
"J0358+42","J0358+42",0.2264777,,4.41545," "," ",,,,2.07
"B0320+39","J0323+3944",3.032071956385,6.3562E-16,0.329807476335," "," ",7.56E7,1.39999995E12,9.000000034120601E29,2.61
"J0340+4130","J0340+4130",0.00329,,303.951368," ","HE",,,,2.67
"B0331+45","J0335+4555",0.26920054092953,7.3505E-18,3.71470278829," "," ",5.8E8,4.4999999E10,1.5000000530562825E31,2.08
"B0353+52","J0357+5236",0.1970300980314,4.76594E-16,5.075366707885," "," ",6550000.0,3.09999993E11,2.5000001187436275E33,4.73
"J0426+4933","J0426+4933",0.922474730055,3.93444E-14,1.084040535116," "," ",371000.0,6.1000002E12,1.9999999494757496E33,3.6
"J0519+54","J0519+54",0.340194,,2.9395," "," ",,,,2.03
"B0450+55","J0454+5543",0.340729436235,2.37227E-15,2.93487997706," "," ",2280000.0,9.1E11,2.3999999393708998E33,1.18
"J0408+551","J0408+551",1.837,,0.544366," "," ",,,,2.04
"J0408+552","J0408+552",0.754,,1.32626," "," ",,,,2.36
"J0218+4232","J0218+4232",0.00232309046783,7.7389E-20,430.4610663457,"ELL1","HE[khvb98,aaa+09f]",4.76E8,4.29E8,2.4000000208616252E35,3.15
"B0153+39","J0156+3949",1.81156061131,1.516E-16,0.55201023568," "," ",1.89E8,5.29999987E11,1.0000000116860971E30,4.85
"B0045+33","J0048+3412",1.217094296058,2.35454E-15,0.821629025162," "," ",8190000.0,1.71000005E12,5.2000000323459955E31,3.68
"B0011+47","J0014+4746",1.240699038946,5.6446E-16,0.805997239145," "," ",3.48E7,8.4699998E11,1.200000042445026E31,1.82
"J0106+4855","J0106+4855",0.083157305005,4.2792E-16,12.02540173638," ","HE",3080000.0,1.91000003E11,2.8999999631196253E34,7.33
"J0102+4839","J0102+4839",0.00296,,337.837838,"BT","HE",,,,4.03
