Isim,TayfTuru,RV_kms,vsini_kms,Teff_K
J0000+2554,T4.5,6.4,9,1176
J0034+0523,T6.5,16.6,89.6,815
J0136+0933,T2.5,10.4,49.8,1148
J0150+3827,T0,56.2,24.7,1540
J0213+3648,T3,-3.8,25.1,1279
J0243-2453,T6,-0.6,9.9,979
J0415-0935,T8,50.4,31.5,744
J0559-1404,T4.5,,16.5,
J0627-1114,T6,1.2,9,1034
J0629+2418,L7+T5.5,0.5,33.1,1348
J0755+2212,T5,22.3,43.0,1090
J0819-0335,T4,14.4,9,1284
J0909+6525,T1.5+T2.5,37.8,39.5,1327
J0937+2931,T6p,-4.4,66.9,932
J1106+2754,T0+T4.5,-3.1,12.9,1171
J1217-0311,T7.5,,30.6,
J1225-2739,T5.5+T8,18.5,42.6,1033
J1254-0122,T2,40.8,32.0,1137
J1324+6358,T2,-23.0,9.7,1348
J1331-0116,T0p,-2.8,27.0,1421
J1346-0031,T6.5,-17.5,10.0,1011
GL 570D,T8,31.6,20.9,814
J1503+2525,T5.5,-34.9,25.6,1118
J1506+7027,T6,2.5,60.3,981
J1520+3546,T0,3.4,43.1,1698
J1553+1523,T6.5+T7.5,-24.4,29.2,875
J1624+0029,T6,-25.0,36.5,987
J1629+0335,T2,6.4,19.4,1289
J1809-0448,T1,-43.4,21.0,1452
J1928+2356,T6,-27.1,20.5,1172
J1952+7240,T4,-11.8,42.9,1164
J2030+0749,T1.5,-21.2,15,1134
J2126+7617,T0p,-17.7,58.2,1462
HN Peg B,T2.5,-19.5,15.1,1305
J2236+5105,T5,-1.2,9,1063
J2254+3123,T5,14.3,34.6,1214
J2356-1553,T6,23.6,32.5,1065
