Isim,Sinif,Grup,RADec,Teff_K,Kutle_Msun,e_Kutle,Oncul_Kutle_Msun,Bolunme_muHz,Prot_saat,Kaynak,Yaricap_Rgunes_ikincil
Ross 548,DAV,literatur,01 36 13.58 -11 20 32.7,12300,0.62,0.04,2.36,,37.8,1,
HL Tau 76,DAV,literatur,04 18 56.63 +27 17 48.5,11470,0.56,0.04,1.93,,52.8,2,
HS 0507+0434,DAV,literatur,05 10 13.94 +04 38 38.4,12010,0.72,0.04,3.00,3.6,40.9,3,0.0109178
KUV11370+4222,DAV,literatur,11 39 41.42 +42 05 18.7,11940,0.71,0.04,2.92,25.0,5.9,4,0.011036
GD 154,DAV,literatur,13 09 57.69 +35 09 47.1,11120,0.65,0.04,2.49,2.8,53.3,5,0.0117656
LP 133-144,DAV,literatur,13 51 20.24 +54 57 42.6,12150,0.59,0.04,2.13,,41.8,6,
GD 165,DAV,literatur,14 24 39.14 +09 17 14.0,12220,0.67,0.04,2.68,,57.3,1,
L19-2,DAV,literatur,14 33 07.60 -81 20 14.5,12070,0.69,0.04,2.75,13.0,13.0,7,0.0112751
SDSSJ1612+0830,DAV,literatur,16 12 18.08 +08 30 28.1,11810,0.78,0.04,3.50,75.6,1.9,8,0.0102245
G226-29,DAV,literatur,16 48 25.64 +59 03 22.7,12510,0.83,0.04,3.68,,8.9,9,
G185-32,DAV,literatur,19 37 13.68 +27 43 18.7,12470,0.67,0.04,2.64,,14.5,10,
PG 0122+200,DOV,literatur,01 25 22.52 +20 17 56.8,80000,0.53,0.04,1.75,3.7,37.2,11,0.0133724
NGC 1501,DOV,literatur,04 06 59.39 +60 55 14.4,134000,0.56,0.04,1.94,,28.0,12,
PG 1159-035,DOV,literatur,12 01 45.97 -03 45 40.6,140000,0.54,0.04,1.81,,33.6,13,
RX J2117.1+3412,DOV,literatur,21 17 08.28 +34 12 27.5,170000,0.72,0.04,2.98,,28.0,14,
PG 2131+066,DOV,literatur,21 34 08.23 +06 50 57.4,95000,0.55,0.04,1.88,,5.1,15,
KIC 8626021,DBV,literatur,19 29 04.69 +44 47 09.7,30000,0.59,0.04,2.10,3.3,44.6,16,0.0125392
EPIC 220670436,DBV,literatur,01 14 37.66 +10 41 04.8,31300,0.52,0.04,1.68,15.4,10.2,17,0.0135184
KIC 4357037,DAV,kepler_k2,19 17 19.20 +39 27 19.1,12650,0.62,0.04,2.30,6.7,22.0,0,0.012146
KIC 4552982,DAV,kepler_k2,19 16 43.83 +39 38 49.7,10950,0.67,0.04,2.67,8.0,18.4,18,0.0115182
KIC 7594781,DAV,kepler_k2,19 08 35.88 +43 16 42.4,11730,0.67,0.04,2.66,5.5,26.8,0,0.0115182
KIC 10132702,DAV,kepler_k2,19 13 40.89 +47 09 31.3,11940,0.68,0.04,2.73,13.2,11.2,0,0.0113961
KIC 11911480,DAV,kepler_k2,19 20 24.90 +50 17 21.3,11580,0.58,0.04,2.07,1.97,74.7,19,0.0126734
EPIC 60017836,DAV,kepler_k2,23 38 50.74 -07 41 19.9,10980,0.57,0.04,2.00,21.2,6.9,0,0.0128094
EPIC 201719578,DAV,kepler_k2,11 22 21.10 +03 58 22.4,11070,0.57,0.04,2.01,5.5,26.8,0,0.0128094
EPIC 201730811,DAV,kepler_k2,11 36 55.16 +04 09 52.8,12480,0.58,0.04,2.08,56.7,2.6,20,0.0126734
EPIC 201802933,DAV,kepler_k2,11 51 26.15 +05 25 12.9,12330,0.68,0.04,2.69,4.7,31.3,0,0.0113961
EPIC 201806008,DAV,kepler_k2,11 51 54.20 +05 28 39.8,10910,0.61,0.04,2.29,4.7,31.3,0,0.0122756
EPIC 210397465,DAV,kepler_k2,03 58 24.23 +13 24 30.8,11200,0.45,0.04,1.23,3.0,49.1,0,0.0146137
EPIC 211596649,DAV,kepler_k2,08 32 03.98 +14 29 42.4,11600,0.56,0.04,1.91,1.8,81.8,0,0.0129472
EPIC 211629697,DAV,kepler_k2,08 40 54.14 +14 57 09.0,10600,0.48,0.04,1.40,2.3,64.0,0,0.0141272
EPIC 211914185,DAV,kepler_k2,08 37 02.16 +18 56 13.4,13590,0.88,0.04,4.02,131.6,1.1,21,0.00911028
EPIC 211926430,DAV,kepler_k2,09 00 41.08 +19 07 14.4,11420,0.59,0.04,2.16,5.8,25.4,0,0.0125392
EPIC 228682478,DAV,kepler_k2,08 40 27.84 +13 20 10.0,12070,0.72,0.04,2.97,1.4,109.1,0,0.0109178
EPIC 229227292,DAV,kepler_k2,13 42 11.62 -07 35 40.1,11210,0.62,0.04,2.33,5.0,29.4,0,0.012146
EPIC 220204626,DAV,kepler_k2,01 11 23.89 +00 09 35.2,11620,0.71,0.04,2.92,6.1,24.3,0,0.011036
EPIC 220258806,DAV,kepler_k2,01 06 37.03 +01 45 03.0,12800,0.66,0.04,2.58,4.9,30.0,0,0.0116413
EPIC 220347759,DAV,kepler_k2,00 51 24.25 +03 39 03.8,12770,0.66,0.04,2.56,4.7,31.7,0,0.0116413
