full_name,diameter,rot_per,albedo,class,H,GM
     1 Ceres (A801 AA),939.4,9.074170,0.090,MBA,3.34,62.6284
     2 Pallas (A802 FA),513,7.8132214,0.155,MBA,4.12,13.63
     3 Juno (A804 RA),246.596,7.21,0.214,MBA,5.19,
     4 Vesta (A807 FA),522.77,5.3421276322,0.4228,MBA,3.25,17.2882844
     5 Astraea (A845 XA),106.699,16.806,0.274,MBA,6.95,
     6 Hebe (A847 NA),185.18,7.2745,0.2679,MBA,5.62,
     7 Iris (A847 PA),199.83,7.139,0.2766,MBA,5.70,
     8 Flora (A847 UA),147.491,12.865,0.226,MBA,6.62,
     9 Metis (A848 HA),190,5.079,0.118,MBA,6.18,
    10 Hygiea (A849 GA),407.12,13.828,0.0717,MBA,5.65,7.
    11 Parthenope (A850 JA),142.887,13.7204,0.191,MBA,6.73,
    12 Victoria (A850 RA),115.087,8.6599,0.163,MBA,7.30,
    13 Egeria (A850 VA),202.636,7.045,0.049,MBA,6.92,
    14 Irene (A851 KA),152,15.028,0.159,MBA,6.55,
    15 Eunomia (A851 OA),231.689,6.083,0.248,MBA,5.42,
    16 Psyche (A852 FA),222,4.196,0.1203,MBA,6.20,1.601
    17 Thetis (A852 HA),84.899,12.27048,0.193,MBA,7.91,
    18 Melpomene (A852 MA),139.594,11.57,0.181,MBA,6.35,
    19 Fortuna (A852 QA),200,7.4432,0.037,MBA,7.49,
    20 Massalia (A852 SA),135.680,8.098,0.241,MBA,6.54,
    21 Lutetia (A852 VA),98,8.1655,0.19,MBA,7.48,0.1134
    22 Kalliope (A852 WA),167.536,4.1483,0.166,MBA,6.79,0.491
    23 Thalia (A852 XA),107.53,12.312,0.2536,MBA,7.08,
    24 Themis (A853 GA),198,8.374,0.067,MBA,7.21,
    25 Phocaea (A853 GB),61.054,9.9341,0.350,MBA,7.88,
    26 Proserpina (A853 JA),94.80,13.11,0.1966,MBA,7.48,
    27 Euterpe (A853 VA),96,10.4082,0.215,MBA,7.03,
    28 Bellona (A854 EA),120.90,15.706,0.1763,MBA,7.21,
    29 Amphitrite (A854 EB),189.559,5.3921,0.216,MBA,5.97,
    30 Urania (A854 OA),92.787,13.686,0.192,MBA,7.57,
    31 Euphrosyne (A854 RA),267.080,5.53,0.053,MBA,6.83,
    32 Pomona (A854 UA),80.76,9.448,0.2564,MBA,7.75,
    33 Polyhymnia (A854 UB),52.929,18.608,0.240,MBA,8.46,
    34 Circe (A855 GA),132.992,12.15,0.023,MBA,8.75,
    35 Leukothea (A855 HA),103.055,31.9,0.066,MBA,8.68,
    36 Atalante (A855 TA),132.842,9.93,0.029,MBA,8.53,
    37 Fides (A855 TB),108.35,7.3335,0.1826,MBA,7.29,
    38 Leda (A856 AA),92.255,12.838,0.055,MBA,8.51,
    39 Laetitia (A856 CA),179.484,5.138,0.269,MBA,5.97,
    40 Harmonia (A856 FA),111.251,8.91,0.220,MBA,6.57,
    41 Daphne (A856 KA),205.495,5.988,0.059,MBA,7.58,
    42 Isis (A856 KB),110.997,13.59,0.139,MBA,7.69,
    43 Ariadne (A857 GA),71.340,5.76218,0.234,MBA,7.92,
    44 Nysa (A857 KA),70.64,6.422,0.482,MBA,6.75,
    45 Eugenia (A857 MA),202.327,5.699,0.045,MBA,7.74,
    46 Hestia (A857 QA),131.471,21.04,0.046,MBA,8.52,
    47 Aglaja (A857 RA),168.174,13.178,0.082,MBA,8.14,
    48 Doris (A857 SA),216.473,11.89,0.065,MBA,7.10,
    49 Pales (A857 SB),166.252,20.705,0.048,MBA,7.99,
    50 Virginia (A857 TA),84.074,14.315,0.050,MBA,9.43,
    51 Nemausa (A858 BA),138.159,7.783,0.100,MBA,7.72,
    52 Europa (A858 CA),303.918,5.6304,0.057,MBA,6.65,
    53 Kalypso (A858 GA),97.262,9.036,0.028,MBA,8.88,
    54 Alexandra (A858 RA),160.120,7.024,0.059,MBA,7.94,
    55 Pandora (A858 RB),84.794,4.804,0.204,MBA,7.82,
    56 Melete (A857 RB),121.333,18.147,0.057,MBA,8.51,
    57 Mnemosyne (A859 SA),112.59,25.324,0.2149,MBA,6.93,
    58 Concordia (A860 FA),106.517,9.895,0.044,MBA,9.03,
    59 Elpis (A860 RA),165.119,13.671,0.044,MBA,8.08,
    60 Echo (A860 RB),43.218,25.208,0.373,MBA,8.63,
    61 Danae (A860 RC),85.937,11.45,0.203,MBA,7.73,
    62 Erato (A860 RD),106.921,9.2213,0.048,MBA,8.89,
    63 Ausonia (A861 CA),116.044,9.298,0.125,MBA,7.15,
    64 Angelina (A861 EA),58.292,8.752,0.483,MBA,7.72,
    65 Cybele (A861 EB),237.26,6.0814,0.0706,OMB,6.83,
    66 Maja (A861 GA),71.82,9.73509,0.016,MBA,9.53,
    67 Asia (A861 HA),56.309,15.853,0.228,MBA,8.37,
    68 Leto (A861 HB),122.509,14.848,0.228,MBA,6.90,
    69 Hesperia (A861 HC),138.13,5.655,0.1402,MBA,7.21,
    70 Panopaea (A861 JA),127.911,15.8052,0.038,MBA,8.16,
    71 Niobe (A861 PA),83.42,35.864,0.3052,MBA,7.23,
    72 Feronia (A861 KA),74.966,8.097,0.083,MBA,9.08,
    73 Klytia (A862 GA),44.590,8.297,0.223,MBA,9.04,
    74 Galatea (A862 QA),118.71,17.268,0.0431,MBA,8.90,
    75 Eurydike (A862 SA),62.377,5.357,0.117,MBA,9.22,
    76 Freia (A862 UA),145.423,9.973,0.058,OMB,8.00,
    77 Frigga (A862 VA),61.390,9.0032,0.177,MBA,8.58,
    78 Diana (A863 EA),120.60,7.2991,0.0706,MBA,8.39,
    79 Eurynome (A863 RA),63.479,5.978,0.287,MBA,7.78,
    80 Sappho (A864 JA),68.563,14.03,0.206,MBA,8.06,
    81 Terpsichore (A864 SA),117.727,10.943,0.045,MBA,8.66,
    82 Alkmene (A864 WA),57.621,12.999,0.167,MBA,8.26,
    83 Beatrix (A865 HA),110.503,10.111,0.050,MBA,8.73,
    84 Klio (A865 QA),79.16,23.562,0.0527,MBA,9.33,
    85 Io (A865 SA),154.79,6.875,0.0666,MBA,7.93,
    86 Semele (A866 AA),109.929,16.634,0.056,MBA,8.71,
    87 Sylvia (A866 KA),253.051,5.184,0.046,OMB,6.93,
    88 Thisbe (A866 LA),232,6.042,0.0671,MBA,7.24,
    89 Julia (A866 PA),145.483,11.387,0.189,MBA,6.39,
    90 Antiope (A866 TA),115.974,16.509,0.058,MBA,8.42,
    91 Aegina (A866 VA),103.402,6.025,0.048,MBA,9.12,
    92 Undina (A867 NA),126.42,15.941,0.2509,MBA,6.74,
    93 Minerva (A867 QA),154.155,5.982,0.056,MBA,7.88,
    94 Aurora (A867 RA),204.89,7.22,0.0395,MBA,7.70,
    95 Arethusa (A867 WA),147.969,8.705,0.058,MBA,7.96,
    96 Aegle (A868 DA),177.774,13.868,0.048,MBA,7.66,
    97 Klotho (A868 DB),100.717,35.15,0.128,MBA,7.78,
    98 Ianthe (A868 HA),132.788,16.479,0.029,MBA,8.94,
    99 Dike (A868 KA),67.354,18.127,0.065,MBA,9.46,
