KIC,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,flag1,flag2,flag3,flag4
3459079,4872.3,87.5,80.8,4.593,0.021,0.028,0.751,0.032,0.04,7.87,0.58,30392,,1,0,
3459775,6495.1,129.2,128.5,4.035,0.037,0.037,1.443,0.072,0.067,17.58,1.31,3850,,1,0,
3459866,5790.6,93.1,97.9,3.985,0.031,0.05,1.376,0.055,0.13,8.03,0.58,9011,,1,0,
3459796,6079.3,117.7,107.1,4.056,0.034,0.049,1.26,0.065,0.116,11.26,0.82,2751,,1,0,
3459504,6177.4,134.6,120.0,4.154,0.029,0.04,1.229,0.061,0.083,21.96,1.65,2780,,1,0,
3459462,5517.5,115.8,111.0,4.362,0.136,0.251,0.915,0.088,0.071,16.44,0.97,1828,,1,,
3560481,5813.3,121.4,115.0,3.749,0.055,0.053,1.338,0.086,0.081,4.46,0.34,20832,,1,0,
3560620,5892.9,106.7,101.6,4.452,0.035,0.047,0.997,0.054,0.064,8.31,0.62,21301,,1,0,
3560469,5834.5,104.6,102.7,4.451,0.038,0.051,0.985,0.056,0.066,24.84,2.09,2084,,1,0,
893505,5920.4,123.8,118.5,3.896,0.058,0.044,1.239,0.143,0.075,10.81,0.81,6179,,1,0,
893507,5447.0,121.8,124.5,3.58,0.028,0.039,1.51,0.075,0.095,10.98,0.86,70190,,1,0,
1027740,5347.5,99.7,89.7,4.444,0.043,0.039,0.867,0.065,0.055,26.82,2.66,16850,,1,0,
1027900,5772.2,108.1,103.0,4.332,0.041,0.042,0.99,0.075,0.074,18.76,3.44,1670,,1,0,
757450,5301.2,111.0,103.1,4.432,0.045,0.044,0.914,0.062,0.057,19.12,1.5,37564,,1,0,0
892713,6238.9,123.4,129.8,3.548,0.066,0.037,1.731,0.219,0.087,5.78,0.76,3904,,1,0,
757099,5364.9,102.7,84.9,4.318,0.037,0.029,0.873,0.054,0.039,0.36,0.02,154638,1,1,0,
892195,5333.4,101.3,84.2,4.372,0.039,0.029,0.862,0.057,0.04,21.78,2.9,2129,,1,0,
893383,5680.9,105.1,102.2,4.526,0.02,0.031,0.912,0.036,0.051,21.19,2.58,9672,,1,0,
893286,5297.1,103.4,98.5,4.522,0.034,0.044,0.853,0.047,0.057,24.54,2.23,10793,,1,0,
893559,5095.3,95.2,88.7,4.546,0.033,0.041,0.808,0.044,0.049,14.69,1.06,21830,,1,0,
893676,5260.0,81.3,72.5,4.211,0.037,0.037,0.881,0.031,0.024,24.37,2.73,12277,,1,1,
893209,6051.4,110.0,107.2,4.031,0.037,0.053,1.263,0.071,0.117,4.58,0.44,6053,,1,0,
1026838,6056.9,101.3,101.9,4.399,0.02,0.03,1.133,0.041,0.056,15.56,1.85,3619,,1,0,
1027536,5944.4,117.2,105.9,4.304,0.033,0.038,1.139,0.066,0.069,16.35,4.43,744,,1,0,
1162466,5486.0,182.0,166.0,4.493,0.088,0.143,0.817,0.111,0.074,28.77,1.12,21027,,2,,
1162715,5805.3,93.5,95.3,4.528,0.014,0.019,0.947,0.025,0.032,6.52,0.5,39615,,1,0,
1162222,5273.3,108.5,99.0,4.487,0.046,0.048,0.851,0.056,0.054,34.42,2.33,4151,,1,0,
1161620,5861.9,92.3,85.3,4.485,0.013,0.02,1.025,0.027,0.035,6.57,0.47,30826,,1,0,
1162051,5519.3,97.7,98.7,4.456,0.038,0.043,0.892,0.061,0.061,19.23,2.41,9306,,1,0,
1161949,6265.1,123.3,122.1,4.008,0.034,0.036,1.497,0.058,0.067,6.14,0.71,1869,,1,0,
1162617,6806.0,170.4,247.7,4.221,0.138,0.209,1.342,0.154,0.148,3.41,0.37,1247,,1,,
891916,5650.8,131.9,137.7,4.132,0.224,0.254,1.008,0.164,0.112,5.45,0.42,34096,,1,,
1025986,5662.1,101.7,100.1,4.425,0.039,0.042,0.912,0.066,0.064,9.68,0.73,59401,,1,0,1
1161402,6159.4,124.1,116.8,4.276,0.029,0.037,1.152,0.065,0.072,2.39,0.17,12616,1,1,0,
1161092,6340.5,158.2,157.6,4.175,0.034,0.037,1.245,0.057,0.067,24.0,1.93,1975,,1,0,
1292666,5542.4,86.3,92.2,4.441,0.029,0.035,1.026,0.049,0.059,18.34,1.99,14667,,1,0,
1161432,5298.5,91.4,89.3,4.508,0.034,0.04,0.857,0.052,0.058,32.59,2.07,4598,,1,0,
1293563,6542.8,136.7,131.3,4.192,0.033,0.03,1.339,0.065,0.051,5.41,0.49,2074,,1,0,
1293671,4975.3,104.2,93.3,3.664,0.049,0.068,1.227,0.111,0.152,107.24,9.08,28923,,1,0,
1431344,5748.9,108.9,112.2,4.063,0.055,0.051,1.117,0.118,0.075,28.73,3.49,1977,,1,0,
1430810,6174.8,145.0,131.3,4.204,0.032,0.044,1.201,0.064,0.089,20.19,2.63,1847,,1,0,
1430880,6827.4,147.1,143.0,4.233,0.03,0.03,1.336,0.062,0.048,1.21,0.1,3013,,1,0,
1292087,6815.7,145.5,139.5,3.852,0.034,0.033,1.674,0.082,0.083,1.09,0.09,848,1,2,0,
1292018,5566.3,138.6,131.5,4.058,0.114,0.107,0.997,0.092,0.084,22.12,2.01,4233,,1,,
1570466,6181.1,125.1,130.0,3.714,0.053,0.061,1.594,0.145,0.141,8.56,0.62,37250,,1,0,
1430239,6186.5,107.8,95.1,3.696,0.021,0.047,1.794,0.05,0.168,8.05,1.0,1190,,1,0,
1430163,6609.2,141.2,130.8,4.218,0.03,0.028,1.316,0.061,0.049,4.41,0.79,2077,,1,0,
1429977,5280.7,105.6,92.7,4.419,0.034,0.029,0.799,0.038,0.028,23.38,3.38,6055,,1,0,
1570994,5598.6,96.3,88.2,4.522,0.021,0.033,0.908,0.037,0.054,21.81,2.06,3938,,1,0,
1570529,5607.6,106.5,104.2,4.494,0.029,0.041,0.923,0.048,0.061,19.66,1.95,13572,,1,0,
1570554,6317.9,126.1,124.4,4.376,0.032,0.037,1.036,0.06,0.066,9.85,1.27,2176,,1,0,
1718520,6093.2,142.1,118.2,4.14,0.026,0.041,1.278,0.053,0.079,5.56,0.4,36160,,1,0,
1719093,6943.7,152.4,141.2,4.151,0.033,0.033,1.5,0.082,0.071,1.81,0.21,2109,1,2,0,
