Isim,TayfTuru,Genlik_yuzde,Prot_saat,Prot_ham
2m0001,L4,0.69,15.75,15.75 +- 0.37
2m0030,L7,1.52,4.22,4.22+-0.02
2m0031,L9,0.35,1.64,1.64+-0.01
2m0153,L2,0.48,17.63,17.63 ++1.13 -0.94
2m0326,L5,0.34,32.84,32.84 ++4.60 -4.62
2m0342,L4,0.73,14.73,14.73 ++0.51 -0.49
2m0349,L5,0.53,14.62,14.62 ++1.08 -1.00
2m0355,L5,0.26,9.53,9.53+-0.19
2m0506,T4.5,0.58,13.77,13.77 ++0.82 -0.77
2m0642,L9(red),2.16,10.11,10.11+-0.06
2m0718,T5,2.14,1.080,1.080 ++0.004 -0.003
2m0809,L6p,0.77,1.365,1.365+-0.004
2m1647,L7,0.47,9.234,9.234 ++0.25 -0.23
2m1741,L6-L8,0.35,15.00,15.00 ++0.71 -0.57
2m2206+33,T1.5,1.20,15.91,15.91 ++0.62 -0.61
