Kategori,Isim,Kutle_Mgunes,Yaricap_Rgunes,Hiz_veq_kms,Acisal_Momentum_J,Evrenaki_Kutlesi_Mevr_kg
Konvektif (Gercek Gozlem),XO-2 S,0.98,1.02,1.7,1.6460006232852e+41,2.8702336765120334e+28
Konvektif (Gercek Gozlem),Kepler-418,0.98,1.09,3.5,3.6213912213570004e+41,4.257356126514785e+28
Radyatif (Gercek Gozlem),HR 8799,1.5,1.49338,34.79,7.548677040091578e+42,1.9437378003945055e+29
Konvektif (Gercek Gozlem),CoRoT-17,1.04,1.59,4.5,7.207718286132e+41,6.006218951782956e+28
Konvektif (Gercek Gozlem),CoRoT-7,0.915,0.8389,3.5,2.6022808111502476e+41,3.608937306775427e+28
Radyatif (Gercek Gozlem),TOI-4377,1.36,3.52,1.26,5.842610615761921e+41,5.4076145733755645e+28
Konvektif (Gercek Gozlem),HD 64114,0.95,0.882858,2.0,1.624797657131922e+41,2.8516872910727215e+28
Konvektif (Gercek Gozlem),TOI-858 B,1.081,1.308,5.8,7.943579713002024e+41,6.305367255063844e+28
Konvektif (Gercek Gozlem),HD 27969,1.16,1.27,4.1,5.8505998191732e+41,5.411310504604522e+28
Konvektif (Gercek Gozlem),Kepler-900,0.78,0.73,5.2,2.8679767939368e+41,3.7886987486328193e+28
Konvektif (Gercek Gozlem),TOI-1296,1.1576,1.7031,4.0,7.638595011115288e+41,6.183138868070025e+28
Konvektif (Gercek Gozlem),HD 24040,1.11,1.3,2.39,3.3405583230747002e+41,4.088949880653956e+28
Konvektif (Gercek Gozlem),HD 191939,0.81,0.94,2.0,1.475019271908e+41,2.7170717396451603e+28
Konvektif (Gercek Gozlem),WASP-105,0.89,0.9,1.7,1.3189740888870003e+41,2.5693329710941227e+28
Konvektif (Gercek Gozlem),GJ 887,0.495,0.468,2.5,5.609780741565001e+40,1.6756187122526865e+28
Konvektif (Gercek Gozlem),TOI-1759,0.606,0.597,2.0,7.0086081196404e+40,1.8729153402361495e+28
Konvektif (Gercek Gozlem),HIP 70849,0.65,0.633112,0.3,1.1958314831157243e+40,7.736370310511744e+27
Konvektif (Gercek Gozlem),KOI-142,0.99,0.897,1.8,1.5482994846719399e+41,2.783746876070044e+28
Konvektif (Gercek Gozlem),Barnard's star,0.162,0.185,0.0659130659370024,1.913432219958504e+38,9.786080848649346e+26
Konvektif (Gercek Gozlem),HATS-62,0.896,0.933,0.5,4.0486896201024003e+40,1.4235066495216775e+28
Radyatif (Gercek Gozlem),TOI-5110,1.469,2.333,2.3,7.635178541799083e+41,6.181755965404266e+28
Konvektif (Gercek Gozlem),GJ 229,0.509,0.46,1.0,2.267934149754e+40,1.0654117406214623e+28
Konvektif (Gercek Gozlem),TOI-791,1.28,1.474,44.58,8.147086808494236e+42,2.0193120178101227e+29
Radyatif (Gercek Gozlem),HD 180902,1.41,4.16,1.36,7.726915771061759e+41,6.218782204532991e+28
Radyatif (Gercek Gozlem),Qatar-7,1.409,1.564,13.8,2.945653470762257e+42,1.2142079872977058e+29
Konvektif (Gercek Gozlem),TOI-5624,0.858,0.82,2.0,1.3629689505432e+41,2.6118320043860276e+28
Radyatif (Gercek Gozlem),TOI-6695,1.338,1.517,6.7,1.31725945163014e+42,8.119661414307248e+28
Konvektif (Gercek Gozlem),GJ 3998,0.52,0.5,0.93,2.34213067998e+40,1.0826992091839576e+28
